Gene	Gene description
OPALIN	Oligodendrocytic myelin paranodal and inner loop protein
GFAP	Glial fibrillary acidic protein
RFX4	Regulatory factor X, 4 (influences HLA class II expression)
OLIG2	Oligodendrocyte lineage transcription factor 2
ZDHHC22	Zinc finger, DHHC-type containing 22
NEUROD6	Neuronal differentiation 6
VSTM2B	V-set and transmembrane domain containing 2B
SLC17A7	Solute carrier family 17 (vesicular glutamate transporter), member 7
KCNJ9	Potassium inwardly-rectifying channel, subfamily J, member 9
PMP2	Peripheral myelin protein 2
CREG2	Cellular repressor of E1A-stimulated genes 2
C2orf80	Chromosome 2 open reading frame 80
SLC39A12	Solute carrier family 39 (zinc transporter), member 12
POU3F2	POU class 3 homeobox 2
TMEM235	Transmembrane protein 235
MMD2	Monocyte to macrophage differentiation-associated 2
CACNG7	Calcium channel, voltage-dependent, gamma subunit 7
NCAN	Neurocan
FEZF2	FEZ family zinc finger 2
SLC24A2	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
POU3F3	POU class 3 homeobox 3
NEUROD2	Neuronal differentiation 2
SOHLH1	Spermatogenesis and oogenesis specific basic helix-loop-helix 1
GRM3	Glutamate receptor, metabotropic 3
SNCB	Synuclein, beta
MOG	Myelin oligodendrocyte glycoprotein
TTC9B	Tetratricopeptide repeat domain 9B
CACNG8	Calcium channel, voltage-dependent, gamma subunit 8
NXPH1	Neurexophilin 1
CSPG5	Chondroitin sulfate proteoglycan 5 (neuroglycan C)
HTR5A-AS1	HTR5A antisense RNA 1
LRTM2	Leucine-rich repeats and transmembrane domains 2
SCN1A	Sodium channel, voltage-gated, type I, alpha subunit
GPR37L1	G protein-coupled receptor 37 like 1
CAMK2N2	Calcium/calmodulin-dependent protein kinase II inhibitor 2
ELAVL3	ELAV like neuron-specific RNA binding protein 3
GABRA1	Gamma-aminobutyric acid (GABA) A receptor, alpha 1
AMER2	APC membrane recruitment protein 2
CAMKV	CaM kinase-like vesicle-associated
SEZ6	Seizure related 6 homolog (mouse)
SYNPR	Synaptoporin
PLP1	Proteolipid protein 1
DLL3	Delta-like 3 (Drosophila)
HEPN1	Hepatocellular carcinoma, down-regulated 1
PCDHGC5	Protocadherin gamma subfamily C, 5
ERMN	Ermin, ERM-like protein
SLC32A1	Solute carrier family 32 (GABA vesicular transporter), member 1
TBR1	T-box, brain, 1
CORT	Cortistatin
GRIN2B	Glutamate receptor, ionotropic, N-methyl D-aspartate 2B
NR2E1	Nuclear receptor subfamily 2, group E, member 1
HTR5A	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled
OLIG1	Oligodendrocyte transcription factor 1
PSD2	Pleckstrin and Sec7 domain containing 2
SLITRK1	SLIT and NTRK-like family, member 1
GABRA5	Gamma-aminobutyric acid (GABA) A receptor, alpha 5
GRIN1	Glutamate receptor, ionotropic, N-methyl D-aspartate 1
KCNF1	Potassium voltage-gated channel, subfamily F, member 1
MEPE	Matrix extracellular phosphoglycoprotein
GAP43	Growth associated protein 43
GPM6B	Glycoprotein M6B
KCNJ4	Potassium inwardly-rectifying channel, subfamily J, member 4
KCNV1	Potassium channel, subfamily V, member 1
TNR	Tenascin R
C1orf61	Chromosome 1 open reading frame 61
ZIC5	Zic family member 5
FXYD7	FXYD domain containing ion transport regulator 7
GPM6A	Glycoprotein M6A
KIAA1045	KIAA1045
CACNG3	Calcium channel, voltage-dependent, gamma subunit 3
NKX6-2	NK6 homeobox 2
TUBB4A	Tubulin, beta 4A class IVa
ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2
SYN1	Synapsin I
VWC2L	Von Willebrand factor C domain containing protein 2-like
HPCA	Hippocalcin
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled
KCNA1	Potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts 1
SLC1A6	Solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
C11orf87	Chromosome 11 open reading frame 87
EGR4	Early growth response 4
FNDC9	Fibronectin type III domain containing 9
KIF5A	Kinesin family member 5A
MOBP	Myelin-associated oligodendrocyte basic protein
NTSR2	Neurotensin receptor 2
PACSIN1	Protein kinase C and casein kinase substrate in neurons 1
SEPT3	Septin 3
TRIM67	Tripartite motif containing 67
FOXG1	Forkhead box G1
GPR26	G protein-coupled receptor 26
LRRTM4	Leucine rich repeat transmembrane neuronal 4
NPTX1	Neuronal pentraxin I
PNMA5	Paraneoplastic Ma antigen family member 5
FAM19A1	Family with sequence similarity 19 (chemokine (C-C motif)-like), member A1
NKAIN2	Na+/K+ transporting ATPase interacting 2
NSG2	Neuron-specific protein family member 2 
RTN1	Reticulon 1
SLC17A6	Solute carrier family 17 (vesicular glutamate transporter), member 6
SNAP25	Synaptosomal-associated protein, 25kDa
CNTNAP5	Contactin associated protein-like 5
KCNIP2	Kv channel interacting protein 2
MBP	Myelin basic protein
NRXN1	Neurexin 1
PRLHR	Prolactin releasing hormone receptor
SLC4A10	Solute carrier family 4, sodium bicarbonate transporter, member 10
STMN4	Stathmin-like 4
TMEM151A	Transmembrane protein 151A
BCAN	Brevican
CALY	Calcyon neuron-specific vesicular protein
CCKBR	Cholecystokinin B receptor
CDH10	Cadherin 10, type 2 (T2-cadherin)
CDH9	Cadherin 9, type 2 (T1-cadherin)
CNTNAP4	Contactin associated protein-like 4
CUX2	Cut-like homeobox 2
ELAVL2	ELAV like neuron-specific RNA binding protein 2
FSTL5	Follistatin-like 5
NPY	Neuropeptide Y
SCN2A	Sodium channel, voltage-gated, type II, alpha subunit
SEZ6L	Seizure related 6 homolog (mouse)-like
STX1B	Syntaxin 1B
ARPP21	CAMP-regulated phosphoprotein, 21kDa
