	Relative_Expression_Difference_Hum_Chimp(RPKM)	Relative_Expression_Difference_Hum_Rhesus_Monkey(RPKM)	Relative_Expression_Difference_Chimp_Rhesus_Monkey(RPKM)
TSPAN6	-0.6296633237425227	-0.33924082913388864	0.290422494608634
TNMD	-0.660670003906461	-2.339329996093539	-1.678659992187078
DPM1	0.1416585158315976	-0.08398411696727615	-0.22564263279887375
SCYL3	-0.5058246091128171	-0.3912048216643018	0.11461978744851531
C1orf112	0.07949987859526764	0.20764819914215715	0.12814832054688952
FGR	-0.264117802781361	-0.09810499359199232	0.16601280918936867
CFH	-0.13689099981063352	-2.0872328816849963	-1.9503418818743627
FUCA2	-0.10834372353959743	-0.13240040116903762	-0.024056677629440193
GCLC	-0.5062903950547449	-0.08484344125011989	0.42144695380462505
NFYA	-0.6032001547635539	-0.04593026751612339	0.5572698872474305
STPG1	1.55894536538014	2.1510879753676795	0.5921426099875393
NIPAL3	-0.019866880436961165	-0.4096398740476298	-0.38977299361066864
LAS1L	0.1078614334109399	-0.037843466057855046	-0.14570489946879495
ENPP4	-0.7225203849552718	-0.473678237305872	0.24884214764939983
SEMA3F	-0.28678605695060255	-1.4673683698872741	-1.1805823129366715
CFTR	-1.8121721111698386	-0.07650116821338987	1.7356709429564487
ANKIB1	-0.31677290710088546	0.01791903643227255	0.334691943533158
CYP51A1	-0.10099737374040862	0.05271877127244884	0.15371614501285746
KRIT1	-0.1329460676220725	0.09023705680420846	0.22318312442628097
RAD52	0.07601483892195737	0.017840654674504908	-0.058174184247452465
BAD	0.12747614385407458	0.26044403796659454	0.13296789411251997
LAP3	-0.5342517223553157	-0.13181341309000638	0.4024383092653093
AOC1	-0.09348641546171436	-2.9065135845382857	-2.8130271690765714
WNT16	-1.015337819281985	-0.739543082831189	0.2757947364507962
HECW1	-0.09234064999075287	-1.127318964844027	-1.034978314853274
MAD1L1	0.07311746529036278	-0.11700325335869832	-0.1901207186490611
LASP1	-0.16222498535195717	-0.744987127574081	-0.5827621422221239
SNX11	0.0777759900034829	-0.717669051233302	-0.7954450412367849
TMEM176A	-0.6102491672666728	-0.20539300447942022	0.40485616278725256
M6PR	-0.5723671372014452	-0.5725174772815864	-0.00015034008014125355
KLHL13	-0.33914083699273345	-0.5608581136615082	-0.22171727666877472
CYP26B1	0.914643621656345	0.5685840059619574	-0.3460596156943877
ICA1	0.7615767059980011	1.1793550408872147	0.4177783348892137
DBNDD1	0.23546178877995982	-0.1607247996572867	-0.3961865884372465
ALS2	-0.46283028328886344	-0.19148902743338037	0.2713412558554831
CFLAR	1.0543336808278703	1.1064376363572341	0.052103955529363866
TFPI	-0.0439496347754304	-1.7661179407439591	-1.7221683059685287
NDUFAF7	0.4150134031859537	-0.15083486869694407	-0.5658482718828978
RBM5	-0.014134108777682064	0.1957893138213157	0.20992342259899777
MTMR7	-0.004251152356596455	-0.1523540122168534	-0.14810285986025695
SLC7A2	-0.6174252601841362	-1.7365203737764068	-1.1190951135922704
ARF5	0.21040104599515785	0.30299671528475014	0.09259566928959229
SARM1	-0.22918087437978774	-0.8132130517114862	-0.5840321773316984
PLXND1	-0.3447385864290907	-0.961124863475356	-0.6163862770462653
AK2	-0.8018619248442131	-0.6819059742258706	0.11995595061834252
CD38	-0.8951482782174199	-1.862445311840452	-0.967297033623032
FKBP4	0.1657878420932578	-0.4131404991572527	-0.5789283412505105
KDM1A	-0.034119703415909086	-0.0013656475411853997	0.032754055874723687
RBM6	0.28720645395764866	1.0186784398597197	0.7314719859020711
CAMKK1	-0.05548491785653831	-0.6151602353331722	-0.5596753174766339
RECQL	-0.27565276004405603	-0.07561962099651098	0.20003313904754505
CCDC132	-0.014849078710483021	-0.35828776998877765	-0.3434386912782946
HSPB6	-0.4955255433744393	-1.8688228081276588	-1.3732972647532193
ARHGAP33	-0.002699604907374864	0.024250259922209194	0.026949864829584058
NDUFAB1	-0.05121194123791917	-0.8148793667820164	-0.7636674255440973
PDK4	-1.1215532605819525	0.3020615632097254	1.423614823791678
ZMYND10	0.032705941731516086	0.10473063117281212	0.07202468944129603
ARX	0.0	-3.0	-3.0
SLC25A13	-0.292021533282532	-0.7056005423427085	-0.41357900906017653
ST7	-0.15796889739224973	0.34540851359255986	0.5033774109848096
CDC27	-0.2331305079342636	-0.021492852053794254	0.21163765588046934
SLC4A1	2.3042929254099827	2.1610718594919582	-0.14322106591802458
CALCR	0.0	-3.0	-3.0
HCCS	-0.06543878645307244	-0.5399529098612108	-0.47451412340813837
DVL2	0.11560783357966842	0.35331683255277524	0.23770899897310682
