cC1	cC2	cC3	cC4	cC5	cC6
11.5165	15.5392	17.442	21.1466	15.4648	13.1721
0.9698100000000001	0.8327209999999999	0.0	0.0	0.0	1.2941
44.8537	26.0225	39.6269	41.07899999999999	40.5161	33.9701
38.1369	27.2883	33.6928	29.7084	31.3823	34.6972
10.584000000000001	12.2118	11.6883	8.88897	11.0542	10.151
3.2774199999999998	11.8194	4.63281	12.2548	7.5307	9.62135
17.5026	20.6642	19.9731	7.38532	16.2492	18.814
41.0489	58.9575	52.0904	44.4768	28.8417	41.8282
56.0077	95.3993	52.6994	69.169	56.593999999999994	37.0641
96.5192	62.5334	53.4887	77.9219	69.649	81.9597
7.32175	19.6461	20.2142	10.6942	6.69119	13.4338
168.416	202.73	145.231	180.78599999999997	167.483	167.743
100.25200000000001	111.825	122.508	113.859	133.085	121.273
122.77	134.165	99.7631	98.1939	73.3692	91.1095
16.0859	24.0066	13.873	21.4813	22.0008	13.2877
0.0	1.36543	1.20421	1.32726	0.474537	0.303138
84.5032	102.87	82.5146	81.5264	71.4192	61.2019
112.654	115.288	128.459	124.74700000000001	116.292	122.35700000000001
112.964	99.3533	81.4343	76.9985	95.0422	81.6495
17.6007	13.4335	15.5497	15.995999999999999	8.1701	13.0478
120.48	155.174	144.00799999999998	149.061	96.2256	104.02600000000001
118.05	153.506	111.815	135.28799999999998	154.71200000000002	112.084
0.0	0.0	0.330877	0.0	0.0	0.0
6.64014	5.70151	5.86637	3.8794699999999995	5.20139	1.10756
36.4919	25.4866	32.7023	32.0314	25.3481	26.7935
33.185	27.3693	27.7749	47.45	33.7474	39.0377
94.1436	89.1266	78.9077	104.365	90.7631	83.7492
34.8398	34.9008	29.7539	21.712	33.961999999999996	29.4435
28.4525	50.6061	61.0469	23.7475	31.8394	27.119
170.88	165.166	210.364	199.671	258.444	199.361
26.7197	31.5932	25.154	29.1744	28.3645	23.3799
76.4354	21.0956	22.3085	107.655	67.0016	103.816
65.8085	71.7627	59.3027	88.4311	74.2312	87.8139
52.3477	50.3417	57.3471	95.4217	100.6	78.2342
431.39300000000003	365.63	378.355	513.03	396.923	449.969
64.6039	54.9331	51.5343	55.7006	45.2013	62.7717
2.6619200000000003	4.571280000000001	4.70345	9.33128	2.7802	5.3280400000000006
21.3525	29.3346	30.1828	24.9502	27.5048	42.7386
264.937	214.368	257.379	223.155	278.522	233.523
60.6497	40.1505	56.4453	46.5244	39.6508	51.2763
15.5113	13.6992	23.4921	13.4641	13.4232	13.0102
466.281	494.795	489.67	786.426	624.8290000000001	675.0260000000001
51.5247	34.9815	47.2849	38.7372	50.0596	49.5666
15.5919	27.0983	10.2897	8.78022	10.3986	10.0268
183.09799999999998	142.195	154.549	204.40900000000002	163.218	185.187
11.3145	11.1029	22.848000000000003	18.8869	5.06451	17.2547
666.716	432.41	396.876	608.87	559.1	609.803
120.238	103.566	130.278	128.126	137.82299999999998	141.27100000000002
366.82599999999996	243.58700000000002	237.422	284.193	318.382	376.11699999999996
104.244	83.8822	103.148	118.32799999999999	139.983	129.563
34.0455	42.6955	40.3681	47.6335	48.1908	40.6477
55.1612	50.1499	49.2545	57.217	56.6879	48.8084
