cK1	cK2	cK3	cK4	cK5	cK6
195.167	130.775	92.648	131.02700000000002	79.2695	127.035
6.972460000000001	2.23445	1.36534	3.7985300000000004	1.19814	4.68023
59.5564	62.8438	63.1469	49.0643	49.4231	29.2514
49.1595	49.25899999999999	54.5042	31.6853	29.9826	26.4914
8.32273	5.3343300000000005	7.45028	5.6137	4.4948	4.78851
25.1339	12.837	20.302	43.6455	48.5884	20.5616
141.274	91.2939	67.7626	116.161	58.2629	62.1767
203.90200000000002	222.685	288.952	261.145	186.25599999999997	183.692
54.0165	123.272	136.545	93.3361	586.179	102.182
94.6262	62.6709	117.354	56.1338	60.7056	82.5726
26.3199	12.652000000000001	23.1927	20.3133	22.6138	19.8755
82.0738	39.9171	49.9165	39.9787	22.8973	46.6658
59.5023	82.0307	58.0385	53.8232	40.5132	40.6942
172.283	98.3209	158.05200000000002	93.4293	169.518	106.139
132.171	82.948	105.68299999999999	99.0074	65.7702	55.4494
0.816637	1.04682	0.319826	0.593195	1.68396	0.548164
83.936	104.713	97.0521	63.5104	48.4215	46.9514
143.621	134.305	165.976	129.123	114.902	118.531
109.039	122.001	109.337	90.1297	72.6873	86.1271
9.37335	6.7586699999999995	19.2725	12.7663	4.83211	14.1566
250.517	236.765	209.52700000000002	198.93599999999998	262.668	230.861
504.608	1001.65	1713.09	841.76	1113.45	995.6060000000001
189.829	1776.27	1657.72	665.0	321.11	1311.27
1.9891400000000001	2.86855	2.33707	1.08366	1.0254299999999998	2.0028
15.0637	56.7222	55.0621	70.8955	11.6483	79.6275
38.7175	24.1447	37.4983	39.9055	40.4584	22.1257
261.772	223.859	258.282	211.158	165.515	96.1082
47.3131	40.1355	67.0336	31.8406	53.0855	39.2313
443.213	1861.29	1771.08	2117.4	1594.36	887.6089999999999
315.527	335.62	348.369	290.151	233.02900000000002	214.049
151.162	110.509	79.551	90.35799999999999	73.0559	106.75200000000001
27.8038	38.5235	36.5102	35.6405	24.4509	4.94024
73.3353	53.0681	45.3975	42.1003	117.88799999999999	61.9295
35.1264	24.1219	50.1142	30.0717	237.993	106.103
49.8561	53.9483	47.0573	27.0475	19.1418	28.5648
169.10299999999998	156.796	234.886	197.354	229.368	251.235
228.06	153.327	397.241	363.17699999999996	739.94	202.328
48.6127	47.5563	59.1198	40.8872	53.6384	46.3704
245.481	177.605	169.141	162.75	169.87599999999998	163.382
2.7738	0.5333479999999999	1.9553900000000002	1.8133700000000001	0.571975	0.0
22.3037	5.10543	14.3503	12.7294	35.0412	9.624360000000001
416.406	392.73199999999997	514.012	479.55199999999996	692.9010000000001	520.101
17.7082	14.7241	16.8694	12.5154	18.2577	9.63776
167.697	60.8107	57.3897	64.5035	61.7336	55.3007
536.615	879.99	784.811	577.072	596.49	692.2589999999999
23.2415	33.5167	13.6534	10.5515	19.9689	7.8003800000000005
315.67900000000003	486.18800000000005	566.8240000000001	376.07199999999995	274.295	412.343
133.202	117.171	129.352	107.12299999999999	111.176	95.7975
402.848	434.346	364.994	350.86300000000006	275.247	380.97900000000004
7.85153	13.7245	7.547619999999999	15.5543	8.09517	4.312069999999999
77.296	55.7344	80.0947	80.1262	93.5304	69.1794
44.8894	31.9428	36.545	36.9718	24.4167	24.2003
191.47	29.8508	164.16099999999997	152.238	80.0318	36.4729
37.9064	18.9916	15.682	14.543	12.1101	17.2019
389.952	634.249	495.816	410.333	371.76	672.311
64.6654	61.3294	370.64099999999996	1319.66	1010.89	249.88
2.05709	3.29615	2.4169	4.48273	0.706975	0.0
1.62615	2.34507	0.0	1.7718200000000002	1.67661	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
77.9275	141.27700000000002	148.455	137.673	122.814	94.1552
71.0579	118.809	96.5545	78.0966	60.5215	108.25200000000001
59.2721	56.5622	64.4811	58.8411	52.5105	32.713
634.295	162.764	73.8041	114.351	23.6948	138.83700000000002
5.33225	4.27203	13.574000000000002	7.74655	4.58142	14.317
63.1165	68.51	76.5485	66.5521	128.05100000000002	123.0
67.7438	63.7722	56.3784	44.5949	36.8631	36.9466
99.3575	95.5226	0.0	108.258	0.0	0.0
174.768	161.156	158.446	118.557	101.791	102.366
85.0768	107.11	86.8681	90.4909	55.3451	65.2656
2858.87	3026.08	3107.83	2618.62	2044.95	3707.14
39.1075	29.3735	27.2816	53.2635	36.5409	49.2201
42.3955	6.270630000000001	17.8809	5.92221	7.845560000000001	6.56717
532.273	648.189	708.757	705.61	109.758	446.60699999999997
36.2378	32.9388	44.8987	27.9978	19.7001	18.5751
1.49186	0.0	0.0	0.0	0.0	0.0
26.0345	8.19936	12.3935	10.2707	5.7849900000000005	23.5016
47.4584	29.9832	43.0145	22.9	28.3101	12.97
52.7032	67.9425	42.2194	42.4157	35.8141	43.417
212.824	213.23	174.894	164.146	80.7444	284.10900000000004
10.0159	2.88879	4.11873	5.45655	4.64701	7.05927
101.723	148.97	122.295	101.814	129.27	83.3666
96.2199	104.572	114.279	92.3042	105.676	48.4404
63.7485	52.0019	61.281000000000006	63.8463	128.134	44.0876
37.582	45.1643	27.5973	17.915	24.2176	42.5702
70.3568	14.8481	27.2184	17.7625	7.07707	20.7337
82.9348	67.1026	80.0755	67.1021	71.1158	38.0317
121.208	86.0099	93.6475	83.4021	67.3019	55.3471
37.2289	23.4739	20.7342	24.7597	15.9518	18.9857
0.954443	0.9176040000000001	1.1213899999999999	1.0399399999999999	2.95218	2.88299
0.0	0.0	0.0	0.0	0.0	0.0
41.6923	24.4663	24.8105	30.678	21.7721	27.2588
55.4402	36.5787	48.5338	76.9888	34.7446	48.1593
61.1517	41.5316	51.4142	42.7897	19.6668	36.1522
1.12427	1.0808799999999998	0.660461	1.5312299999999999	1.15916	2.26399
176.03599999999997	124.595	122.32	100.962	75.2716	90.9058
198.715	242.437	262.145	207.653	234.835	173.169
7.414739999999999	0.0	0.0	0.0	7.644819999999999	14.9313
74.8166	66.8275	91.3319	57.5256	99.84200000000001	61.974
42.3387	28.909000000000002	35.3293	26.427	17.4756	28.8481
244.21200000000002	143.123	159.186	129.399	103.475	143.155
37.3109	18.1568	8.659180000000001	22.0832	18.047	4.637919999999999
173.669	221.485	247.076	226.55700000000002	113.28200000000001	168.91400000000002
120.811	102.421	158.287	121.262	137.393	204.208
122.764	90.0116	69.5929	73.9069	45.3103	50.9819
251.4	347.832	314.63599999999997	304.885	338.088	272.936
217.666	212.56599999999997	218.62900000000002	245.395	249.907	240.59400000000002
3.46435	1.6653200000000001	0.0	1.5098799999999999	1.07155	0.0
0.0	0.895244	1.09406	1.0146	0.0	0.0
137.968	180.157	195.972	173.886	114.649	211.483
211.865	262.219	191.7	265.33799999999997	198.35299999999998	269.715
70.6333	5.43256	16.5976	11.2876	7.76801	5.68947
28.1053	16.0122	18.3452	16.4457	13.4155	9.432780000000001
187.25900000000001	222.392	204.483	290.448	179.44099999999997	363.782
3.71199	10.7061	4.36126	4.04451	1.27572	9.966619999999999
0.0	0.0	0.0	0.0	0.0	0.0
