cP1	cP2	cP3	cP4	cP5	cP6
21.3735	36.7421	38.9933	18.9419	11.3995	14.1452
1.3999	0.0	1.2769700000000002	0.0	0.0	0.0
40.2472	45.1219	49.4827	59.8166	50.3976	56.2829
22.5204	16.3458	25.8687	19.0079	25.3569	17.885
3.3420099999999997	5.9092199999999995	9.58111	4.89604	5.72929	3.9811900000000002
13.2465	16.5906	13.8095	12.9374	13.6253	12.3986
12.2815	13.0294	12.1632	5.5976099999999995	11.5098	12.9583
39.8613	52.2261	74.6874	57.6953	49.9894	52.6185
111.738	115.25	81.5411	108.596	95.1771	110.402
78.5278	50.9491	41.5928	80.8189	70.93	73.9321
23.7798	34.0655	39.768	28.601	21.1381	29.9016
111.666	147.56799999999998	114.59200000000001	110.007	179.6	126.094
63.565	80.9074	75.2548	89.3802	69.2469	64.4444
146.89	130.98	130.533	119.861	144.05	146.76
18.244	14.2556	17.1462	22.0479	15.9224	14.4888
0.327922	0.0	0.0	0.37364899999999995	0.0	1.17192
97.1014	88.5654	97.359	72.6943	90.8442	84.6036
198.541	179.42700000000002	189.73	171.285	190.60299999999998	189.21
106.443	87.0131	85.7335	103.867	102.369	119.382
14.1146	5.8232800000000005	15.4502	0.0	11.2919	23.5397
214.831	221.583	167.97099999999998	174.84799999999998	216.882	201.079
155.656	198.57299999999998	124.8	205.36599999999999	209.731	144.438
0.0	0.0	0.0	0.0	0.4325	0.0
10.783	7.414630000000001	14.2078	4.09555	11.5022	5.70904
98.0417	86.5657	111.04299999999999	93.0464	114.52799999999999	99.9795
27.1024	29.2544	32.7716	23.6998	21.6824	27.03
163.77	147.35399999999998	143.032	117.126	125.444	172.262
67.0541	41.497	42.8161	45.8426	38.8923	41.9363
41.0706	78.6714	48.1682	26.7415	42.2451	34.9469
245.31400000000002	233.56099999999998	275.41200000000003	205.801	221.05700000000002	211.94799999999998
17.0717	18.2604	23.6473	11.5273	14.1635	21.09
45.3153	43.6914	66.4972	58.3692	33.8888	35.2058
109.242	106.79700000000001	103.98200000000001	128.805	145.153	143.715
136.013	105.995	132.341	185.975	99.1408	104.417
63.5775	52.0978	52.7224	65.8573	51.8684	60.7693
44.3637	56.9642	38.8163	29.9173	34.0432	30.1992
3.8424300000000002	0.0	3.50501	19.702	6.14803	2.2886599999999997
17.4657	27.5519	27.1781	37.4611	27.9458	23.2539
189.46200000000002	180.94099999999997	160.937	182.185	180.043	189.872
70.1709	64.7942	89.0031	70.818	85.0091	77.2227
26.2285	33.6512	53.6861	21.1388	42.9902	8.382769999999999
679.416	704.045	683.4680000000001	817.567	645.143	922.821
39.2053	44.0056	45.7551	38.1028	40.1288	34.3409
58.028999999999996	44.7498	57.8804	54.0707	41.6517	72.3577
168.343	125.016	153.56	155.372	146.798	120.323
13.999	9.62601	31.9243	13.2926	7.46632	11.1176
580.238	494.392	282.115	598.3340000000001	514.284	454.13
130.989	139.61	129.444	172.265	144.965	120.28200000000001
249.489	140.066	144.519	191.31799999999998	190.753	196.25599999999997
260.536	291.783	340.407	278.25	307.491	376.944
39.4445	35.3487	39.5199	52.3129	53.2837	50.0698
83.0304	67.6337	60.5915	108.193	99.1279	102.461
62.3394	135.02700000000002	99.5141	56.8258	69.8217	51.9835
138.279	140.635	77.4418	95.2694	66.3754	126.417
440.8	384.963	369.80699999999996	626.9159999999999	512.241	517.44
91.5846	106.40700000000001	27.8474	50.3785	74.1116	28.8427
0.8260290000000001	0.8519909999999999	0.7534930000000001	0.0	0.0	0.9840120000000001
7.835780000000001	2.02052	5.36078	3.34816	6.26877	4.66721
0.0	0.0	0.0	0.0	0.0	0.0
37.018	63.6358	33.7674	14.06	59.2302	44.0979
34.8681	22.8233	22.0197	25.9775	24.6765	27.1587
54.3376	42.9938	54.318999999999996	75.485	47.6396	52.316
93.6165	79.1019	108.071	88.5909	99.8599	86.9487
0.0	0.0	0.0	0.0	0.0	0.0
2.1411700000000002	0.0	0.0	0.0	0.85649	0.0
88.2971	68.3042	82.7808	89.4307	105.959	58.4358
63.4728	52.608000000000004	54.2804	45.2023	44.8854	35.1057
0.0	0.0	0.0	0.0	0.0	0.0
121.463	135.721	113.105	113.603	104.461	106.711
31.7225	46.5625	54.5349	33.3656	39.044000000000004	49.4173
1095.29	861.845	964.09	1222.29	1423.69	1059.96
29.4444	83.5172	30.8877	40.2603	38.8676	38.5834
0.0	0.0	0.0	0.0	0.0	0.0
416.783	595.222	409.42900000000003	365.30800000000005	273.587	496.496
43.6541	62.218	62.2651	47.9326	53.9736	40.6571
0.0	0.0	0.0	0.0	0.0	0.0
12.4369	15.6164	29.3484	9.24205	14.2757	17.7142
28.5855	27.378	30.1729	22.3348	22.2155	28.2151
54.1101	44.6487	69.7601	57.5451	60.0276	58.4428
2.1605	4.45681	0.656926	1.6411799999999999	2.88073	1.7158
7.842689999999999	11.2004	9.90555	8.2489	7.72222	11.4987
115.417	105.81700000000001	100.083	116.899	88.9158	96.75299999999999
85.67399999999999	68.8741	74.7029	66.0375	75.5965	45.0263
60.5051	104.811	79.2501	80.4326	91.8459	56.368
16.9775	8.75557	18.0678	3.22416	4.52745	13.4831
194.31799999999998	204.69	210.25400000000002	211.99200000000002	227.399	230.25099999999998
120.681	110.19	116.4	112.712	117.12200000000001	104.875
106.944	108.427	110.54	79.226	99.199	91.70299999999999
158.13299999999998	150.78799999999998	163.639	128.418	114.86	138.42
10.9229	14.8239	20.4518	16.3763	17.9369	14.3816
0.0	0.0	0.0	1.22425	0.0	0.0
9.78405	17.4921	20.8247	11.8916	16.1767	20.2025
57.6196	79.691	65.6998	73.115	64.9545	90.4796
19.5994	17.4271	11.7134	19.2521	10.273	14.4918
1.01577	2.44462	0.617715	1.15741	0.5417569999999999	0.40334699999999996
156.64	155.92700000000002	172.554	163.658	160.911	167.38
573.96	648.312	731.705	743.321	678.688	648.7130000000001
312.627	479.07300000000004	187.4	305.332	357.29699999999997	446.903
53.0542	45.8212	52.4769	55.3539	47.3025	54.0636
155.659	154.559	206.127	143.585	178.388	174.642
197.47099999999998	218.226	204.94400000000002	206.639	218.43200000000002	223.237
11.6529	2.8617	7.0864	1.89683	1.77572	1.98308
246.215	303.863	267.435	220.546	235.688	147.5
40.5734	27.2926	40.6312	29.6482	33.1651	42.028999999999996
74.2318	64.1009	55.1155	44.5864	40.512	21.2504
427.94	373.48400000000004	305.08299999999997	306.07099999999997	422.42	276.069
284.547	249.97799999999998	347.086	295.007	303.744	301.524
12.9374	10.7613	10.2786	9.035060000000001	9.01464	11.9317
1.12176	2.31403	2.04651	2.5563599999999997	6.28199	2.6726
274.112	253.304	214.968	245.91099999999997	307.608	276.301
269.893	281.401	219.433	270.758	305.103	216.671
96.434	242.226	121.08200000000001	182.273	136.145	124.338
36.3652	38.1548	29.7403	39.2928	31.0992	34.3574
164.543	125.917	89.5721	133.055	125.26799999999999	164.398
4.47166	1.5374	1.3596700000000002	3.39681	0.0	7.102530000000001
0.0	0.0	0.0	0.0	0.0	0.0
14.0342	10.3395	10.5158	7.4244699999999995	12.8316	19.7037
64.8467	65.1844	58.9017	58.2347	54.2966	50.0809
0.0	0.0	0.0	0.0	0.0	0.0
6.64953	0.0	0.0	7.57677	5.31975	0.0
43.7702	40.6313	42.4674	39.8989	48.7054	39.8172
419.098	373.658	336.939	615.135	420.529	533.101
261.464	252.005	317.763	246.605	227.989	218.40900000000002
591.5459999999999	638.655	671.3489999999999	549.112	682.6060000000001	646.196
20.5656	16.9696	48.7751	32.8066	39.4868	24.4989
31.938000000000002	26.6672	22.1969	19.0623	24.3343	19.9291
14363.0	6172.68	10918.1	9546.73	8618.0	14258.3
94.2194	105.656	128.41899999999998	107.98200000000001	92.0305	121.375
37.1929	47.5598	68.6474	49.3185	27.1449	48.4519
16.4524	0.0	11.2558	14.06	0.0	4.899769999999999
4.78129	14.7947	14.5381	12.712	8.92528	9.4929
44.8043	40.436	49.6278	24.1585	53.7665	42.4128
174.264	125.346	106.671	190.726	143.083	193.935
3.45264	3.5611599999999997	5.24909	3.9340900000000003	1.84145	1.37099
11.4117	8.601460000000001	11.6108	8.50198	14.7478	17.2543
51.5094	37.7491	50.6957	74.1373	63.9816	48.4428
91.6952	112.68799999999999	89.87200000000001	97.8126	90.5268	124.339
0.0	0.766316	0.0	0.0	0.0	0.0
33.3073	31.5837	41.6535	24.4851	45.9867	25.5984
0.0	0.0	0.0	0.0	0.0	0.0
25.4909	26.6905	27.8326	26.405	25.955	24.385
5.1418800000000005	10.607000000000001	12.5076	6.509869999999999	13.2549	5.44471
64.8678	73.3815	41.9927	85.8347	50.2214	102.20100000000001
8.81938	6.49755	2.29855	2.8712	7.05567	4.50263
0.0	0.0	0.0	0.0	6.51398	0.0
67.7679	80.7272	61.8171	55.4663	83.9961	81.866
31.5986	26.666	27.0769	42.5511	44.4306	35.3607
26.6894	24.7048	23.7215	21.0538	18.0671	22.0112
139.17600000000002	112.23	85.406	135.517	125.515	156.751
173.433	197.01	141.75	159.674	168.71900000000002	175.75
122.354	135.548	170.515	121.988	151.36	156.55200000000002
33.3452	48.2712	35.7534	35.3286	41.1852	27.1786
0.584146	0.0	2.1314	0.0	0.46732799999999997	0.0
