cV1	cV2	cV3	cV4	cV5	cV6
17.0204	14.7096	22.6043	25.8803	1.80955	5.796209999999999
0.0	0.0	0.0	0.0	1.0666799999999999	1.7083599999999999
53.3007	39.2901	31.7974	42.5401	49.333999999999996	44.8444
13.4503	24.5399	28.1476	18.1794	20.3375	19.3396
4.27717	5.91434	4.95742	6.8038	4.72922	5.24364
11.0195	13.9189	11.4622	79.317	15.8611	8.08262
7.2303	14.1274	10.9307	17.9434	10.4276	9.420760000000001
49.2228	35.0329	33.5597	45.1557	50.8953	36.8119
130.135	102.79700000000001	84.7433	97.52600000000001	95.6586	90.6386
61.2735	58.8383	77.8136	40.3468	62.731	46.3697
33.1391	20.457	25.1492	24.3642	44.292	32.2438
97.9542	118.87700000000001	128.832	98.4834	111.675	83.7494
81.1787	77.4871	76.0675	78.2281	95.8385	97.3764
113.766	110.06	125.463	100.098	104.704	86.7367
38.632	26.9664	20.5702	61.1749	29.0664	28.3358
0.293777	0.253891	1.7025	1.64936	0.49973199999999995	0.800354
77.6445	74.5588	91.66	57.5175	68.485	64.6347
146.529	163.235	154.61700000000002	200.514	146.959	96.9149
99.4172	110.906	113.661	120.081	125.542	139.57
5.05795	13.1137	7.32798	11.8321	10.7549	6.8898399999999995
339.099	217.815	199.171	235.833	265.029	349.556
195.22799999999998	190.28799999999998	136.107	285.693	134.211	109.973
7.264810000000001	0.0	0.0	0.0	0.0	0.0
2.14672	7.42105	4.1469	7.03055	4.56462	4.3863199999999996
80.3819	104.59299999999999	104.463	120.006	111.961	115.646
40.6554	37.5757	28.9055	31.7018	34.0984	24.6133
112.37899999999999	129.496	152.263	109.537	127.443	93.5493
55.5666	36.3413	49.3185	43.5633	42.1518	40.9144
42.0504	31.7987	53.3075	90.991	15.6473	0.0
181.12900000000002	198.28099999999998	164.45	242.93099999999998	245.463	182.581
14.7276	9.79085	15.3192	19.0813	18.3077	20.0617
7.06032	35.8478	23.8677	49.5487	23.2694	26.4479
127.65299999999999	153.715	123.296	102.725	154.89700000000002	141.428
135.39	98.2867	122.92299999999999	63.3435	112.85	92.2125
53.1302	64.5949	71.5392	54.9815	72.1874	58.8797
23.5221	30.8434	32.1204	72.1023	24.8354	11.0488
5.16349	2.97497	8.3121	20.9369	2.92781	2.3445400000000003
31.2942	22.2727	30.2261	31.0051	27.3995	40.1207
155.365	154.451	162.20600000000002	142.017	177.972	173.1
38.3173	64.6778	64.1884	57.1428	76.8921	55.4572
15.4739	41.1098	29.8916	43.4378	4.38702	3.9033800000000003
952.827	779.2180000000001	752.7280000000001	777.1389999999999	1023.29	941.477
36.6726	31.6936	37.9154	43.9816	44.3705	29.5506
74.0931	55.4259	58.6593	80.6962	90.0854	87.0299
208.123	110.787	152.95	170.755	141.099	170.511
6.2706800000000005	14.4515	4.03777	19.5587	0.0	0.0
510.61199999999997	412.351	546.5459999999999	508.338	435.715	474.339
119.306	141.14	127.041	124.905	131.416	118.557
203.706	218.83900000000003	171.248	246.207	203.338	278.769
254.206	502.63	442.69699999999995	593.2230000000001	492.041	405.035
34.1787	50.5657	36.3694	49.3278	41.8806	41.8229
94.6022	78.4616	81.7939	90.663	88.2487	107.561
94.9419	86.8785	97.0958	73.1617	68.8759	83.6828
113.509	79.6736	111.304	86.2642	126.927	85.551
605.322	473.316	442.673	469.314	502.587	545.779
54.6988	63.5733	47.3666	35.2985	20.053	6.42324
0.0	0.0	0.0	0.69245	0.0	0.0
4.38742	3.0334	5.93275	2.4632400000000003	0.7463270000000001	2.39058
0.0	0.0	0.0	0.0	0.0	0.0
77.3814	85.9828	10.6772	31.0318	18.8044	15.0582
36.6439	26.9964	34.813	22.4843	31.6777	20.4572
62.6834	39.189	41.8655	46.1746	45.9409	46.3264
61.1245	72.0724	57.2077	68.28	61.6605	59.3811
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
59.3273	98.7471	65.7917	78.1305	56.0663	65.8488
50.2634	61.868	46.096000000000004	47.5076	40.5914	55.3275
0.0	0.0	0.0	0.0	0.0	0.0
115.616	105.405	126.12200000000001	121.337	112.21799999999999	96.34700000000001
14.2097	23.6163	41.1741	36.8206	37.187	28.2898
1485.01	1292.14	1096.27	1344.12	1471.26	1411.04
17.146	23.936999999999998	17.8347	29.6195	16.8268	14.3729
0.0	0.0	0.0	0.0	0.0	0.0
392.533	297.869	425.37199999999996	197.08900000000003	545.578	443.41
31.9979	46.7039	41.2078	43.9137	42.3348	34.8695
0.0	0.0	0.0	0.0	1.3693899999999999	0.0
10.173	24.0729	27.6059	17.6784	32.1378	24.0856
22.6823	20.8674	30.0353	31.8364	25.8263	22.4255
40.7197	43.0116	35.5842	47.1743	43.9789	34.3371
3.22589	2.78792	0.623158	1.20741	1.0974899999999999	0.878848
8.64746	9.34177	8.352319999999999	11.126	10.113	5.8897
88.0806	108.115	90.0062	81.2244	90.1155	79.9877
59.8222	112.18	65.4119	69.7072	72.0009	84.5637
61.1543	66.665	67.7929	54.6224	55.56	33.1319
0.0	13.1447	7.3453100000000004	2.37201	12.9363	3.45306
121.303	219.27200000000002	181.558	175.025	192.168	181.635
110.773	111.051	105.281	111.945	122.85799999999999	124.336
86.3168	113.05	114.59899999999999	118.1	101.419	83.8406
111.40299999999999	151.06799999999998	155.47899999999998	124.016	147.564	131.138
11.8456	15.1335	9.45152	9.63843	13.5794	12.6281
0.0	0.0	0.0	0.0	0.0	0.0
8.76528	14.6455	11.2882	9.84223	10.4372	10.3479
119.664	80.098	66.8551	58.1817	96.789	76.7079
13.3203	10.9886	8.77206	11.8976	7.20958	13.1961
1.51667	1.0486	0.878943	0.28383600000000003	1.8059599999999998	0.0
182.28900000000002	179.90099999999998	154.227	189.33	191.919	187.66099999999997
642.117	592.874	543.888	490.532	529.0740000000001	432.214
520.138	456.436	401.909	254.584	394.751	141.704
48.1025	57.6561	55.8636	45.0106	49.9232	43.2928
86.3339	133.615	171.65400000000002	126.62	153.694	171.71200000000002
157.955	231.676	200.512	192.56400000000002	181.942	164.753
2.98271	2.57776	6.24198	11.164000000000001	1.26844	0.0
182.327	218.178	213.049	165.835	155.075	121.57600000000001
25.285999999999998	24.9261	30.1471	29.2061	24.8669	31.215
41.7573	36.088	63.2367	50.168	35.9543	35.1117
294.908	460.80300000000005	345.22900000000004	365.36	265.878	183.183
245.28400000000002	255.532	241.207	240.612	221.858	217.02700000000002
13.4597	12.6016	11.5558	3.8483099999999997	8.58589	14.2601
1.00495	3.47405	1.9413099999999999	0.0	0.8547440000000001	0.0
247.792	265.047	245.775	227.706	273.131	227.043
499.349	342.971	261.46	331.994	511.889	497.62199999999996
97.5729	124.73200000000001	128.602	36.14	30.2563	6.92249
43.8126	43.2041	37.977	26.2797	27.2314	45.9082
261.533	164.382	163.046	151.283	121.33200000000001	123.07
1.33535	2.3081	2.57955	1.24952	3.4072699999999996	0.0
0.0	0.0	0.9280360000000001	0.0	0.0	0.0
10.7767	8.1494	13.4449	32.3529	16.0404	23.2431
62.5254	64.248	57.776	41.9219	57.5765	93.5537
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	5.753819999999999	16.7227	0.0	0.0
22.8146	39.7423	39.5958	35.3578	31.2291	22.337
184.548	230.988	322.692	238.18599999999998	330.165	234.05
272.803	230.827	238.315	267.964	228.68599999999998	206.232
343.76300000000003	464.274	483.816	523.058	455.824	390.32
3.6848300000000003	22.2918	7.118130000000001	17.2399	28.2066	35.1358
17.7125	23.5503	25.0039	35.6977	20.8592	29.6955
12867.4	11120.4	12428.3	16053.8	19152.2	16067.1
124.15899999999999	93.7307	96.2218	90.4632	121.88	145.73
53.1953	55.2351	50.626999999999995	63.6331	75.2414	58.9248
25.7938	3.18455	3.5590699999999997	62.0635	6.26812	0.0
9.99467	12.3396	13.7908	1.3360299999999998	17.0016	15.5595
28.6707	31.9019	50.1921	33.1994	44.8081	41.4956
139.685	99.4165	113.09200000000001	144.161	136.278	109.12899999999999
3.09313	0.8910610000000001	0.0	1.9295400000000003	2.6308	0.0
