ENSEMBL ID	hC1	hC2	hC3	hC4	hC5	hC6
ENSG00000000003	11.9604	8.579410000000001	10.9004	9.108889999999999	3.8696599999999997	4.43072
ENSG00000000005	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000000419	30.2158	39.5104	38.8206	46.9827	49.8982	57.133
ENSG00000000457	25.2044	18.0795	14.6756	15.9961	19.0274	20.23
ENSG00000000460	14.0834	13.7982	9.13075	10.9873	13.614	8.01666
ENSG00000000938	5.446000000000001	5.1273	13.7526	5.08081	3.0834900000000003	5.29585
ENSG00000000971	10.6034	13.6274	10.469000000000001	18.0351	7.14712	5.89204
ENSG00000001036	46.5067	35.0281	40.3834	47.1071	22.8209	47.2344
ENSG00000001084	42.088	35.0243	34.6944	51.4299	26.2397	35.5626
ENSG00000001167	41.9184	28.598000000000003	40.6947	53.4388	40.2444	44.898
ENSG00000001460	36.1189	63.2376	30.3189	53.7123	33.3662	40.6687
ENSG00000001461	211.731	150.227	143.262	189.167	180.058	134.549
ENSG00000001497	112.874	112.376	137.60299999999998	139.023	157.567	126.163
ENSG00000001561	60.6827	28.2448	30.4485	63.2473	50.9581	47.7381
ENSG00000001617	11.9328	14.48	13.1107	6.785589999999999	9.909180000000001	9.28303
ENSG00000001626	0.235931	0.0	0.0	0.25155500000000003	0.0	0.305902
ENSG00000001629	76.7904	43.4866	43.8938	86.1848	49.6894	58.0168
ENSG00000001630	131.281	97.3417	67.9853	138.524	98.5937	119.06299999999999
ENSG00000001631	82.6932	76.1919	60.2047	112.926	84.8762	65.4925
ENSG00000002016	12.2149	10.2223	6.4938400000000005	17.365	23.0533	21.1166
ENSG00000002330	88.323	124.73100000000001	223.03799999999998	172.648	95.8484	162.233
ENSG00000002549	69.5521	91.7485	85.86	87.3555	54.7314	76.4231
ENSG00000002726	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000002745	3.44805	0.0	0.9165479999999999	2.7572799999999997	0.0	1.11766
ENSG00000002746	32.8212	20.0313	19.0877	29.3878	23.8193	29.624000000000002
