ENSEMBL ID	hK1	hK2	hK3	hK4	hK5	hK6
ENSG00000000003	97.2763	59.6159	203.9	135.91299999999998	38.0046	116.848
ENSG00000000005	1.59283	0.0	0.0	2.35639	1.17909	0.0
ENSG00000000419	33.8476	61.8239	64.1034	82.4736	67.7977	43.0491
ENSG00000000457	17.0827	24.8157	23.8712	20.3577	18.2656	8.54983
ENSG00000000460	10.3213	9.32167	3.27932	5.22363	16.8892	2.93634
ENSG00000000938	20.4549	39.5868	1.08317	7.96329	8.76629	5.8192900000000005
ENSG00000000971	56.6946	153.336	11.6494	63.4951	31.6239	61.8666
ENSG00000001036	576.128	324.534	133.19799999999998	397.14	20.8702	284.915
ENSG00000001084	105.449	53.1665	83.5218	120.595	21.5908	28.2975
ENSG00000001167	46.1162	44.7487	42.0488	35.1775	58.6738	31.1594
ENSG00000001460	6.0126599999999994	20.8809	21.1732	21.1256	8.90175	8.125169999999999
ENSG00000001461	9.26441	41.0957	74.5692	22.5162	16.6551	54.8468
ENSG00000001497	53.8592	80.4758	116.119	77.4014	80.8777	80.407
ENSG00000001561	28.0353	45.8172	130.186	124.42399999999999	10.3766	91.3132
ENSG00000001617	14.4679	234.388	275.941	50.7168	101.976	143.941
ENSG00000001626	0.746229	4.26839	620.536	4.41581	0.0	4.70592
ENSG00000001629	66.1988	92.8912	57.4174	100.634	59.1423	55.1139
ENSG00000001630	33.3475	63.2889	372.316	194.15099999999998	47.7783	112.417
ENSG00000001631	91.4784	117.389	110.18700000000001	95.3034	89.6533	94.0198
ENSG00000002016	6.43909	13.154000000000002	6.47853	9.525830000000001	11.9163	17.4028
ENSG00000002330	168.77900000000002	194.983	234.22400000000002	253.99200000000002	150.78799999999998	220.213
ENSG00000002549	134.22899999999998	252.88099999999997	322.623	572.9730000000001	92.463	256.969
ENSG00000002726	14.7628	927.3580000000001	0.0	3024.8	0.9106799999999999	1756.67
ENSG00000002745	2.72646	0.0	0.0	0.0	0.0	0.0
ENSG00000002746	8.029539999999999	0.468658	0.577052	68.3025	0.0	21.1846
ENSG00000002822	23.666	41.0206	25.254	20.1577	34.5066	19.3823
ENSG00000002834	150.658	259.17400000000004	41.8841	230.21099999999998	68.9691	175.016
ENSG00000002919	30.5181	45.199	46.0575	53.6128	31.0626	61.8605
ENSG00000002933	627.5269999999999	2321.12	0.0	2076.44	9.883560000000001	757.791
ENSG00000003056	187.104	245.625	331.751	266.586	96.4982	129.875
ENSG00000003096	30.9352	7.05439	34.7438	72.9043	90.53399999999999	33.7025
ENSG00000003137	1.1208799999999999	1.83182	2.25549	2.4873	804.8389999999999	16.1567
ENSG00000003147	25.9403	51.2255	187.044	71.954	6.40078	114.9
ENSG00000003249	24.0734	30.9119	27.680999999999997	33.0698	35.6407	24.7859
ENSG00000003393	59.4727	34.3451	21.2882	35.7429	55.4542	27.3045
ENSG00000003402	175.127	267.685	95.355	210.31	181.493	139.21
ENSG00000003436	198.925	432.27099999999996	0.0	181.09799999999998	25.8908	110.28299999999999
ENSG00000003509	108.71600000000001	44.8953	38.8128	51.0163	40.6711	42.1253
ENSG00000003756	270.32099999999997	172.423	134.841	129.083	423.42800000000005	165.43599999999998
ENSG00000003987	4.56237	1.8640400000000001	0.765053	3.3747300000000005	0.0	6.85036
ENSG00000003989	2.18365	45.2031	4.39404	24.7666	3.2328900000000003	5.24597
ENSG00000004059	534.633	522.469	759.612	555.783	419.82800000000003	481.648
ENSG00000004139	32.1753	26.8281	11.8919	19.4283	23.8178	14.1975
ENSG00000004399	26.8424	345.9	54.945	39.4818	30.3762	87.2784
ENSG00000004455	111.095	256.686	142.61	510.05400000000003	120.521	293.35200000000003
ENSG00000004468	2.6547099999999997	0.0	0.0	0.0	5.89546	0.0
ENSG00000004478	148.838	223.261	371.165	460.034	213.27200000000002	296.908
ENSG00000004487	93.15100000000001	97.9371	88.7231	90.9515	173.30700000000002	96.2275
ENSG00000004534	691.115	274.53700000000003	510.36400000000003	215.293	337.814	314.009
ENSG00000004660	8.80518	28.7801	20.6713	5.06573	7.966489999999999	10.5767
ENSG00000004700	56.6525	92.5855	51.0775	40.8167	32.6782	39.7699
ENSG00000004766	15.9878	36.8172	40.458	34.0444	34.0703	18.3315
ENSG00000004776	3.54653	20.285999999999998	28.546	41.9732	26.2532	172.533
ENSG00000004777	33.6987	33.5226	16.2155	13.547	46.0949	22.4393
ENSG00000004779	384.398	188.463	850.8560000000001	544.297	146.34	329.81199999999995
ENSG00000004799	7.18664	141.918	32.538000000000004	274.653	15.9597	202.865
ENSG00000004809	0.0	2.30399	0.0	0.0	0.0	0.0
ENSG00000004838	11.1446	10.9279	2.24257	3.2974	4.12489	4.01604
ENSG00000004846	11.4609	0.0	0.0	0.0	0.0	0.0
ENSG00000004848	28.0798	0.0	0.0	0.0	602.795	0.0
ENSG00000004864	35.8587	44.8872	56.8042	116.255	13.5546	45.3644
ENSG00000004866	57.5914	37.3711	232.62900000000002	100.861	30.0932	67.1438
ENSG00000004897	46.9402	64.4192	29.0632	52.0816	62.3673	29.2765
ENSG00000004939	0.0	8.58003	865.2289999999999	301.353	0.0	645.139
ENSG00000004948	0.0	0.995375	1.22559	9.01034	0.0	8.77925
ENSG00000004961	94.8843	84.3744	530.675	132.112	26.8557	65.3676
ENSG00000004975	79.3133	83.2514	39.5752	51.9895	128.40200000000002	72.0339
ENSG00000005001	0.0	0.0	137.02100000000002	100.736	0.0	0.0
ENSG00000005007	52.4017	98.8136	202.2	126.505	61.3825	115.16799999999999
