ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000000003	11.6979	7.06336	34.5839	40.0726	0.0	3.5975300000000003
ENSG00000000005	1.7239	1.38789	44.3702	1.4763600000000001	0.0	21.2065
ENSG00000000419	58.1817	55.5155	61.4587	158.709	40.4924	29.1589
ENSG00000000457	13.3527	22.3271	14.29	30.7875	8.27182	7.58113
ENSG00000000460	1.1758600000000001	4.25999	4.4987699999999995	2.51753	0.0	2.89295
ENSG00000000938	0.0	5.62835	76.9996	8.98071	10.9474	37.2664
ENSG00000000971	51.8535	46.269	151.197	52.5491	29.5795	90.3653
ENSG00000001036	25.2068	17.0894	79.367	79.5321	12.4648	24.48
ENSG00000001084	20.2353	33.2339	50.6743	34.6592	19.5553	13.9397
ENSG00000001167	7.798610000000001	15.0685	40.1445	21.3721	12.5609	44.1297
ENSG00000001460	1.62686	2.61952	9.053519999999999	2.78651	2.1836	4.00255
ENSG00000001461	5.72959	10.3788	14.9462	2.45343	3.8451800000000005	0.0
ENSG00000001497	19.9856	30.8393	45.1832	41.3631	49.1792	30.7314
ENSG00000001561	46.6805	61.0704	54.391000000000005	128.92700000000002	57.9562	34.4542
ENSG00000001617	29.2745	13.1545	71.9849	33.2335	19.1895	23.4496
ENSG00000001626	0.0	0.0	40.1697	0.0	0.0	0.0
ENSG00000001629	15.8116	24.6637	30.2472	22.0044	14.5905	14.5879
ENSG00000001630	19.7922	12.1851	65.6005	54.8387	14.0641	14.3219
ENSG00000001631	30.678	59.5006	57.7162	66.2791	46.7915	39.4537
ENSG00000002016	3.4844800000000005	14.0265	9.69561	2.98413	0.0	4.28642
ENSG00000002330	176.36900000000003	106.494	179.649	70.1271	135.27100000000002	46.4911
ENSG00000002549	131.151	181.12400000000002	265.276	172.798	119.161	85.6315
ENSG00000002726	0.0	0.0	0.926207	0.0	0.893561	1.6379
ENSG00000002745	0.0	0.0	2.05267	0.0	1.98032	0.0
ENSG00000002746	2.48294	3.99796	0.43180100000000005	0.531602	1.24974	1.14539
ENSG00000002822	34.9274	23.7454	39.4143	27.9179	26.0446	25.7794
ENSG00000002834	49.3458	34.5457	158.19899999999998	16.5365	14.3984	13.1962
ENSG00000002919	22.7077	19.9436	50.2603	21.2149	11.0832	2.53943
ENSG00000002933	7.22518	2.90844	67.8515	6.18769	0.0	66.6601
ENSG00000003056	92.95100000000001	114.92299999999999	170.885	183.373	40.1016	59.2134
ENSG00000003096	16.3511	10.0297	24.3735	14.0032	4.18034	7.662560000000001
ENSG00000003137	1.21312	0.976662	23.6286	3.1167599999999998	1.62827	8.95385
ENSG00000003147	2.3395799999999998	6.59247	37.431999999999995	8.01453	7.850569999999999	7.19505
ENSG00000003249	160.049	233.733	119.102	28.6884	34.9707	77.8374
ENSG00000003393	28.1605	35.8759	29.9219	27.8271	17.8603	16.7497
ENSG00000003402	110.37799999999999	176.83	279.207	528.0219999999999	143.662	290.763
ENSG00000003436	18.927	24.7614	72.4136	168.17	15.8776	87.3108
ENSG00000003509	34.1599	57.0404	36.0839	80.1797	30.5667	28.0144
ENSG00000003756	37.0336	87.9548	154.569	129.506	110.184	142.744
ENSG00000003987	0.0	0.66256	2.28992	1.40959	1.1046	1.01237
ENSG00000003989	152.829	248.618	96.4483	199.025	37.008	87.2174
ENSG00000004059	383.145	361.974	416.108	552.46	467.036	375.135
ENSG00000004139	2.84269	3.4329199999999997	15.8196	3.65175	2.86164	3.49692
ENSG00000004399	18.6997	17.4744	127.29299999999999	18.0163	32.7184	19.3063
ENSG00000004455	107.79799999999999	133.518	116.80799999999999	239.675	172.514	130.05700000000002
ENSG00000004468	48.8439	55.5155	33.9772	4.9212	77.1284	28.2753
ENSG00000004478	334.829	293.65	412.205	409.923	168.33700000000002	176.928
ENSG00000004487	71.2437	112.009	94.9102	126.056	67.6588	81.0256
ENSG00000004534	19.4451	69.9254	204.25099999999998	82.1542	189.657	137.143
ENSG00000004660	2.11773	2.55742	9.575460000000001	9.06816	1.4212200000000001	9.11787
ENSG00000004700	15.9258	26.9255	53.7305	34.0975	24.5823	22.5297
ENSG00000004766	19.4008	28.2836	28.0857	32.7809	11.2606	14.1905
ENSG00000004776	23782.6	9471.52	7532.3	5351.58	5193.15	9689.04
