ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6
ENSG00000000003	18.1547	17.8352	13.8091	16.0105	14.9497	24.5521
ENSG00000000005	1.4269	1.31417	0.0	3.14593	1.10155	0.0
ENSG00000000419	59.7513	49.2814	44.7706	45.2228	46.816	54.2731
ENSG00000000457	14.4529	12.5281	15.5201	9.37202	19.6898	12.9348
ENSG00000000460	6.08295	4.03372	7.217980000000001	1.6093600000000001	6.38655	3.4551199999999995
ENSG00000000938	12.0553	15.1	3.3010900000000003	35.084	8.189810000000001	16.6295
ENSG00000000971	35.5877	29.3174	21.6282	41.3993	17.6714	26.4826
ENSG00000001036	52.1601	40.4542	55.1271	54.4733	61.0366	55.6898
ENSG00000001084	66.661	48.1285	68.7954	79.024	101.889	66.5941
ENSG00000001167	39.3756	42.8044	35.3514	31.3095	53.8188	41.9023
ENSG00000001460	57.9027	83.09299999999999	41.4822	41.5638	58.2145	49.1693
ENSG00000001461	135.753	147.41299999999998	129.862	65.3491	179.396	69.7481
ENSG00000001497	90.9828	93.95200000000001	78.6418	66.8644	91.5223	65.7165
ENSG00000001561	146.825	139.673	119.027	86.2516	183.44400000000002	87.198
ENSG00000001617	14.6512	5.7089	10.287	21.1206	7.830439999999999	10.8596
ENSG00000001626	0.501368	0.61568	1.14408	0.0	1.03214	0.339021
ENSG00000001629	82.8191	73.8279	75.1276	57.2579	106.086	82.1356
ENSG00000001630	248.143	263.597	205.605	144.474	273.77	148.569
ENSG00000001631	96.3763	76.5376	79.6722	95.4271	102.469	105.948
ENSG00000002016	11.5366	7.9689	23.0348	3.1794	17.8124	17.5522
ENSG00000002330	328.461	326.52099999999996	303.376	235.642	229.42	243.255
ENSG00000002549	116.071	113.054	93.369	109.542	115.39200000000001	116.882
ENSG00000002726	0.275519	0.0	0.0	0.0	0.0	0.0
ENSG00000002745	8.54852	3.3742199999999998	1.39335	2.69246	5.656630000000001	8.67066
ENSG00000002746	112.906	100.319	73.8627	77.8782	114.035	58.8879
ENSG00000002822	36.9404	34.9096	39.5818	42.4924	35.2132	41.0521
ENSG00000002834	213.1	192.99400000000003	123.595	178.143	205.639	145.898
ENSG00000002919	51.2604	31.4738	58.4857	43.3226	58.0398	43.3273
ENSG00000002933	19.4362	16.5238	34.1167	32.9629	18.4672	57.6253
ENSG00000003056	204.707	193.59599999999998	139.509	177.19799999999998	196.21400000000003	142.137
ENSG00000003096	25.4569	21.3683	19.1183	19.8927	24.8766	20.2643
ENSG00000003137	90.3701	73.9829	45.8258	53.1313	68.9899	29.5353
ENSG00000003147	161.214	148.032	146.929	143.02700000000002	150.244	142.40200000000002
ENSG00000003249	277.272	249.692	242.53799999999998	210.563	156.971	231.236
ENSG00000003393	69.6702	72.4228	42.9599	49.6955	69.8017	51.4404
ENSG00000003402	38.7593	46.7465	21.0584	30.5193	44.8829	54.2895
ENSG00000003436	10.7704	7.21422	0.0	6.47617	3.02353	19.8624
ENSG00000003509	59.1672	64.6199	56.1563	61.1836	52.5484	52.0463
ENSG00000003756	160.418	164.213	157.382	153.186	183.791	142.501
ENSG00000003987	85.1477	84.6946	60.6214	68.3331	107.277	47.6731
ENSG00000003989	7.172619999999999	4.80434	1.48793	10.7821	5.0338199999999995	9.920580000000001
ENSG00000004059	836.523	849.4169999999999	882.436	1105.87	806.924	964.9960000000001
ENSG00000004139	40.294000000000004	40.6322	28.1882	27.8834	46.7735	28.6386
ENSG00000004399	89.1366	89.3495	57.3939	50.2732	64.0119	61.3948
ENSG00000004455	52.3346	36.3476	70.479	49.1801	45.0382	53.9525
ENSG00000004468	3.56724	4.38057	8.14012	5.24322	5.50777	9.64856
ENSG00000004478	341.42800000000005	427.167	399.876	386.353	424.962	351.619
ENSG00000004487	112.375	105.035	110.443	118.36	112.521	119.624
ENSG00000004534	174.362	176.893	186.084	156.726	242.291	198.075
ENSG00000004660	234.88400000000001	308.348	193.99400000000003	227.046	201.627	202.68200000000002
ENSG00000004700	38.5574	26.7094	27.8242	26.1566	34.091	31.4204
ENSG00000004766	94.3968	99.5305	84.1811	70.8086	82.7576	81.8789
ENSG00000004776	90.5466	64.3738	39.8738	98.0646	51.5062	132.121
ENSG00000004777	107.956	122.697	101.084	101.28200000000001	104.366	97.1836
ENSG00000004779	523.09	383.6	591.2090000000001	444.68	415.215	415.80199999999996
ENSG00000004799	13.949000000000002	26.6822	34.2787	47.3135	35.6188	60.9463
ENSG00000004809	0.0	0.0	0.0	0.0	0.649985	0.853987
ENSG00000004838	5.49098	7.355910000000001	6.8345	4.40224	2.31218	6.07575
ENSG00000004846	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000004848	113.196	69.502	43.0503	83.1888	77.6766	102.056
ENSG00000004864	13.6694	10.7011	29.6328	14.3153	29.5476	12.4783
ENSG00000004866	37.1765	43.3235	39.8197	57.7096	45.1	53.0986
ENSG00000004897	98.1173	113.70200000000001	75.6567	71.9095	104.463	59.6021
ENSG00000004939	0.0	0.0	0.0	4.14768	0.726159	0.9540690000000001
ENSG00000004948	1.09123	1.00502	1.24504	0.0	0.0	0.0
ENSG00000004961	116.25	119.729	62.7523	77.1656	73.3391	43.1071
ENSG00000004975	44.479	43.6252	62.6118	43.938	55.2967	50.3877
ENSG00000005001	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000005007	91.8222	88.844	75.3365	86.4366	113.49700000000001	88.425
ENSG00000005020	66.53399999999999	62.9958	36.8919	39.7571	48.9635	35.319
