ENSEMBL ID	hV1	hV2	hV3	hV4	hV5	hV6
ENSG00000000003	7.432810000000001	15.2724	14.5855	10.031	11.9706	9.43972
ENSG00000000005	0.0	0.0	0.0	1.1826	0.0	0.0
ENSG00000000419	69.3729	48.2288	21.4944	54.6953	51.6625	31.9957
ENSG00000000457	6.09128	12.2605	1.70757	7.750769999999999	15.616	13.2617
ENSG00000000460	6.973269999999999	7.0178899999999995	2.93222	6.0498	7.56338	11.3864
ENSG00000000938	11.8455	17.3852	67.7965	12.7889	4.76931	15.0439
ENSG00000000971	17.572	18.6977	101.29	23.1216	17.9401	30.1274
ENSG00000001036	42.7102	55.4262	70.5774	43.6849	52.7524	76.2247
ENSG00000001084	76.1159	68.8392	60.5525	40.5338	87.5607	116.001
ENSG00000001167	44.9272	52.3627	38.8946	29.9592	45.6022	61.4211
ENSG00000001460	41.3481	21.8467	5.40918	53.5695	73.2504	45.1606
ENSG00000001461	69.1707	121.823	59.5325	66.8187	123.126	205.285
ENSG00000001497	81.8365	95.6728	83.06299999999999	93.686	104.205	103.21600000000001
ENSG00000001561	112.71	108.83	42.6824	72.8521	119.421	195.12599999999998
ENSG00000001617	6.92127	19.8083	21.5043	12.1428	13.5353	9.66906
ENSG00000001626	1.7105700000000001	1.20506	0.0	0.831061	1.88906	1.8248400000000002
ENSG00000001629	72.4195	76.3059	58.3223	64.4028	99.6812	136.843
ENSG00000001630	143.02	151.132	58.0654	115.009	185.856	180.38400000000001
ENSG00000001631	107.505	79.5843	53.3191	102.35600000000001	111.303	90.9214
ENSG00000002016	20.6643	7.7987	0.0	11.9518	18.3379	8.997860000000001
ENSG00000002330	378.88300000000004	324.246	282.73400000000004	298.152	257.828	272.445
ENSG00000002549	122.22200000000001	102.36	112.37100000000001	83.0492	122.115	160.86700000000002
ENSG00000002726	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000002745	2.49993	0.0	0.0	3.03641	2.58823	1.90495
ENSG00000002746	56.2696	33.3428	30.9584	58.1252	128.13	48.0871
ENSG00000002822	40.1114	38.7964	46.4523	30.8821	36.3089	43.0917
ENSG00000002834	79.9758	105.64	96.3023	136.877	122.947	88.6427
ENSG00000002919	38.4757	33.8817	27.455	38.2358	53.1132	38.6473
ENSG00000002933	18.3634	21.5611	84.0809	19.826	33.7993	48.9755
ENSG00000003056	125.15299999999999	120.116	71.7447	113.865	179.55900000000003	127.51299999999999
ENSG00000003096	11.8737	9.87505	11.6499	18.1607	24.1309	14.0743
ENSG00000003137	26.7214	24.4359	4.03351	27.4626	20.5717	28.1933
ENSG00000003147	166.495	104.725	79.7339	171.731	158.696	116.29700000000001
