mC1	mC2	mC3	mC4	mC5	mC6
43.2139	38.7145	43.9677	31.1784	41.8955	39.2846
3.32263	1.0867200000000001	0.0	1.6708	12.3481	2.77887
38.764	52.9778	54.8261	50.1241	78.7194	72.9452
41.7479	38.3623	35.1893	48.9841	53.1947	51.5422
6.06533	4.83544	5.45906	7.43433	5.4943800000000005	5.07271
0.748576	0.0	0.673752	0.0	4.17299	0.626069
47.3057	46.6895	67.8731	38.2006	48.3983	47.7094
176.65099999999998	159.997	155.171	149.9	178.96	137.08700000000002
116.484	129.091	110.925	138.06799999999998	139.725	124.82
38.0784	29.4968	46.8988	30.2336	21.226999999999997	36.8751
2.0904	1.02555	2.8221700000000003	3.1535	2.33061	0.0
161.359	138.422	140.251	126.579	147.005	111.046
113.42	131.236	130.011	143.661	156.27700000000002	134.233
93.0441	66.2626	57.4051	61.1259	110.429	52.0872
58.6102	53.2168	88.5758	68.6225	43.8887	74.9909
0.7783140000000001	0.0	0.467012	0.782759	1.44626	0.0
57.3428	64.9689	58.4546	49.7048	71.3499	55.3774
157.825	98.3459	125.219	88.014	155.113	111.352
105.714	98.8924	105.227	83.79299999999999	97.3862	100.777
13.3061	28.2879	23.9521	26.7641	24.7252	35.2402
89.0294	174.71200000000002	131.122	158.726	117.307	155.688
88.1486	64.8687	72.3373	67.4668	89.6065	69.3861
0.0	0.0	0.0	0.6466890000000001	0.9558770000000001	0.0
1.9015	1.8657599999999999	5.99003	5.73709	2.1200099999999997	7.951569999999999
64.9006	65.2481	57.8742	54.2253	70.8	56.1164
37.5178	43.6842	40.9714	34.7135	59.6762	47.6943
247.327	328.48699999999997	233.674	303.02299999999997	237.662	271.992
60.7527	73.8654	78.454	87.6647	58.8991	64.0651
34.0629	26.7381	30.6581	3.42575	68.359	17.093
317.068	333.032	325.596	300.153	301.309	330.139
101.709	70.7923	99.66	68.0255	131.273	68.7218
49.8804	42.825	37.1784	50.5572	55.6124	45.6283
86.6342	78.35300000000001	123.40299999999999	125.01100000000001	130.186	102.069
99.4296	81.3005	110.79899999999999	124.99700000000001	102.93700000000001	91.0773
222.298	272.649	236.342	303.313	213.101	296.971
15.7944	11.9754	23.2621	10.8304	16.809	15.0109
3.0645599999999997	9.02086	9.653839999999999	13.8693	8.5418	7.689089999999999
83.5066	101.029	68.5923	103.96	89.48700000000001	82.7236
194.703	234.233	225.209	243.47299999999998	194.53	238.12400000000002
119.82700000000001	135.262	129.80100000000002	113.579	172.611	131.7
43.1585	30.8886	30.6187	22.2132	52.6468	33.9722
359.18800000000005	436.23199999999997	406.93199999999996	416.814	299.647	371.83
74.3868	76.123	69.4159	73.6643	52.9155	72.1367
28.5653	19.1773	24.5502	36.2885	31.1294	43.8291
83.789	91.3489	68.2316	64.2039	83.0378	81.1999
47.9935	21.7345	39.8735	27.8467	49.3926	15.4381
633.5219999999999	512.559	544.189	543.246	495.665	539.139
104.065	118.633	109.598	126.37299999999999	127.096	119.537
167.72400000000002	169.90599999999998	181.828	151.435	150.624	176.65599999999998
164.183	131.685	143.48	142.85399999999998	211.91299999999998	151.558
31.7699	37.709	35.0511	41.7429	41.1338	35.5704
61.1698	66.652	72.6976	70.866	79.8795	63.5956
29.2871	26.3418	30.753	18.409000000000002	27.2105	42.8647
50.8839	30.955	48.5456	37.6132	31.2021	43.4076
40.729	77.4291	80.1892	57.6022	73.7901	40.4504
71.4365	59.4981	48.5958	20.0496	86.1283	28.4834
0.0	0.0	0.0	0.0	0.0	0.0
11.6143	3.79865	8.362680000000001	10.5125	8.6326	5.18055
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	8.78656	0.0	0.0	0.0
15.3846	9.8901	12.8919	12.8048	30.7562	8.87369
31.8798	26.0671	26.0365	31.1713	33.5686	30.6126
74.0654	70.6202	71.9349	64.3883	81.6434	62.6442
0.7318	2.8721799999999997	2.63461	2.2079400000000002	0.815894	1.83611
1.69098	0.8295969999999999	0.760979	0.0	1.8853	1.41424
91.2021	114.24	96.05799999999999	90.7471	90.8651	92.5055
52.0105	47.5133	54.4792	52.7584	42.9905	52.4985
0.0	0.0	0.0	0.0	0.0	0.0
156.55700000000002	160.686	185.956	201.747	147.763	169.111
47.4443	27.5514	23.5296	18.9887	43.1806	31.5819
1870.63	1795.07	1595.03	1755.29	1848.09	1512.09
5.82379	4.57146	12.58	0.0	1.29861	5.84485
0.0	0.0	0.0	0.0	0.0	0.0
541.114	589.014	662.052	599.475	537.31	558.626
60.2832	66.5438	66.6916	73.8898	71.4113	77.7272
