mK1	mK2	mK3	mK4	mK5	mK6
16.0318	13.9266	9.6608	13.4286	15.1063	25.4992
0.0	0.0	0.0	0.0	1.78095	1.50311
104.62799999999999	123.14	78.3033	84.8119	122.44	105.21799999999999
47.6577	53.3283	47.7023	57.5107	47.951	48.5644
5.08293	5.21828	4.67802	3.8705199999999995	7.31487	5.14475
3.64992	14.2679	5.38866	4.58588	8.42607	5.07967
237.77700000000002	611.116	128.487	226.727	545.456	447.14300000000003
2807.56	1221.24	2801.77	3005.49	1193.59	1415.4
1006.59	654.71	1250.82	845.2689999999999	587.009	561.066
65.9592	56.2368	65.95100000000001	40.9251	45.1174	47.5984
0.0	0.0	2.14969	0.0	0.0	0.0
47.2055	80.0608	77.753	66.842	66.7206	55.0603
127.819	146.158	119.93799999999999	128.914	154.852	169.90200000000002
56.7082	119.181	73.3057	66.6533	98.9401	117.11
92.7694	75.493	77.3649	57.6094	91.43299999999999	72.42
11.3847	12.3622	15.4742	25.6945	10.4295	16.1965
239.43	201.952	295.824	242.92700000000002	153.85	197.783
754.936	566.303	660.7439999999999	660.6080000000001	674.7560000000001	615.17
91.7314	82.5317	71.861	73.6347	69.1487	76.5988
13.5162	11.7414	9.12233	4.5286	14.2643	24.0779
138.12	244.25099999999998	203.917	148.747	156.17600000000002	197.717
1472.68	765.933	1497.04	1246.13	783.7639999999999	827.7439999999999
13.585999999999999	68.5422	44.5245	24.9483	11.7185	19.1988
1.1589200000000002	7.04718	0.977719	0.0	4.58648	5.1612800000000005
0.0	0.0	0.0	0.0	0.0	0.0
16.4637	22.2472	21.6059	15.8333	31.3712	14.9358
511.351	467.35400000000004	548.031	544.118	333.986	343.08
45.0767	54.5409	51.6105	35.0603	31.8559	50.1875
4326.5	2873.48	4675.21	4069.14	2358.93	2215.9
682.196	795.4110000000001	718.868	874.5160000000001	655.279	586.263
14.0469	23.8741	14.942	11.765999999999998	15.3077	25.8391
35.1511	59.42	23.2432	23.0772	101.514	42.3097
9.18287	14.3587	20.1424	13.075999999999999	30.2846	18.4032
2.88572	7.52035	4.86904	2.4171400000000003	3.8067800000000003	9.63868
75.4847	64.942	126.14	80.2504	61.5979	78.6556
117.266	82.1024	114.435	106.288	87.7378	93.5369
13.0744	43.8079	7.878710000000001	20.3384	29.5672	39.5113
102.779	115.037	96.7138	102.646	157.747	146.341
117.459	147.384	97.8702	114.176	141.559	129.7
28.4371	2.80715	31.6242	47.638999999999996	2.55775	5.0370099999999995
4.95136	3.7635400000000003	4.17719	7.77632	4.89881	6.89093
272.497	327.145	281.552	269.283	306.966	306.802
1.11257	1.44971	0.0	0.931909	0.733837	0.6193529999999999
45.5536	71.6386	39.0937	39.0339	54.9129	47.8036
593.355	528.114	869.863	989.941	423.45099999999996	601.064
27.0009	33.2283	9.49131	15.0777	20.7777	20.0414
