mM1	mM2	mM3	mM4	mM5	mM6
2.4872	4.15215	10.3834	1.46879	4.4646099999999995	10.2966
14.6614	88.113	40.3968	27.7061	11.843	52.6032
56.8129	109.12100000000001	114.764	99.5687	87.1775	116.334
10.5267	16.1088	20.5081	18.1312	26.7689	16.9473
0.501821	0.558496	2.09497	2.3707700000000003	1.8015700000000001	0.0
0.0	0.0	0.8273879999999999	0.585195	0.0	0.683729
33.1529	84.8635	31.9868	30.2374	110.425	48.5452
26.9822	57.5566	54.4443	49.7941	47.425	48.8698
24.0935	42.9033	31.0373	36.5867	45.72	44.647
9.28555	16.2395	17.721	10.967	15.4773	10.9831
0.0	0.769935	0.0	0.0	0.0	0.0
20.7501	19.6975	30.5739	34.5989	17.5281	28.6341
118.98100000000001	122.17200000000001	105.256	122.96	167.80900000000003	145.619
96.3505	182.405	140.99	171.283	154.231	235.762
37.6354	13.8546	31.906999999999996	17.4383	32.7391	18.7765
0.0	0.191113	0.0	0.0	0.0	0.0
20.1306	29.171999999999997	31.1648	25.5095	27.4778	29.5154
10.8918	22.0399	6.6138699999999995	24.5588	19.5512	30.0603
30.2417	50.4858	52.9759	50.0752	42.0442	52.7788
41.1	26.1381	46.571999999999996	26.0049	44.7925	40.5113
101.78399999999999	68.5637	76.0383	63.2711	62.5046	85.0132
132.13299999999998	166.15400000000002	180.53	174.301	130.91299999999998	167.537
0.0	0.315782	0.47381	0.33511599999999997	0.0	0.0
0.0	0.700363	0.0	0.0	1.1296	0.868391
0.0	0.14710299999999998	0.22071799999999997	0.15611	0.23725900000000003	0.182395
19.8661	23.9522	17.6929	21.8992	20.8018	23.759
50.6485	61.4015	31.7165	45.9332	50.3284	31.2019
38.4632	23.3493	32.1146	25.8114	26.6756	31.3638
39.0795	61.8939	40.1591	33.7294	89.0353	62.2243
88.7344	134.81	109.369	103.971	141.583	121.477
5.96928	14.7632	5.5378099999999995	10.5753	17.2632	16.017
26.8249	19.5202	25.8431	15.8412	56.4856	27.0509
4.986269999999999	3.32965	4.16327	2.35568	18.7961	5.50464
21.9371	13.9512	0.0	5.55204	5.62541	17.2983
37.8351	40.2074	45.1916	36.6179	55.1812	45.5029
16.1564	27.5005	28.5665	20.7658	18.7656	26.2295
10.142000000000001	6.77244	6.7744	13.1764	25.4873	5.59817
44.003	65.695	56.4543	69.7174	55.8688	70.3486
87.6645	119.766	84.5907	75.6392	140.871	105.036
2.8075	2.734	5.86028	2.0724299999999998	10.7091	6.29559
271.546	280.147	228.41	76.6072	436.158	441.038
239.405	196.13099999999997	235.981	235.63	229.791	245.48
1.8123599999999997	1.00852	0.0	1.7837900000000002	1.62663	1.6673099999999998
40.3729	36.389	35.1335	34.0837	36.4905	38.4495
70.4241	96.0127	67.6204	64.4619	83.7491	126.336
4.88713	10.8782	24.4829	8.65815	15.352	13.488
430.601	420.284	455.348	498.728	375.908	454.115
37.7265	62.3448	57.272	55.6976	72.8508	71.7806
71.4257	84.4222	89.6861	77.1661	97.4012	86.3389
3.60734	1.00369	0.7529819999999999	1.06514	1.6188200000000001	3.73346
10.8532	18.4959	12.4601	14.0203	14.6115	18.2531
33.1059	44.0644	49.6802	57.0659	44.1681	54.9448
2717.1	4881.13	3771.16	4233.67	6425.73	7532.36
2.02077	1.12449	1.68723	0.0	3.02279	2.3238
87.6137	155.639	109.729	169.148	87.7081	144.153
7293.68	6385.14	6728.83	5959.19	9675.71	9104.39
0.0	0.0	0.0	0.0	0.0	0.0
2.04996	1.71111	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
4.21361	3.9079099999999998	1.1727100000000001	0.8294360000000001	8.19388	0.969095
17.1933	23.484	28.0585	21.6913	31.564	25.8828
