mP1	mP2	mP3	mP4	mP5	mP6
47.0933	28.5436	31.0003	36.3158	46.5062	33.414
2.77603	2.40367	11.7475	2.6759	1.2461	0.0
41.6404	72.1101	52.211000000000006	51.8456	66.9778	45.7245
44.0153	52.493	31.2389	48.832	47.7163	37.0384
4.7508099999999995	2.87949	1.78705	4.12151	5.1180900000000005	4.8154699999999995
0.9381440000000001	0.0	1.7644400000000002	0.0	0.842225	0.0
44.2896	47.4076	59.0308	55.8024	59.1723	59.0318
126.65799999999999	127.179	109.09899999999999	138.505	114.663	119.751
116.00299999999999	127.529	111.54	126.26799999999999	151.533	120.885
35.163000000000004	26.096999999999998	31.886	24.2106	32.6953	33.0958
0.0	0.0	4.9272	3.7879099999999997	2.3519099999999997	0.0
140.977	134.07399999999998	124.96700000000001	172.65099999999998	168.06	133.526
115.323	118.432	129.886	107.286	109.551	122.329
79.9318	61.8821	94.6221	64.3585	62.4728	63.8626
48.2375	30.3762	26.2894	42.2706	43.3055	37.2262
2.6011	2.53373	0.611512	0.626821	1.75137	1.31825
56.3797	68.4129	56.0059	70.4204	72.7148	64.7935
173.42	114.445	116.361	119.274	106.87799999999999	121.62100000000001
114.521	83.1193	84.9941	74.1348	91.7244	90.4739
25.0135	16.8454	15.6816	29.4694	47.4072	25.354
101.432	149.305	119.23200000000001	112.439	95.6141	169.64
94.2254	80.1799	102.35799999999999	85.346	58.3389	88.0978
0.0	0.0	0.0	0.0	0.482306	0.0
2.3830400000000003	4.12678	1.12049	5.742719999999999	10.6969	4.83094
53.8068	86.4614	41.6562	48.2475	71.447	55.0465
34.4804	40.7119	22.4027	39.2798	33.2063	36.2206
289.41	346.971	235.11900000000003	222.847	256.745	328.065
105.93	75.9569	60.7035	63.8186	57.9514	88.9177
62.6104	49.2839	56.2019	79.5552	58.7639	86.5399
265.35200000000003	293.26099999999997	268.344	316.193	311.245	328.434
196.53599999999997	165.28099999999998	151.16299999999998	241.5	218.72	196.02900000000002
11.720999999999998	21.1434	35.8225	6.59065	13.1533	37.6217
90.635	90.7399	106.54	144.7	139.852	138.76
91.9733	59.0852	41.8504	74.3567	55.9343	57.138000000000005
51.4898	53.4137	47.016999999999996	40.5214	42.6523	46.6438
16.1953	8.569560000000001	14.3838	15.6111	11.3084	8.20784
15.3625	9.976389999999999	18.0584	16.6595	8.619860000000001	9.73224
95.5092	101.17299999999999	86.9494	101.85799999999999	95.7779	87.5402
225.125	222.037	189.74	213.65200000000002	182.923	217.107
151.5	154.768	124.348	171.016	152.713	143.46
32.4527	23.6919	74.7996	22.0816	33.7048	34.8294
399.781	487.89099999999996	411.473	509.77	500.208	488.18199999999996
53.1894	47.0453	39.262	44.6554	41.5897	35.3625
97.43799999999999	115.59899999999999	106.311	108.194	119.85600000000001	102.038
65.0047	49.0693	75.2366	72.3002	50.8765	50.6842
11.5668	8.01223	10.8773	4.45984	10.3842	9.379380000000001
312.939	254.078	330.087	271.218	258.434	295.54900000000004
126.63	112.925	107.88600000000001	127.801	113.68299999999999	116.286
125.28	136.616	129.15	128.846	133.17700000000002	129.642
198.93	251.34799999999998	162.183	191.75599999999997	204.65200000000002	187.792
27.6138	28.9143	26.5717	41.4743	27.0966	32.5461
83.0134	89.1146	77.6667	84.5102	97.7201	92.3
3.05864	10.5935	1141.9	17.6899	19.2214	31.0027
329.689	262.828	273.455	330.70599999999996	313.728	387.825
44.6627	66.2947	111.001	46.126999999999995	40.0963	71.1395
46.8455	58.5894	1380.33	36.1247	35.5138	36.9313
0.0	0.0	0.0	0.0	0.0	0.0
11.6443	11.7628	4.56259	14.9658	10.4538	6.8849800000000005
0.0	0.0	0.0	0.0	0.0	0.0
110.111	42.3739	80.5368	106.14	87.8693	62.0054
10.6376	10.362	5.00173	16.6626	19.6967	4.04338
33.2942	28.1877	30.6137	27.101	28.5616	34.4973
82.8577	81.7332	74.9596	86.9462	88.9807	66.4442
