mV1	mV2	mV3	mV4	mV5	mV6
47.7768	38.0145	31.8077	69.2859	30.3044	38.7515
0.0	3.05571	2.88458	0.0	5.25401	1.42769
61.281000000000006	56.0214	41.4659	76.5792	45.9725	67.8152
43.6867	49.9734	57.8178	52.2675	47.7824	45.2734
3.9272099999999996	3.8349300000000004	4.93658	4.65974	5.03526	3.4206199999999995
0.0	0.0	0.0	0.0	0.0	0.964959
46.3869	54.5099	31.5265	67.2703	49.6344	41.2511
167.96900000000002	130.437	145.988	266.207	148.262	106.193
119.009	113.34299999999999	132.72899999999998	162.999	149.49200000000002	137.418
32.0871	28.5685	20.8789	27.7144	26.6203	32.293
0.9843639999999999	2.8837	4.08331	4.28257	2.97495	0.0
179.75599999999997	102.60600000000001	108.066	125.619	141.72	135.498
111.85700000000001	139.734	118.439	107.413	109.64	82.7575
57.948	77.2888	67.4231	69.1761	67.6318	46.4282
40.7813	31.3758	27.9098	39.4274	26.1438	34.3931
0.733014	1.67018	1.01355	2.3917900000000003	3.19991	0.334431
71.0125	71.3835	64.7728	77.8858	75.4457	62.8918
145.11700000000002	111.439	120.78299999999999	144.045	101.48200000000001	120.525
98.7176	105.04899999999999	109.666	85.8044	78.6237	81.9942
35.5062	16.3162	20.2157	18.1734	27.3528	20.011
125.771	111.65100000000001	110.66799999999999	128.505	115.184	146.064
103.162	81.0674	72.5884	137.434	65.1842	76.8665
0.0	0.0	0.0	0.8782280000000001	0.0	0.5525909999999999
5.37249	5.2462599999999995	1.23811	0.973899	5.41226	1.22558
66.013	91.4588	73.3342	54.8209	75.4064	76.7104
36.7475	28.9833	22.1486	26.6456	39.8672	34.1763
288.269	354.384	263.35900000000004	277.144	290.403	348.764
78.3619	95.9546	84.2744	54.1145	85.2072	90.2311
66.2994	73.0953	82.802	204.701	51.7085	49.7637
304.626	292.57599999999996	249.403	334.597	321.014	250.99200000000002
110.417	66.8134	80.9056	153.45600000000002	80.8116	57.4815
33.0309	17.9193	7.10462	42.3129	27.3597	16.0747
84.4297	115.009	156.965	126.556	145.093	138.86700000000002
102.561	60.9615	55.4921	80.0252	69.6287	85.4471
75.8928	57.8639	73.9223	55.7076	55.7403	55.7759
13.5229	12.5449	14.0238	19.1206	8.85493	8.329080000000001
14.431	16.9103	7.981610000000001	20.4046	10.1764	5.9256
106.898	82.7633	65.4588	89.6921	89.2281	93.0137
196.442	200.94400000000002	182.28799999999998	219.347	203.16400000000002	200.89
155.796	147.259	136.02	150.986	173.047	140.79399999999998
