rC1	rC2	rC3	rC4	rC5	rC6
18.5661	10.3126	8.495460000000001	8.873389999999999	5.96807	21.1109
3.90866	0.0	2.00314	3.1383799999999997	0.0	1.91451
47.881	51.6718	41.3148	53.614	45.4411	44.273
21.8912	34.0468	31.628	35.5282	29.3454	23.9547
6.93174	9.95147	10.2474	8.205860000000001	9.99836	11.0999
7.92545	3.287	6.09255	7.7777199999999995	11.0964	5.82298
77.7915	99.6544	122.012	97.022	96.7069	103.416
37.2993	36.4906	43.163999999999994	53.94	53.2453	49.3576
21.2883	38.8177	60.6635	53.5386	43.4971	31.0122
27.5839	63.8009	45.3091	44.4853	47.7446	35.5095
0.0	2.29473	0.94519	0.987239	1.10666	4.51684
111.072	224.268	311.246	357.254	294.262	193.27900000000002
101.20100000000001	183.236	119.01700000000001	136.44	131.41899999999998	143.345
24.8724	111.11200000000001	103.73700000000001	102.68700000000001	111.93299999999999	48.6016
51.5563	43.2131	57.7487	49.5763	38.9014	55.9496
0.18296700000000002	0.284565	0.0	0.489701	0.0	0.0
20.3897	83.2866	62.5822	76.1607	73.9457	34.5709
77.5469	106.65899999999999	116.25200000000001	108.71600000000001	119.493	89.1447
50.2708	80.6435	86.6874	69.3888	87.7425	63.4939
15.876	22.2224	4.06813	10.6228	16.6709	19.4407
182.805	102.17399999999999	95.1491	84.0925	94.2649	108.427
84.1765	130.20600000000002	75.6113	99.7902	74.1168	80.6687
0.0	2.81711	0.0	5.2519	0.0	2.2180299999999997
6.69049	2.08111	3.4288	1.79067	4.0145599999999995	4.91562
45.4594	79.2386	91.4225	91.3461	87.1949	54.1153
57.3702	44.8869	33.8208	27.3183	39.0706	49.5639
122.585	164.93	152.072	126.289	161.998	179.893
62.7191	61.1479	77.9583	67.6466	60.3828	61.8997
44.231	22.9305	10.4944	19.7303	31.9467	26.0781
180.035	218.17	190.298	211.81400000000002	202.553	201.168
17.654	29.1042	42.0707	41.1073	25.4234	44.1004
57.2111	159.991	110.655	107.48	91.5988	109.12700000000001
43.3944	31.276	53.5638	41.0748	29.3726	37.5853
134.34799999999998	99.2501	107.581	89.8933	95.7291	125.441
176.532	325.626	414.417	343.654	438.69300000000004	283.7
24.268	58.1876	60.8897	71.0409	57.6402	36.527
13.9469	26.697	28.8655	24.4068	30.578000000000003	19.7059
64.9415	56.3107	53.7515	41.5302	49.1404	58.4106
212.157	220.701	166.75	190.649	186.42	207.697
23.5109	51.6565	76.5018	59.4295	72.7765	56.6655
6.7874	58.8928	60.4154	37.2882	39.6553	13.9981
716.248	438.416	465.65	512.4630000000001	446.798	616.552
49.9031	99.6451	71.3619	80.9992	76.7915	73.7237
19.0749	25.8996	20.56	25.729	22.7098	23.914
