rK1	rK2	rK3	rK4	rK5	rK6
175.68900000000002	119.524	144.888	136.234	144.447	171.83900000000003
0.0	0.0	0.899027	0.0	1.4680600000000001	0.0
48.3409	55.8193	59.5605	73.2207	73.403	52.0673
22.2608	30.7454	27.3185	27.0201	24.4916	26.5103
2.45899	3.7227699999999997	2.14626	1.28885	4.506069999999999	2.90574
13.7338	3.3535699999999995	3.64586	7.6628300000000005	12.8992	7.6782
225.583	176.854	115.154	137.355	195.767	228.514
262.81	187.86599999999999	167.433	196.313	179.636	175.579
83.0945	74.5484	74.714	62.9907	59.968	110.23299999999999
64.6417	60.1549	49.6177	55.5623	62.4275	66.8085
4.33	1.87297	6.78735	8.916	8.31253	12.5074
70.8021	65.1388	62.0014	54.1667	65.8701	68.4341
69.0242	75.7377	61.6671	59.3292	42.5489	53.0461
121.137	112.85799999999999	146.674	124.079	118.264	121.12299999999999
92.9298	79.1629	72.0737	90.6665	88.1243	101.69
2.60806	1.16131	2.52505	1.7690400000000002	3.43606	2.65889
91.3064	74.5206	83.2315	71.4906	78.6862	78.1462
74.753	95.7608	60.6683	114.12299999999999	97.0867	74.7443
46.9231	44.9512	46.1782	45.8537	46.9064	47.0944
15.9741	2.01533	18.2581	5.75622	11.9258	3.8451800000000005
184.41400000000002	181.294	174.1	217.482	203.835	169.49200000000002
838.913	643.4540000000001	607.148	546.2669999999999	714.798	622.155
3045.13	2241.47	3841.95	1666.29	3233.79	2324.04
3.3659199999999996	0.0	0.0	0.0	0.0	0.0
149.4	155.791	113.949	115.836	155.148	161.234
28.9214	25.9138	19.4292	24.2465	35.0317	18.3279
215.36	164.257	154.405	212.824	188.187	215.607
101.25299999999999	89.1233	101.197	102.954	75.5928	72.5522
777.454	336.88599999999997	301.438	453.392	372.251	323.367
355.37699999999995	317.099	318.337	340.885	339.50800000000004	304.324
118.71700000000001	85.1591	101.10799999999999	94.7329	86.8622	106.895
4.15131	13.9663	24.6733	9.972710000000001	20.6616	9.99272
36.3855	41.6501	32.8647	39.0144	26.8331	32.0432
53.508	66.0856	48.2832	52.7702	78.8437	46.775
57.8899	50.9464	49.5446	41.8904	56.1318	48.602
189.49400000000003	157.882	193.03900000000002	157.64700000000002	194.64	187.96400000000003
169.11700000000002	207.00599999999997	133.252	127.068	185.357	188.386
68.4269	50.3382	62.1279	55.5659	41.0123	45.9339
143.157	151.713	148.39	127.19	166.623	147.44299999999998
0.938737	4.7373199999999995	2.1459200000000003	2.7061599999999997	2.80333	2.71159
14.6771	16.7786	3.28666	6.9078800000000005	6.0378	6.05652
310.687	384.842	332.342	454.24800000000005	342.93	380.015
8.63855	4.49566	1.11079	1.94554	0.0	4.28878
43.9201	42.0864	40.7403	38.6056	46.6255	42.8997
689.695	736.2810000000001	609.745	641.914	670.8480000000001	813.9639999999999
4.36979	24.8086	10.4886	31.4928	0.0	11.0446
439.395	365.14	298.926	429.17800000000005	290.717	376.838
91.9988	71.575	64.1433	68.5129	86.9992	74.1867
68.6688	65.2083	65.8279	61.3736	74.9697	75.3601
2.01303	9.14282	9.38747	4.0621599999999995	5.41031	10.4665
39.9656	28.4193	34.4675	31.8577	37.9745	42.4164
40.0732	34.7108	37.7361	38.7946	40.1876	40.0242
80.2694	77.333	42.0365	67.3158	55.5684	71.6665
25.5971	57.445	37.9997	26.0437	66.7727	66.9797
1092.23	1122.15	991.829	1272.49	1204.58	1114.03
51.2615	11.1933	43.9432	10.6569	43.0541	73.3239
0.7735350000000001	0.585544	0.0	0.557481	0.866247	0.0
3.2103	3.4715800000000003	1.88707	5.94935	0.0	5.96129
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
114.59700000000001	109.325	94.7378	112.23100000000001	101.259	118.804
89.2221	98.14200000000001	84.1328	85.90299999999999	79.6204	75.0013
55.2254	50.6148	50.9501	38.9081	61.5671	49.001000000000005
347.404	442.216	293.955	581.085	503.23800000000006	423.73900000000003
30.0765	11.3835	15.1258	13.0056	17.9634	23.8914
122.88	100.84100000000001	72.4564	105.94	110.601	64.6865
62.0927	57.4474	62.5998	48.9569	52.894	56.3368
56.0426	169.69099999999997	0.0	0.0	0.0	80.941
228.533	205.653	218.179	210.832	169.908	187.287
94.8326	76.9749	71.3035	76.5794	84.4472	64.3568
3612.58	4251.89	3958.13	4008.41	4406.22	3895.57
13.7866	10.4361	11.3456	20.8654	12.3512	12.9426
22.3673	16.9314	15.3393	25.9711	19.4819	18.8444
925.704	1106.02	953.972	1002.52	907.773	809.41
22.6698	22.5054	20.3891	21.9625	18.3118	21.4698
0.0	0.0	0.0	0.0	0.0	0.0
14.0518	10.1577	11.6333	11.8605	12.7589	7.8619
29.4458	25.7634	18.0956	20.9458	17.5581	23.7493
47.2649	47.5339	43.0639	39.4162	29.4895	44.3713
166.24	216.963	224.31	151.643	165.395	180.68099999999998
4.80204	2.9935400000000003	4.261769999999999	7.7358899999999995	7.591889999999999	6.5275
133.94299999999998	138.214	122.475	157.524	128.355	107.79299999999999
178.558	149.885	143.873	169.033	174.222	143.838
54.843999999999994	43.4399	65.7577	51.3049	39.8603	48.7849
62.2696	42.1218	67.2357	45.832	86.0534	49.751000000000005
13.9745	5.83631	6.60935	7.64031	9.71344	5.567740000000001
55.1163	48.3829	59.7147	49.402	59.1289	50.1701
89.9937	80.7381	85.3721	82.2314	81.4226	80.8291
22.3299	15.4602	23.7174	23.3545	24.3963	20.8449
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.761628	0.0	0.725125	0.0	0.0
10.3839	13.8712	14.2423	19.8096	10.9445	12.3507
115.887	126.24700000000001	114.375	136.105	93.3841	110.696
102.529	105.398	102.865	101.715	113.4	116.087
4.280480000000001	7.9205	5.87101	2.05661	1.06523	3.66353
126.678	108.06200000000001	133.65200000000002	120.089	122.764	116.811
104.875	99.2344	87.2056	93.5335	88.0837	106.02799999999999
4.18228	0.0	22.9453	0.0	9.3671	6.04038
81.473	65.5273	73.1282	66.2724	68.7639	68.3521
39.6419	33.6111	46.0323	36.0363	40.2271	30.909000000000002
148.59799999999998	112.12700000000001	177.285	137.351	153.201	141.034
2.5969700000000002	2.359	1.42478	4.49188	4.07152	5.62611
220.572	274.411	233.982	246.851	226.86	264.67
150.535	128.8	143.594	163.403	177.13299999999998	177.15200000000002
69.245	64.0419	88.3229	57.8657	82.0702	69.2668
326.76099999999997	309.88599999999997	353.469	372.347	314.834	378.43699999999995
170.41299999999998	174.14700000000002	174.238	188.68900000000002	178.69400000000002	168.93
0.781626	0.295835	0.0	0.0	2.18827	0.282221
0.0	0.0	0.0	0.0	0.0	0.0
188.359	174.267	230.44099999999997	218.707	200.518	201.513
195.05	230.829	186.515	271.243	113.829	192.433
0.0	0.0	0.0	1.53135	1.18976	0.7672140000000001
