rM1	rM2	rM3	rM4	rM5	rM6
11.9904	1.50153	6.708710000000001	6.842210000000001	1.7198200000000001	13.5642
5.04859	0.8851129999999999	3.9546099999999997	0.0	0.0	42.2632
36.6023	63.0643	62.2851	47.0552	48.1549	59.968
38.503	28.4778	28.2748	20.826999999999998	28.9936	29.2646
3.78796	2.1130400000000003	2.6974	0.917025	2.07448	1.9477900000000001
12.9667	4.18767	2.67288	6.3608199999999995	8.90771	10.8085
34.9272	12.6461	39.8487	31.3406	35.5762	32.3536
17.8723	3.40581	5.47808	8.27717	7.0216899999999995	21.0971
20.8598	12.883	18.1964	22.7247	22.3718	15.552999999999999
28.3202	26.4269	34.3486	21.8951	24.7654	37.2046
0.95288	0.0	1.4928	0.0	0.0	1.07795
1.67796	2.94177	3.2859	4.468380000000001	2.5270799999999998	3.79639
48.7746	32.4941	32.0927	19.4829	29.3827	29.7952
159.94799999999998	89.8778	97.4469	67.3495	48.7268	110.57600000000001
47.4521	21.3224	20.3028	25.4853	20.4186	21.2015
0.0	0.0	0.0	0.0	0.0	0.0
33.861	27.399	40.1254	32.3692	27.0236	34.0492
36.1132	17.3215	20.8155	16.3306	23.9444	17.7287
56.3561	59.7828	55.3402	47.8502	51.6629	61.4431
16.4049	8.98778	8.03134	13.6519	2.05888	6.9593
143.885	67.9154	104.037	98.2471	92.6056	137.72899999999998
239.907	119.654	132.841	120.37799999999999	127.556	193.854
18.7167	0.341812	0.305437	0.519192	0.0	0.0
0.864174	0.0	0.6769149999999999	0.0	0.0	3.9104
4.54469	2.86837	2.27834	4.35688	1.4601600000000001	4.11296
11.3653	9.16574	7.12205	6.65845	9.1289	7.714230000000001
62.8318	23.1328	36.4204	36.8105	56.7765	44.0688
77.3835	44.516000000000005	56.8268	54.7377	54.6295	62.9196
8.46382	7.41933	9.94468	11.2695	16.9959	7.181039999999999
185.06400000000002	110.416	120.676	98.0486	105.065	151.261
20.0664	15.9909	15.3609	12.7519	13.7367	22.1842
123.634	1.24571	5.56575	2.83825	3.5670300000000004	43.4054
10.2531	19.1739	39.6213	79.1811	8.23552	8.50581
86.7648	405.006	149.52	291.705	78.403	83.43
61.4449	47.18899999999999	44.155	45.1301	46.9518	44.4944
149.545	73.8453	50.6412	45.2145	61.6325	85.6945
33.2575	14.5767	29.3073	18.4509	13.9131	29.7846
38.6003	41.6452	33.1432	38.547	46.2089	36.9487
145.33100000000002	98.2409	91.1846	101.56700000000001	87.8404	122.28200000000001
0.964053	0.845083	1.5103	0.6418149999999999	2.41985	2.72647
264.853	136.71200000000002	113.12799999999999	63.8948	51.8869	128.929
274.793	190.69799999999998	270.85400000000004	301.856	211.524	277.184
10.3963	2.91627	3.58315	2.21482	5.4278699999999995	5.64521
51.036	24.3401	39.2111	31.5036	30.6272	24.1114
220.988	290.575	292.942	213.408	302.34	289.827
25.243000000000002	48.6812	65.9102	38.0923	37.1722	57.1124
376.26199999999994	289.563	327.007	277.029	313.346	278.926
104.321	83.8557	77.3989	77.0521	84.9793	73.9258
44.3598	29.9119	43.0631	41.9007	34.2604	39.0305
1.2403899999999999	0.0	4.85803	5.78049	1.86808	2.80638
34.5137	18.398	20.0935	19.2513	22.0092	30.0742
60.8094	42.5364	41.1372	42.9372	38.5445	39.9543
5440.65	7305.6	8968.96	9827.55	7320.3	7978.29
3.71116	1.62659	1.09012	0.617674	2.32882	2.62392
997.9119999999999	1493.2	1601.52	1532.66	1358.43	1454.43
88.8366	11.315	1206.76	1926.94	2175.74	44.6652
0.595797	0.0	0.0	0.0	0.598198	0.0
4.23884	0.0	0.553387	0.940664	1.41864	0.799199
0.0	0.0	0.0	0.0	0.0	0.0
71.2008	78.0177	27.8861	23.7009	44.6798	100.68299999999999
2.90188	3.39169	1.1365399999999999	2.5758900000000002	5.82715	5.47127
42.9507	30.1203	24.8122	42.8915	26.4133	35.8338
66.3791	40.1293	57.0754	36.5724	31.4082	67.755
3.3281	0.0	0.0	0.0	0.0	0.0
1.5443799999999999	0.676898	3.6291900000000004	1.02817	0.0	1.7470900000000003
132.681	173.685	151.045	124.84200000000001	161.635	136.08700000000002
62.9497	32.2488	27.5362	35.3773	29.96	38.3805
0.0	0.0	0.0	0.0	0.0	0.0
154.841	62.1039	70.37	77.7998	88.7322	94.1919
20.2407	14.6571	35.1561	22.2633	49.4803	21.9018
