rP1	rP2	rP3	rP4	rP5	rP6
23.8989	9.86576	26.7574	18.4223	11.2534	6.04775
3.25103	6.9787300000000005	2.10303	1.35743	7.73919	8.91248
35.2195	34.8936	55.2046	37.3294	31.785999999999998	17.825
21.9529	20.7903	25.0605	25.8811	25.031999999999996	3.18613
4.43499	4.76012	4.66199	5.0924	5.27883	4.86329
8.0569	5.5029900000000005	15.6356	9.17474	6.72536	4.8190800000000005
113.54299999999999	82.508	86.1883	112.624	78.9818	43.3396
31.6909	22.3778	17.8029	31.3395	17.8677	21.9483
74.2863	61.7106	66.6509	99.4258	71.6363	10.88
46.082	45.251000000000005	37.1035	47.898	54.0164	9.67641
1.02267	1.09765	4.96163	0.0	2.0867299999999998	0.0
100.848	95.6778	106.59299999999999	119.557	76.2477	5.92433
121.445	122.48299999999999	86.3492	97.0449	112.15299999999999	58.5505
95.3686	78.7386	83.9965	99.2441	65.8633	2.41336
6.41947	2.75603	5.39844	5.36076	5.67609	3.51971
0.760917	0.272233	0.738336	0.9531379999999999	0.51754	0.0
65.5382	56.0076	69.9225	80.5381	52.9209	2.04363
182.822	160.12	193.00799999999998	150.22799999999998	174.583	49.3176
64.4285	78.0898	65.4935	78.5083	63.049	11.5348
6.60244	14.173	8.542019999999999	8.27034	15.7174	7.240069999999999
110.868	182.74400000000003	145.999	143.836	133.31	358.213
94.4934	160.64	83.0742	110.42	137.814	88.6673
0.0	0.0	3.65466	0.0	0.0	4.8185400000000005
12.9846	8.95918	10.7994	11.6177	3.78493	1.52556
148.278	97.3738	117.374	155.67600000000002	87.5819	26.956999999999997
20.9802	29.8498	26.0388	25.0578	40.3203	50.5604
248.157	199.762	259.11400000000003	189.21099999999998	210.523	22.1839
66.1816	61.2838	61.6993	78.0238	56.9291	21.345
13.6256	43.8736	26.4426	48.3585	25.4857	67.2368
211.09799999999998	187.50900000000001	226.023	197.993	206.88099999999997	104.339
21.0467	15.2349	29.9207	29.429000000000002	20.4737	0.805089
11.4388	9.00342	78.4354	36.2987	7.00213	2.5087
63.8236	86.6125	71.8953	92.8116	79.3353	56.7139
218.832	227.37900000000002	216.856	215.791	152.006	107.21799999999999
92.4014	73.0766	98.1534	85.7722	63.1118	13.4389
46.2571	27.0808	46.9245	45.6516	27.8867	3.4584699999999997
14.8723	9.57755	21.6464	14.9034	9.10389	9.78513
47.801	35.0587	37.879	39.9176	52.0193	38.0026
148.216	174.074	152.1	157.469	163.09	87.4341
109.15700000000001	105.499	138.045	87.4828	92.8926	5.956580000000001
36.1505	19.1346	35.0777	29.1547	8.58893	2.44367
609.503	949.625	882.3539999999999	698.826	880.095	1253.18
84.7992	73.7708	95.7078	71.0004	63.7477	9.543569999999999
40.2936	35.8144	81.4539	61.7762	38.7536	12.0818
67.764	103.50299999999999	88.5138	109.368	131.622	152.189
18.0613	15.5083	7.010110000000001	38.4606	14.7413	2.97083
508.94599999999997	424.089	465.0	411.38800000000003	521.461	292.166
133.933	123.345	145.947	125.428	134.056	71.5803
60.6302	64.2015	54.4877	54.5387	59.3659	97.0509
495.221	447.94	452.10699999999997	599.479	482.83	120.434
24.5276	30.6238	21.3712	30.7237	22.9811	9.05693
84.7106	90.5671	90.8322	97.4396	72.9731	17.8915
248.52599999999998	339.259	135.79399999999998	259.927	179.703	111.12700000000001
183.715	118.631	203.385	119.116	116.82799999999999	60.601000000000006
674.982	922.29	737.122	692.6189999999999	800.445	1708.39
22.8172	5.24786	14.2329	15.3114	9.14526	0.0
0.0	0.0	1.24092	0.0	0.0	0.0
7.58218	4.88283	2.94287	7.59807	4.64135	6.2358199999999995
0.268875	0.0	0.0	0.0	0.0	0.0
105.072	112.775	157.565	143.58	87.7071	62.8468
16.0912	24.5135	20.1467	37.0613	28.0674	9.391810000000001
44.9442	38.9624	39.1376	35.3667	34.6841	29.3813
87.2089	62.8409	83.429	82.5706	59.3154	12.7957
0.0	0.0	4.85222	0.0	0.0	0.0
3.315	0.0	0.0	3.11432	0.8455159999999999	0.0
104.426	87.6274	84.7462	78.4835	73.6084	34.3532
50.0123	51.7952	50.6565	42.3137	46.5482	25.2562
0.0	99.4469	0.0	116.06	0.0	0.0
172.453	128.305	186.351	143.84799999999998	138.35399999999998	23.2086
39.6685	33.4531	31.1596	28.394000000000002	38.5438	3.1071
989.597	1242.62	994.22	1290.05	1254.43	950.721
26.2122	39.1427	22.1168	34.2614	37.2069	43.1154
0.0	0.0	0.0	0.0	0.0	0.0
