ENSEMBL ID	hC1	hC2	hC3	hC4	hC5	hC6	cC1	cC2	cC3	cC4	cC5	cC6	rC1	rC2	rC3	rC4	rC5	rC6	mC1	mC2	mC3	mC4	mC5	mC6
ENSG00000000003	11.9604	8.579410000000001	10.9004	9.108889999999999	3.8696599999999997	4.43072	11.5165	15.5392	17.442	21.1466	15.4648	13.1721	18.5661	10.3126	8.495460000000001	8.873389999999999	5.96807	21.1109	43.2139	38.7145	43.9677	31.1784	41.8955	39.2846
ENSG00000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.9698100000000001	0.8327209999999999	0.0	0.0	0.0	1.2941	3.90866	0.0	2.00314	3.1383799999999997	0.0	1.91451	3.32263	1.0867200000000001	0.0	1.6708	12.3481	2.77887
ENSG00000000419	30.2158	39.5104	38.8206	46.9827	49.8982	57.133	44.8537	26.0225	39.6269	41.07899999999999	40.5161	33.9701	47.881	51.6718	41.3148	53.614	45.4411	44.273	38.764	52.9778	54.8261	50.1241	78.7194	72.9452
ENSG00000000457	25.2044	18.0795	14.6756	15.9961	19.0274	20.23	38.1369	27.2883	33.6928	29.7084	31.3823	34.6972	21.8912	34.0468	31.628	35.5282	29.3454	23.9547	41.7479	38.3623	35.1893	48.9841	53.1947	51.5422
ENSG00000000460	14.0834	13.7982	9.13075	10.9873	13.614	8.01666	10.584000000000001	12.2118	11.6883	8.88897	11.0542	10.151	6.93174	9.95147	10.2474	8.205860000000001	9.99836	11.0999	6.06533	4.83544	5.45906	7.43433	5.4943800000000005	5.07271
ENSG00000000938	5.446000000000001	5.1273	13.7526	5.08081	3.0834900000000003	5.29585	3.2774199999999998	11.8194	4.63281	12.2548	7.5307	9.62135	7.92545	3.287	6.09255	7.7777199999999995	11.0964	5.82298	0.748576	0.0	0.673752	0.0	4.17299	0.626069
ENSG00000000971	10.6034	13.6274	10.469000000000001	18.0351	7.14712	5.89204	17.5026	20.6642	19.9731	7.38532	16.2492	18.814	77.7915	99.6544	122.012	97.022	96.7069	103.416	47.3057	46.6895	67.8731	38.2006	48.3983	47.7094
ENSG00000001036	46.5067	35.0281	40.3834	47.1071	22.8209	47.2344	41.0489	58.9575	52.0904	44.4768	28.8417	41.8282	37.2993	36.4906	43.163999999999994	53.94	53.2453	49.3576	176.65099999999998	159.997	155.171	149.9	178.96	137.08700000000002
ENSG00000001084	42.088	35.0243	34.6944	51.4299	26.2397	35.5626	56.0077	95.3993	52.6994	69.169	56.593999999999994	37.0641	21.2883	38.8177	60.6635	53.5386	43.4971	31.0122	116.484	129.091	110.925	138.06799999999998	139.725	124.82
ENSG00000001167	41.9184	28.598000000000003	40.6947	53.4388	40.2444	44.898	96.5192	62.5334	53.4887	77.9219	69.649	81.9597	27.5839	63.8009	45.3091	44.4853	47.7446	35.5095	38.0784	29.4968	46.8988	30.2336	21.226999999999997	36.8751
ENSG00000001460	36.1189	63.2376	30.3189	53.7123	33.3662	40.6687	7.32175	19.6461	20.2142	10.6942	6.69119	13.4338	0.0	2.29473	0.94519	0.987239	1.10666	4.51684	2.0904	1.02555	2.8221700000000003	3.1535	2.33061	0.0
ENSG00000001461	211.731	150.227	143.262	189.167	180.058	134.549	168.416	202.73	145.231	180.78599999999997	167.483	167.743	111.072	224.268	311.246	357.254	294.262	193.27900000000002	161.359	138.422	140.251	126.579	147.005	111.046
ENSG00000001497	112.874	112.376	137.60299999999998	139.023	157.567	126.163	100.25200000000001	111.825	122.508	113.859	133.085	121.273	101.20100000000001	183.236	119.01700000000001	136.44	131.41899999999998	143.345	113.42	131.236	130.011	143.661	156.27700000000002	134.233
ENSG00000001561	60.6827	28.2448	30.4485	63.2473	50.9581	47.7381	122.77	134.165	99.7631	98.1939	73.3692	91.1095	24.8724	111.11200000000001	103.73700000000001	102.68700000000001	111.93299999999999	48.6016	93.0441	66.2626	57.4051	61.1259	110.429	52.0872
ENSG00000001617	11.9328	14.48	13.1107	6.785589999999999	9.909180000000001	9.28303	16.0859	24.0066	13.873	21.4813	22.0008	13.2877	51.5563	43.2131	57.7487	49.5763	38.9014	55.9496	58.6102	53.2168	88.5758	68.6225	43.8887	74.9909
