ENSEMBL ID	hK1	hK2	hK3	hK4	hK5	hK6	cK1	cK2	cK3	cK4	cK5	cK6	rK1	rK2	rK3	rK4	rK5	rK6	mK1	mK2	mK3	mK4	mK5	mK6
ENSG00000000003	97.2763	59.6159	203.9	135.91299999999998	38.0046	116.848	195.167	130.775	92.648	131.02700000000002	79.2695	127.035	175.68900000000002	119.524	144.888	136.234	144.447	171.83900000000003	16.0318	13.9266	9.6608	13.4286	15.1063	25.4992
ENSG00000000005	1.59283	0.0	0.0	2.35639	1.17909	0.0	6.972460000000001	2.23445	1.36534	3.7985300000000004	1.19814	4.68023	0.0	0.0	0.899027	0.0	1.4680600000000001	0.0	0.0	0.0	0.0	0.0	1.78095	1.50311
ENSG00000000419	33.8476	61.8239	64.1034	82.4736	67.7977	43.0491	59.5564	62.8438	63.1469	49.0643	49.4231	29.2514	48.3409	55.8193	59.5605	73.2207	73.403	52.0673	104.62799999999999	123.14	78.3033	84.8119	122.44	105.21799999999999
ENSG00000000457	17.0827	24.8157	23.8712	20.3577	18.2656	8.54983	49.1595	49.25899999999999	54.5042	31.6853	29.9826	26.4914	22.2608	30.7454	27.3185	27.0201	24.4916	26.5103	47.6577	53.3283	47.7023	57.5107	47.951	48.5644
ENSG00000000460	10.3213	9.32167	3.27932	5.22363	16.8892	2.93634	8.32273	5.3343300000000005	7.45028	5.6137	4.4948	4.78851	2.45899	3.7227699999999997	2.14626	1.28885	4.506069999999999	2.90574	5.08293	5.21828	4.67802	3.8705199999999995	7.31487	5.14475
ENSG00000000938	20.4549	39.5868	1.08317	7.96329	8.76629	5.8192900000000005	25.1339	12.837	20.302	43.6455	48.5884	20.5616	13.7338	3.3535699999999995	3.64586	7.6628300000000005	12.8992	7.6782	3.64992	14.2679	5.38866	4.58588	8.42607	5.07967
ENSG00000000971	56.6946	153.336	11.6494	63.4951	31.6239	61.8666	141.274	91.2939	67.7626	116.161	58.2629	62.1767	225.583	176.854	115.154	137.355	195.767	228.514	237.77700000000002	611.116	128.487	226.727	545.456	447.14300000000003
ENSG00000001036	576.128	324.534	133.19799999999998	397.14	20.8702	284.915	203.90200000000002	222.685	288.952	261.145	186.25599999999997	183.692	262.81	187.86599999999999	167.433	196.313	179.636	175.579	2807.56	1221.24	2801.77	3005.49	1193.59	1415.4
ENSG00000001084	105.449	53.1665	83.5218	120.595	21.5908	28.2975	54.0165	123.272	136.545	93.3361	586.179	102.182	83.0945	74.5484	74.714	62.9907	59.968	110.23299999999999	1006.59	654.71	1250.82	845.2689999999999	587.009	561.066
ENSG00000001167	46.1162	44.7487	42.0488	35.1775	58.6738	31.1594	94.6262	62.6709	117.354	56.1338	60.7056	82.5726	64.6417	60.1549	49.6177	55.5623	62.4275	66.8085	65.9592	56.2368	65.95100000000001	40.9251	45.1174	47.5984
ENSG00000001460	6.0126599999999994	20.8809	21.1732	21.1256	8.90175	8.125169999999999	26.3199	12.652000000000001	23.1927	20.3133	22.6138	19.8755	4.33	1.87297	6.78735	8.916	8.31253	12.5074	0.0	0.0	2.14969	0.0	0.0	0.0
ENSG00000001461	9.26441	41.0957	74.5692	22.5162	16.6551	54.8468	82.0738	39.9171	49.9165	39.9787	22.8973	46.6658	70.8021	65.1388	62.0014	54.1667	65.8701	68.4341	47.2055	80.0608	77.753	66.842	66.7206	55.0603
ENSG00000001497	53.8592	80.4758	116.119	77.4014	80.8777	80.407	59.5023	82.0307	58.0385	53.8232	40.5132	40.6942	69.0242	75.7377	61.6671	59.3292	42.5489	53.0461	127.819	146.158	119.93799999999999	128.914	154.852	169.90200000000002
ENSG00000001561	28.0353	45.8172	130.186	124.42399999999999	10.3766	91.3132	172.283	98.3209	158.05200000000002	93.4293	169.518	106.139	121.137	112.85799999999999	146.674	124.079	118.264	121.12299999999999	56.7082	119.181	73.3057	66.6533	98.9401	117.11
ENSG00000001617	14.4679	234.388	275.941	50.7168	101.976	143.941	132.171	82.948	105.68299999999999	99.0074	65.7702	55.4494	92.9298	79.1629	72.0737	90.6665	88.1243	101.69	92.7694	75.493	77.3649	57.6094	91.43299999999999	72.42
ENSG00000001626	0.746229	4.26839	620.536	4.41581	0.0	4.70592	0.816637	1.04682	0.319826	0.593195	1.68396	0.548164	2.60806	1.16131	2.52505	1.7690400000000002	3.43606	2.65889	11.3847	12.3622	15.4742	25.6945	10.4295	16.1965
ENSG00000001629	66.1988	92.8912	57.4174	100.634	59.1423	55.1139	83.936	104.713	97.0521	63.5104	48.4215	46.9514	91.3064	74.5206	83.2315	71.4906	78.6862	78.1462	239.43	201.952	295.824	242.92700000000002	153.85	197.783
ENSG00000001630	33.3475	63.2889	372.316	194.15099999999998	47.7783	112.417	143.621	134.305	165.976	129.123	114.902	118.531	74.753	95.7608	60.6683	114.12299999999999	97.0867	74.7443	754.936	566.303	660.7439999999999	660.6080000000001	674.7560000000001	615.17
ENSG00000001631	91.4784	117.389	110.18700000000001	95.3034	89.6533	94.0198	109.039	122.001	109.337	90.1297	72.6873	86.1271	46.9231	44.9512	46.1782	45.8537	46.9064	47.0944	91.7314	82.5317	71.861	73.6347	69.1487	76.5988
ENSG00000002016	6.43909	13.154000000000002	6.47853	9.525830000000001	11.9163	17.4028	9.37335	6.7586699999999995	19.2725	12.7663	4.83211	14.1566	15.9741	2.01533	18.2581	5.75622	11.9258	3.8451800000000005	13.5162	11.7414	9.12233	4.5286	14.2643	24.0779
ENSG00000002330	168.77900000000002	194.983	234.22400000000002	253.99200000000002	150.78799999999998	220.213	250.517	236.765	209.52700000000002	198.93599999999998	262.668	230.861	184.41400000000002	181.294	174.1	217.482	203.835	169.49200000000002	138.12	244.25099999999998	203.917	148.747	156.17600000000002	197.717
ENSG00000002549	134.22899999999998	252.88099999999997	322.623	572.9730000000001	92.463	256.969	504.608	1001.65	1713.09	841.76	1113.45	995.6060000000001	838.913	643.4540000000001	607.148	546.2669999999999	714.798	622.155	1472.68	765.933	1497.04	1246.13	783.7639999999999	827.7439999999999
ENSG00000002726	14.7628	927.3580000000001	0.0	3024.8	0.9106799999999999	1756.67	189.829	1776.27	1657.72	665.0	321.11	1311.27	3045.13	2241.47	3841.95	1666.29	3233.79	2324.04	13.585999999999999	68.5422	44.5245	24.9483	11.7185	19.1988
ENSG00000002745	2.72646	0.0	0.0	0.0	0.0	0.0	1.9891400000000001	2.86855	2.33707	1.08366	1.0254299999999998	2.0028	3.3659199999999996	0.0	0.0	0.0	0.0	0.0	1.1589200000000002	7.04718	0.977719	0.0	4.58648	5.1612800000000005
ENSG00000002746	8.029539999999999	0.468658	0.577052	68.3025	0.0	21.1846	15.0637	56.7222	55.0621	70.8955	11.6483	79.6275	149.4	155.791	113.949	115.836	155.148	161.234	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000002822	23.666	41.0206	25.254	20.1577	34.5066	19.3823	38.7175	24.1447	37.4983	39.9055	40.4584	22.1257	28.9214	25.9138	19.4292	24.2465	35.0317	18.3279	16.4637	22.2472	21.6059	15.8333	31.3712	14.9358
ENSG00000002834	150.658	259.17400000000004	41.8841	230.21099999999998	68.9691	175.016	261.772	223.859	258.282	211.158	165.515	96.1082	215.36	164.257	154.405	212.824	188.187	215.607	511.351	467.35400000000004	548.031	544.118	333.986	343.08
ENSG00000002919	30.5181	45.199	46.0575	53.6128	31.0626	61.8605	47.3131	40.1355	67.0336	31.8406	53.0855	39.2313	101.25299999999999	89.1233	101.197	102.954	75.5928	72.5522	45.0767	54.5409	51.6105	35.0603	31.8559	50.1875
ENSG00000002933	627.5269999999999	2321.12	0.0	2076.44	9.883560000000001	757.791	443.213	1861.29	1771.08	2117.4	1594.36	887.6089999999999	777.454	336.88599999999997	301.438	453.392	372.251	323.367	4326.5	2873.48	4675.21	4069.14	2358.93	2215.9
ENSG00000003056	187.104	245.625	331.751	266.586	96.4982	129.875	315.527	335.62	348.369	290.151	233.02900000000002	214.049	355.37699999999995	317.099	318.337	340.885	339.50800000000004	304.324	682.196	795.4110000000001	718.868	874.5160000000001	655.279	586.263
ENSG00000003096	30.9352	7.05439	34.7438	72.9043	90.53399999999999	33.7025	151.162	110.509	79.551	90.35799999999999	73.0559	106.75200000000001	118.71700000000001	85.1591	101.10799999999999	94.7329	86.8622	106.895	14.0469	23.8741	14.942	11.765999999999998	15.3077	25.8391
ENSG00000003137	1.1208799999999999	1.83182	2.25549	2.4873	804.8389999999999	16.1567	27.8038	38.5235	36.5102	35.6405	24.4509	4.94024	4.15131	13.9663	24.6733	9.972710000000001	20.6616	9.99272	35.1511	59.42	23.2432	23.0772	101.514	42.3097
ENSG00000003147	25.9403	51.2255	187.044	71.954	6.40078	114.9	73.3353	53.0681	45.3975	42.1003	117.88799999999999	61.9295	36.3855	41.6501	32.8647	39.0144	26.8331	32.0432	9.18287	14.3587	20.1424	13.075999999999999	30.2846	18.4032
ENSG00000003249	24.0734	30.9119	27.680999999999997	33.0698	35.6407	24.7859	35.1264	24.1219	50.1142	30.0717	237.993	106.103	53.508	66.0856	48.2832	52.7702	78.8437	46.775	2.88572	7.52035	4.86904	2.4171400000000003	3.8067800000000003	9.63868
ENSG00000003393	59.4727	34.3451	21.2882	35.7429	55.4542	27.3045	49.8561	53.9483	47.0573	27.0475	19.1418	28.5648	57.8899	50.9464	49.5446	41.8904	56.1318	48.602	75.4847	64.942	126.14	80.2504	61.5979	78.6556
ENSG00000003402	175.127	267.685	95.355	210.31	181.493	139.21	169.10299999999998	156.796	234.886	197.354	229.368	251.235	189.49400000000003	157.882	193.03900000000002	157.64700000000002	194.64	187.96400000000003	117.266	82.1024	114.435	106.288	87.7378	93.5369
ENSG00000003436	198.925	432.27099999999996	0.0	181.09799999999998	25.8908	110.28299999999999	228.06	153.327	397.241	363.17699999999996	739.94	202.328	169.11700000000002	207.00599999999997	133.252	127.068	185.357	188.386	13.0744	43.8079	7.878710000000001	20.3384	29.5672	39.5113
ENSG00000003509	108.71600000000001	44.8953	38.8128	51.0163	40.6711	42.1253	48.6127	47.5563	59.1198	40.8872	53.6384	46.3704	68.4269	50.3382	62.1279	55.5659	41.0123	45.9339	102.779	115.037	96.7138	102.646	157.747	146.341
ENSG00000003756	270.32099999999997	172.423	134.841	129.083	423.42800000000005	165.43599999999998	245.481	177.605	169.141	162.75	169.87599999999998	163.382	143.157	151.713	148.39	127.19	166.623	147.44299999999998	117.459	147.384	97.8702	114.176	141.559	129.7
ENSG00000003987	4.56237	1.8640400000000001	0.765053	3.3747300000000005	0.0	6.85036	2.7738	0.5333479999999999	1.9553900000000002	1.8133700000000001	0.571975	0.0	0.938737	4.7373199999999995	2.1459200000000003	2.7061599999999997	2.80333	2.71159	28.4371	2.80715	31.6242	47.638999999999996	2.55775	5.0370099999999995
ENSG00000003989	2.18365	45.2031	4.39404	24.7666	3.2328900000000003	5.24597	22.3037	5.10543	14.3503	12.7294	35.0412	9.624360000000001	14.6771	16.7786	3.28666	6.9078800000000005	6.0378	6.05652	4.95136	3.7635400000000003	4.17719	7.77632	4.89881	6.89093
ENSG00000004059	534.633	522.469	759.612	555.783	419.82800000000003	481.648	416.406	392.73199999999997	514.012	479.55199999999996	692.9010000000001	520.101	310.687	384.842	332.342	454.24800000000005	342.93	380.015	272.497	327.145	281.552	269.283	306.966	306.802
ENSG00000004139	32.1753	26.8281	11.8919	19.4283	23.8178	14.1975	17.7082	14.7241	16.8694	12.5154	18.2577	9.63776	8.63855	4.49566	1.11079	1.94554	0.0	4.28878	1.11257	1.44971	0.0	0.931909	0.733837	0.6193529999999999
ENSG00000004399	26.8424	345.9	54.945	39.4818	30.3762	87.2784	167.697	60.8107	57.3897	64.5035	61.7336	55.3007	43.9201	42.0864	40.7403	38.6056	46.6255	42.8997	45.5536	71.6386	39.0937	39.0339	54.9129	47.8036
