ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6	cM1	cM2	cM3	cM4	cM5	cM6	rM1	rM2	rM3	rM4	rM5	rM6	mM1	mM2	mM3	mM4	mM5	mM6
ENSG00000000003	11.6979	7.06336	34.5839	40.0726	0.0	3.5975300000000003	7.22192	19.9743	9.84651	24.8784	6.49087	7.89584	11.9904	1.50153	6.708710000000001	6.842210000000001	1.7198200000000001	13.5642	2.4872	4.15215	10.3834	1.46879	4.4646099999999995	10.2966
ENSG00000000005	1.7239	1.38789	44.3702	1.4763600000000001	0.0	21.2065	0.851426	3.36409	3.48255	4.88839	3.8262	0.0	5.04859	0.8851129999999999	3.9546099999999997	0.0	0.0	42.2632	14.6614	88.113	40.3968	27.7061	11.843	52.6032
ENSG00000000419	58.1817	55.5155	61.4587	158.709	40.4924	29.1589	55.3427	43.1024	47.8851	105.406	65.3642	107.633	36.6023	63.0643	62.2851	47.0552	48.1549	59.968	56.8129	109.12100000000001	114.764	99.5687	87.1775	116.334
ENSG00000000457	13.3527	22.3271	14.29	30.7875	8.27182	7.58113	32.9742	27.5603	32.5079	32.7667	47.8741	38.1312	38.503	28.4778	28.2748	20.826999999999998	28.9936	29.2646	10.5267	16.1088	20.5081	18.1312	26.7689	16.9473
ENSG00000000460	1.1758600000000001	4.25999	4.4987699999999995	2.51753	0.0	2.89295	0.871124	2.29461	3.5631199999999996	1.6671599999999998	3.9147199999999995	6.34943	3.78796	2.1130400000000003	2.6974	0.917025	2.07448	1.9477900000000001	0.501821	0.558496	2.09497	2.3707700000000003	1.8015700000000001	0.0
ENSG00000000938	0.0	5.62835	76.9996	8.98071	10.9474	37.2664	15.5377	6.25282	8.63068	10.738	14.6545	11.797	12.9667	4.18767	2.67288	6.3608199999999995	8.90771	10.8085	0.0	0.0	0.8273879999999999	0.585195	0.0	0.683729
ENSG00000000971	51.8535	46.269	151.197	52.5491	29.5795	90.3653	20.7016	22.7675	16.2948	21.1368	18.2224	21.875	34.9272	12.6461	39.8487	31.3406	35.5762	32.3536	33.1529	84.8635	31.9868	30.2374	110.425	48.5452
ENSG00000001036	25.2068	17.0894	79.367	79.5321	12.4648	24.48	16.3809	18.1225	22.3341	20.691	22.5749	8.0593	17.8723	3.40581	5.47808	8.27717	7.0216899999999995	21.0971	26.9822	57.5566	54.4443	49.7941	47.425	48.8698
ENSG00000001084	20.2353	33.2339	50.6743	34.6592	19.5553	13.9397	23.9858	57.6523	50.1442	65.9872	48.5051	38.2435	20.8598	12.883	18.1964	22.7247	22.3718	15.552999999999999	24.0935	42.9033	31.0373	36.5867	45.72	44.647
ENSG00000001167	7.798610000000001	15.0685	40.1445	21.3721	12.5609	44.1297	50.8423	46.4164	37.8106	39.8055	32.3101	34.7417	28.3202	26.4269	34.3486	21.8951	24.7654	37.2046	9.28555	16.2395	17.721	10.967	15.4773	10.9831
