ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000000003	18.1547	17.8352	13.8091	16.0105	14.9497	24.5521	21.3735	36.7421	38.9933	18.9419	11.3995	14.1452	23.8989	9.86576	26.7574	18.4223	11.2534	6.04775	47.0933	28.5436	31.0003	36.3158	46.5062	33.414
ENSG00000000005	1.4269	1.31417	0.0	3.14593	1.10155	0.0	1.3999	0.0	1.2769700000000002	0.0	0.0	0.0	3.25103	6.9787300000000005	2.10303	1.35743	7.73919	8.91248	2.77603	2.40367	11.7475	2.6759	1.2461	0.0
ENSG00000000419	59.7513	49.2814	44.7706	45.2228	46.816	54.2731	40.2472	45.1219	49.4827	59.8166	50.3976	56.2829	35.2195	34.8936	55.2046	37.3294	31.785999999999998	17.825	41.6404	72.1101	52.211000000000006	51.8456	66.9778	45.7245
ENSG00000000457	14.4529	12.5281	15.5201	9.37202	19.6898	12.9348	22.5204	16.3458	25.8687	19.0079	25.3569	17.885	21.9529	20.7903	25.0605	25.8811	25.031999999999996	3.18613	44.0153	52.493	31.2389	48.832	47.7163	37.0384
ENSG00000000460	6.08295	4.03372	7.217980000000001	1.6093600000000001	6.38655	3.4551199999999995	3.3420099999999997	5.9092199999999995	9.58111	4.89604	5.72929	3.9811900000000002	4.43499	4.76012	4.66199	5.0924	5.27883	4.86329	4.7508099999999995	2.87949	1.78705	4.12151	5.1180900000000005	4.8154699999999995
ENSG00000000938	12.0553	15.1	3.3010900000000003	35.084	8.189810000000001	16.6295	13.2465	16.5906	13.8095	12.9374	13.6253	12.3986	8.0569	5.5029900000000005	15.6356	9.17474	6.72536	4.8190800000000005	0.9381440000000001	0.0	1.7644400000000002	0.0	0.842225	0.0
ENSG00000000971	35.5877	29.3174	21.6282	41.3993	17.6714	26.4826	12.2815	13.0294	12.1632	5.5976099999999995	11.5098	12.9583	113.54299999999999	82.508	86.1883	112.624	78.9818	43.3396	44.2896	47.4076	59.0308	55.8024	59.1723	59.0318
ENSG00000001036	52.1601	40.4542	55.1271	54.4733	61.0366	55.6898	39.8613	52.2261	74.6874	57.6953	49.9894	52.6185	31.6909	22.3778	17.8029	31.3395	17.8677	21.9483	126.65799999999999	127.179	109.09899999999999	138.505	114.663	119.751
ENSG00000001084	66.661	48.1285	68.7954	79.024	101.889	66.5941	111.738	115.25	81.5411	108.596	95.1771	110.402	74.2863	61.7106	66.6509	99.4258	71.6363	10.88	116.00299999999999	127.529	111.54	126.26799999999999	151.533	120.885
ENSG00000001167	39.3756	42.8044	35.3514	31.3095	53.8188	41.9023	78.5278	50.9491	41.5928	80.8189	70.93	73.9321	46.082	45.251000000000005	37.1035	47.898	54.0164	9.67641	35.163000000000004	26.096999999999998	31.886	24.2106	32.6953	33.0958
ENSG00000001460	57.9027	83.09299999999999	41.4822	41.5638	58.2145	49.1693	23.7798	34.0655	39.768	28.601	21.1381	29.9016	1.02267	1.09765	4.96163	0.0	2.0867299999999998	0.0	0.0	0.0	4.9272	3.7879099999999997	2.3519099999999997	0.0
ENSG00000001461	135.753	147.41299999999998	129.862	65.3491	179.396	69.7481	111.666	147.56799999999998	114.59200000000001	110.007	179.6	126.094	100.848	95.6778	106.59299999999999	119.557	76.2477	5.92433	140.977	134.07399999999998	124.96700000000001	172.65099999999998	168.06	133.526
ENSG00000001497	90.9828	93.95200000000001	78.6418	66.8644	91.5223	65.7165	63.565	80.9074	75.2548	89.3802	69.2469	64.4444	121.445	122.48299999999999	86.3492	97.0449	112.15299999999999	58.5505	115.323	118.432	129.886	107.286	109.551	122.329
ENSG00000001561	146.825	139.673	119.027	86.2516	183.44400000000002	87.198	146.89	130.98	130.533	119.861	144.05	146.76	95.3686	78.7386	83.9965	99.2441	65.8633	2.41336	79.9318	61.8821	94.6221	64.3585	62.4728	63.8626
ENSG00000001617	14.6512	5.7089	10.287	21.1206	7.830439999999999	10.8596	18.244	14.2556	17.1462	22.0479	15.9224	14.4888	6.41947	2.75603	5.39844	5.36076	5.67609	3.51971	48.2375	30.3762	26.2894	42.2706	43.3055	37.2262
ENSG00000001626	0.501368	0.61568	1.14408	0.0	1.03214	0.339021	0.327922	0.0	0.0	0.37364899999999995	0.0	1.17192	0.760917	0.272233	0.738336	0.9531379999999999	0.51754	0.0	2.6011	2.53373	0.611512	0.626821	1.75137	1.31825
ENSG00000001629	82.8191	73.8279	75.1276	57.2579	106.086	82.1356	97.1014	88.5654	97.359	72.6943	90.8442	84.6036	65.5382	56.0076	69.9225	80.5381	52.9209	2.04363	56.3797	68.4129	56.0059	70.4204	72.7148	64.7935
ENSG00000001630	248.143	263.597	205.605	144.474	273.77	148.569	198.541	179.42700000000002	189.73	171.285	190.60299999999998	189.21	182.822	160.12	193.00799999999998	150.22799999999998	174.583	49.3176	173.42	114.445	116.361	119.274	106.87799999999999	121.62100000000001
