	Human_Cerebellar_Cortex_Average_RPKM	Chimp_Cerebellar_Cortex_Average_RPKM	Rhesus_Monkey_Cerebellar_Cortex_Average_RPKM	Mouse_Cerebellar_Cortex_Average_RPKM
TSPAN6	8.14158	15.713533333333332	12.221086666666666	39.70910000000001
TNMD	0.0	0.5161051666666667	1.8274483333333331	3.53452
DPM1	43.76011666666667	37.678050000000006	47.36595	58.05943333333334
SCYL3	18.868833333333335	32.48431666666667	29.399050000000003	44.836749999999995
C1orf112	11.605051666666666	10.763045	9.405788333333332	5.726875
FGR	6.297675000000001	8.189413333333333	7.00035	1.0368978333333334
CFH	10.962343333333335	16.764736666666664	99.4338	49.362766666666666
FUCA2	39.84676666666667	44.54058333333334	45.5828	159.62766666666667
GCLC	37.506483333333335	61.15558333333333	41.46956666666667	126.51883333333335
NFYA	41.63205	73.67864999999999	44.07221666666666	33.80161666666667
STPG1	42.90376666666666	13.000206666666669	1.6417765	1.9037049999999998
NIPAL3	168.16566666666665	172.06483333333333	248.5635	137.44366666666667
LAS1L	130.93433333333334	117.13366666666667	135.77633333333333	134.80633333333333
ENPP4	46.886583333333334	103.22845000000001	83.82383333333334	73.39231666666667
SEMA3F	10.916883333333333	18.455883333333333	49.4909	64.65081666666667
CFTR	0.13223133333333334	0.7790958333333332	0.15953883333333332	0.5790575
ANKIB1	59.676966666666665	80.67254999999999	58.48930000000001	59.53306666666668
CYP51A1	108.79811666666666	119.96616666666667	102.9686	122.64481666666666
KRIT1	80.39741666666667	91.24029999999999	73.03781666666667	98.6316
RAD52	15.07765666666667	13.966299999999999	14.816821666666664	25.379266666666666
BAD	144.47023333333334	128.16243333333333	111.15208333333334	137.76406666666668
LAP3	77.61176666666667	130.9091666666667	90.76158333333335	75.30233333333334
AOC1	0.0	0.05514616666666666	1.7145066666666668	0.2670943333333334
WNT16	1.3732563333333332	4.732739999999999	3.820208333333333	4.2609933333333325
HECW1	25.795216666666665	29.808966666666663	74.79613333333333	61.527433333333335
MAD1L1	37.5468	34.76071666666667	42.00511666666666	44.042899999999996
LASP1	73.16211666666668	90.17586666666666	151.2945	270.36083333333335
SNX11	34.144283333333334	30.768666666666665	65.2924	70.61683333333332
TMEM176A	20.20286666666667	37.13523333333334	25.901833333333332	30.056141666666665
M6PR	104.19988333333333	200.64766666666665	200.673	317.88283333333334
KLHL13	18.455953333333333	27.397616666666664	33.24333333333333	90.03026666666666
CYP26B1	171.11550000000003	66.38535	106.01048333333335	46.94695000000001
ICA1	138.68966666666668	74.55835	39.37781666666667	107.60936666666667
DBNDD1	93.97076666666668	72.38206666666666	108.70708333333334	101.75673333333333
ALS2	265.4316666666667	422.55	330.437	257.4456666666667
CFLAR	144.1225	55.79081666666667	51.42556666666667	15.6137
TFPI	4.407645	4.896028333333334	24.033350000000002	8.639908333333334
NDUFAF7	47.43795	29.34391666666666	54.01415	88.21641666666666
RBM5	242.08766666666668	245.31399999999996	197.39566666666664	221.712
MTMR7	48.89685	49.116166666666665	56.756783333333324	133.79666666666665
SLC7A2	3.990979	15.433349999999999	36.17286666666667	35.583
ARF5	718.6065	589.5045000000001	532.6878333333333	381.77383333333336
SARM1	33.56908333333333	45.35908333333333	75.40408333333333	69.7737
PLXND1	8.505346666666666	13.697586666666666	22.981216666666665	30.58996666666667
AK2	66.53998333333334	172.10933333333332	156.3165	78.63518333333333
CD38	1.1932100000000003	14.411918333333334	28.696051666666666	33.71315
FKBP4	665.9581666666667	545.6291666666666	965.8159999999998	544.7199999999999
KDM1A	122.64883333333334	126.88366666666667	122.81833333333334	117.55033333333334
RBM6	380.5753333333334	304.4211666666667	110.46786666666667	166.36216666666667
CAMKK1	105.64221666666667	113.19136666666667	189.33950000000002	157.61216666666664
RECQL	32.207899999999995	42.26351666666667	34.96645	37.16285
CCDC132	51.998016666666665	52.87981666666667	73.27463333333334	69.14341666666667
HSPB6	20.417708333333334	68.1679	200.50256666666667	29.144350000000003
ARHGAP33	61.789183333333334	61.9548	60.30146666666667	40.43456666666667
NDUFAB1	318.4421666666667	341.3691666666667	683.2543333333333	61.69833333333333
PDK4	12.145823333333334	30.887583333333335	7.098211666666667	52.36528333333334
SLC22A16	0.0	0.0	0.0	0.0
ZMYND10	6.264566666666666	6.068653333333334	5.637215	8.016879999999999
ABCB5	0.0	0.0	0.0	0.0
ARX	0.0	0.0	3.5722166666666664	1.4644266666666665
SLC25A13	17.196933333333334	24.7208	35.37656666666667	15.100214999999999
ST7	85.31958333333334	98.00484999999999	57.582483333333336	29.889316666666662
CDC27	58.03541666666667	72.82008333333333	59.398450000000004	70.88273333333333
SLC4A1	2.4724833333333334	0.18298	0.3252818333333333	1.8497556666666668
CALCR	0.0	0.0	0.24967116666666667	1.0968493333333331
HCCS	51.2584	55.4607	85.9327	95.9363
DVL2	75.70021666666666	68.1317	52.569566666666674	50.37506666666666
PRSS22	36.62583333333333	48.7481	11.139666666666669	0.0
UPF1	163.097	183.38883333333334	232.16799999999998	170.30333333333337
SKAP2	13.429561666666666	19.0283	12.044293333333334	32.046083333333335
SLC25A5	1107.9358333333334	783.8903333333333	923.2921666666667	1729.3666666666666
CCDC109B	1.2435566666666666	22.35101333333333	25.564333333333334	5.019785000000001
HOXA11	0.0	0.0	0.0	0.0
POLR2J	155.2897	398.72749999999996	730.7985	581.2651666666667
DHX33	31.570966666666667	49.909	44.792	69.42448333333333
MEOX1	0.0	0.17817166666666664	0.16726166666666667	2.6456950000000004
THSD7A	3.1993700000000005	11.868136666666667	17.253751666666666	48.95823333333333
LIG3	38.23956666666666	35.22111666666667	37.09016666666667	44.988283333333335
RPAP3	45.262766666666664	52.95495	40.1924	70.31415
ACSM3	0.8972953333333332	1.1199033333333333	3.488635	1.5902
AC004381.6	11.538685	11.862256666666669	16.532118333333333	2.6541166666666665
CIAPIN1	94.28253333333333	80.01308333333333	95.75821666666667	96.86678333333333
