	Human_Prefrontal_Cortex_Average_RPKM	Chimp_Prefrontal_Cortex_Average_RPKM	Rhesus_Monkey_Prefrontal_Cortex_Average_RPKM	Mouse_Prefrontal_Cortex_Average_RPKM
TSPAN6	17.551883333333333	23.59925	16.04091833333333	37.14553333333333
TNMD	1.1647583333333333	0.446145	5.056981666666666	3.474866666666666
DPM1	50.019200000000005	50.22481666666666	35.376349999999995	55.0849
SCYL3	14.082953333333334	21.164116666666665	20.317155000000003	43.55565000000001
C1orf112	4.7976133333333335	5.573143333333333	4.848603333333333	3.91207
FGR	15.05995	13.767983333333333	8.319111666666666	0.5908015000000001
CFH	28.681099999999997	11.256634999999998	86.19745	54.12241666666666
FUCA2	53.15685	54.513	23.83785	122.64249999999998
GCLC	71.84866666666666	103.78403333333334	64.09831666666666	125.62633333333332
NFYA	40.760333333333335	66.12511666666667	40.00455166666667	30.524616666666663
STPG1	55.23758333333333	29.542333333333335	1.5281133333333334	1.8445033333333332
NIPAL3	121.25353333333332	131.5878333333333	84.141305	145.70916666666668
LAS1L	81.27996666666667	73.79978333333332	99.67093333333332	117.13449999999999
ENPP4	127.06976666666667	136.51233333333334	70.93741	71.18831666666667
SEMA3F	11.742956666666666	17.017483333333335	4.855083333333334	37.9509
CFTR	0.6053815	0.3122485	0.5403606666666666	1.5737971666666664
ANKIB1	79.54235	88.52798333333334	54.495155000000004	64.78786666666666
CYP51A1	214.02633333333333	186.466	151.67976666666667	125.33316666666666
KRIT1	92.73836666666666	100.80126666666668	60.18398333333334	89.82791666666667
RAD52	13.51405	11.70328	10.09087833333333	26.628516666666666
BAD	277.7791666666667	199.53233333333333	179.16166666666666	124.61035
LAP3	110.71833333333336	173.09399999999997	112.51814999999999	84.75766666666668
AOC1	0.04591983333333333	0.07208333333333333	1.4122000000000001	0.08038433333333334
WNT16	5.055973333333334	8.952036666666668	8.278561666666667	4.816811666666666
HECW1	89.64813333333332	100.53405	105.54011666666668	59.44423333333333
MAD1L1	38.364916666666666	26.923433333333335	32.13455	34.38361666666666
LASP1	176.56150000000002	144.8313333333333	188.15848333333335	279.8595
SNX11	47.651599999999995	46.339733333333335	57.577099999999994	75.54635
TMEM176A	29.85535	45.30728333333334	37.503800000000005	65.49253333333333
M6PR	175.56016666666667	232.18216666666663	188.97383333333332	297.1381666666667
KLHL13	21.829516666666667	17.6267	19.48501483333333	194.87149999999997
CYP26B1	60.30588333333335	47.16128333333333	24.114525	21.008758333333333
ICA1	148.64133333333334	122.94900000000001	75.19870000000002	118.53781666666667
DBNDD1	228.04533333333333	127.31363333333336	189.68033333333335	63.38965000000001
ALS2	59.33175	57.81545	70.99238333333334	46.95633333333333
CFLAR	39.37598333333334	39.050650000000005	32.87652833333333	12.379333333333335
TFPI	7.891120000000001	5.9143550000000005	13.314778333333331	13.068148333333333
NDUFAF7	57.62028333333334	26.809416666666664	41.7797	94.80128333333333
RBM5	160.2485	180.57333333333335	147.06385	208.43066666666667
MTMR7	75.62448333333332	76.16966666666667	89.83883000000002	149.6341666666667
SLC7A2	6.533564999999999	31.01292833333333	21.758349999999997	36.92666666666667
ARF5	907.6943333333334	742.0766666666667	878.9305	466.2175
SARM1	35.40165	40.256416666666674	66.428245	43.517383333333335
PLXND1	68.59331666666667	54.78988333333333	45.02891666666667	108.23933333333333
AK2	51.222	144.902	108.82663333333333	60.52858333333333
CD38	6.081246666666668	14.570971666666667	16.125406666666667	9.113291666666667
FKBP4	388.56750000000005	487.2488333333334	437.175	287.0508333333334
KDM1A	113.05966666666667	139.5925	122.38155	117.53516666666667
RBM6	189.07183333333333	185.40016666666665	65.04581666666667	130.45183333333333
CAMKK1	228.0968333333333	309.23516666666666	433.0018333333334	199.4435
RECQL	30.793166666666668	44.99658333333333	23.214055	30.7028
CCDC132	85.59225000000002	86.83958333333334	75.73568333333333	87.38749999999999
HSPB6	79.41433333333333	79.25191666666667	212.38933333333333	203.91102333333333
ARHGAP33	105.76143333333333	107.40293333333334	133.71266666666665	316.3718333333333
NDUFAB1	462.2660000000001	475.36116666666663	922.6413333333334	63.2202
PDK4	36.46475	63.195299999999996	11.125770000000001	265.72245
SLC22A16	0.250662	0.5692541666666667	0.20682	0.0
ZMYND10	5.411926666666667	4.91687	5.647186666666666	10.045711666666667
ABCB5	0.0	0.0	0.0448125	0.0
ARX	81.44494999999999	41.96821666666667	111.59098333333334	81.50606666666667
SLC25A13	18.39075	26.25396666666667	22.54531833333333	11.067335000000002
ST7	46.03798333333333	54.515166666666666	37.07938333333333	30.375916666666665
CDC27	87.24176666666665	92.69815	64.69341666666666	80.32026666666667
SLC4A1	0.9713180000000001	0.0	0.8087033333333333	0.8783936666666667
CALCR	0.5568816666666666	0.49961000000000005	1.2124726666666668	3.0153003333333337
HCCS	82.05718333333333	82.20126666666665	77.20745000000001	80.8668
DVL2	50.0564	49.2591	44.43035	42.43665
PRSS22	0.0	0.0	35.91781666666667	0.0
UPF1	90.72688333333333	115.844	132.0866	112.79725
SKAP2	48.41021666666666	42.44113333333333	29.05435	35.458733333333335
SLC25A5	1296.3733333333332	1104.5275	1120.2730000000001	1367.2883333333332
CCDC109B	21.83926666666667	43.59343333333334	33.6759	8.24615
HOXA11	0.0	0.0	0.0	0.0
POLR2J	148.45133333333334	426.1375	859.8006666666669	600.9526666666666
DHX33	40.34118333333333	51.783416666666675	42.51811	66.02271666666667
MEOX1	0.0	0.0	1.4761600000000001	3.128196666666667
THSD7A	10.543348333333334	16.43894166666667	17.231275	36.399483333333336
LIG3	35.772933333333334	26.483633333333334	20.57388666666667	39.5418
RPAP3	57.08871666666667	57.42239999999999	49.66176666666667	74.35968333333334
ACSM3	0.9739911666666666	2.251991	2.4801333333333333	2.8184649999999998
AC004381.6	8.480485	9.403076666666665	4.169625000000001	1.1186706666666666
CIAPIN1	133.86383333333333	103.9808	87.03388333333334	75.19778333333333
SPPL2B	68.44415000000001	69.31855	140.78815	93.45481666666666
FAM214B	68.06628333333335	78.86878333333333	82.09566666666667	94.60764999999999
COPZ2	9.762301666666668	10.839263333333333	25.687583333333333	5.4265316666666665
PRKAR2B	187.52383333333333	213.15066666666664	148.04103333333333	162.27166666666668
MSL3	108.29939999999999	113.66333333333334	67.76275	58.48218333333333
CREBBP	91.07101666666667	99.33983333333333	95.95148333333333	105.89438333333332
BZRAP1	175.64416666666668	142.37633333333332	134.55093333333335	282.5943333333333
MPO	9.259386666666666	15.815566666666667	0.5217668333333333	0.8455903333333333
PON1	1.2832649999999999	0.20404166666666668	0.14142533333333335	0.16696666666666668
GCFC2	18.114566666666665	16.061941666666666	4.510459999999999	12.76164
WDR54	74.80251666666668	71.92658333333334	98.33453333333334	50.20686666666666
CROT	18.03676666666667	15.459466666666664	5.106951666666666	78.37661666666666
ABCB4	0.9469119999999999	1.030103166666667	0.9809359999999999	25.16304166666667
KMT2E	129.0535	162.845	131.73286666666664	201.06133333333332
RHBDD2	972.3581666666668	670.7831666666667	607.5753333333333	236.98566666666667
SOX8	295.31983333333335	348.10533333333336	427.7108333333333	294.4433333333333
IBTK	53.1817	51.34538333333334	32.187776666666664	39.24685
MYCBP2	156.38060000000004	168.82666666666668	151.85094999999998	185.80150000000003
FBXL3	184.75616666666664	211.4915	208.98878333333332	300.6946666666667
ITGAL	1.0868506666666666	4.542771666666668	1.5127073333333332	5.205522333333334
PDK2	250.0378333333333	236.87449999999998	266.6413333333333	309.8775
ITGA3	36.57488333333333	35.55658333333333	22.48994	25.12863333333334
ZFX	38.083933333333334	49.96616666666667	37.533555	41.86258333333333
LAMP2	311.1086666666667	351.8445	208.63565000000003	156.1676666666667
ITGA2B	4.314118333333334	10.659783333333333	2.6401471666666665	2.360864166666667
ASB4	2.8197666666666663	2.8322083333333334	0.0	6.271018333333333
GDE1	263.885	262.034	224.1985	729.7179999999998
C19orf60	343.9748333333334	260.54316666666665	493.44883333333337	193.72250000000005
