	Human_Primary_Visual_Cortex_Average_RPKM	Chimp_Primary_Visual_Cortex_Average_RPKM	Rhesus_Monkey_Primary_Visual_Cortex_Average_RPKM	Mouse_Primary_Visual_Cortex_Average_RPKM
TSPAN6	11.455338333333332	14.636726666666666	10.350036666666666	42.6568
TNMD	0.19710000000000003	0.4625066666666666	1.8529000000000007	2.103665
DPM1	46.2416	43.517783333333334	43.8782	58.18920000000001
SCYL3	9.44797	20.665716666666665	27.135483333333337	49.46686666666667
C1orf112	6.98716	5.320931666666667	6.174976666666669	4.30239
FGR	21.604885	23.276886666666666	10.242655000000001	0.1608265
CFH	34.79146666666667	11.680026666666668	117.76305000000002	48.429849999999995
FUCA2	56.89596666666666	41.779716666666666	31.30196666666667	160.84266666666667
GCLC	74.93385	100.24975	67.34193333333332	135.83166666666668
NFYA	45.52783333333334	57.89548333333334	36.04486666666667	28.027033333333335
STPG1	40.09741333333333	29.940883333333332	2.478002833333333	2.5348156666666664
NIPAL3	107.62598333333334	106.59516666666667	106.29338333333334	132.21083333333334
LAS1L	93.61321666666667	84.36271666666666	128.33016666666666	111.64008333333334
ENPP4	108.60358333333333	106.80461666666667	66.38498333333332	64.316
SEMA3F	13.930171666666666	34.12428333333333	14.031631666666664	33.33853333333334
CFTR	1.2434318333333334	0.8666023333333334	0.6691353333333332	1.5571458333333335
ANKIB1	84.66244999999999	72.41675000000001	60.3902	70.56535000000001
CYP51A1	138.91106666666667	151.46148333333335	123.70019999999998	123.8985
KRIT1	90.83146666666666	118.19620000000002	80.1264	93.30914999999999
RAD52	11.291760000000002	9.162745	8.664325	22.929216666666665
BAD	302.3813333333333	267.75050000000005	97.52441666666668	122.97383333333333
LAP3	117.16403333333334	175.25	100.27714999999999	89.38375
AOC1	0.0	1.210801666666667	0.0	0.23846983333333335
WNT16	1.6715866666666666	4.949359999999999	8.552565000000001	3.2447664999999994
HECW1	59.15218333333334	106.17514999999999	153.006	72.95728333333334
MAD1L1	39.2738	32.92501666666667	31.888099999999998	31.428083333333333
LASP1	105.06413333333332	120.77788333333335	191.35483333333332	303.72049999999996
SNX11	38.30145	44.64265	65.97573333333332	81.35728333333334
TMEM176A	37.7677	38.96581666666667	30.452858333333335	88.06165
M6PR	122.99178333333333	202.47249999999997	201.83983333333333	292.2013333333333
KLHL13	14.960758333333333	16.214725	26.92016666666667	91.64751666666668
CYP26B1	21.903068333333334	27.673636666666667	20.993745	23.96702
ICA1	132.94631666666666	133.95233333333334	99.88236666666667	127.81994999999999
DBNDD1	176.39475000000002	104.16761666666666	172.13649999999998	75.68593333333332
ALS2	38.27546666666667	62.55214999999999	90.22113333333334	62.483799999999995
CFLAR	47.16853333333333	32.41206666666666	33.4728	12.732701666666665
TFPI	6.376666666666668	7.1099683333333346	11.695851666666668	12.638251666666667
NDUFAF7	52.35135	30.38638333333333	53.66355000000001	87.84233333333333
RBM5	152.22566666666668	160.85183333333333	149.84599999999998	200.51249999999996
MTMR7	44.035533333333326	59.44593333333333	103.32981666666666	150.65033333333332
SLC7A2	5.715285000000001	23.03391666666667	24.876549999999998	24.815766666666665
ARF5	761.5306666666667	871.1131666666666	691.8976666666666	464.8
SARM1	26.17661666666667	37.36405	65.40288333333334	51.251749999999994
PLXND1	63.84733333333333	74.33163333333333	68.16866666666667	94.3517
AK2	77.7674	159.0375	112.40666666666668	66.04913333333333
CD38	4.045376666666667	7.386441666666667	11.697955	11.726955000000002
FKBP4	317.8313333333333	481.3168333333333	509.38999999999993	307.81250000000006
KDM1A	95.52103333333334	127.06083333333333	127.54783333333334	125.14133333333332
RBM6	233.26083333333335	220.35116666666667	75.27356666666667	135.14083333333335
CAMKK1	155.8279	448.3053333333333	525.1991666666667	229.41366666666667
RECQL	30.0102	42.35751666666667	32.710366666666665	32.9906
CCDC132	60.94421666666667	90.22173333333335	81.66664999999999	90.27053333333333
HSPB6	144.66548333333333	84.1061	379.5539999999999	16.910815
ARHGAP33	79.86963333333334	100.53813333333333	74.73434999999999	257.1235
NDUFAB1	402.2633333333333	506.4985	773.6266666666667	50.677383333333324
PDK4	55.16206666666667	37.90224	10.52956	56.69846666666666
SLC22A16	0.11630133333333333	0.11540833333333333	0.08512833333333332	0.0
ZMYND10	3.767085	3.1589528333333337	5.910741666666667	11.664218333333332
ABCB5	0.0	0.0	0.0	0.0
ARX	37.853633333333335	39.82263333333333	75.22176666666668	54.496933333333324
SLC25A13	24.49038333333333	28.84541666666667	20.784716666666665	13.353499999999999
ST7	39.73475	47.02996666666667	39.470416666666665	33.01661666666667
CDC27	54.09889999999999	63.28770000000001	65.95955	78.88623333333334
SLC4A1	0.7520223333333335	0.0	0.4877816666666666	0.9902696666666667
CALCR	0.0	0.0	0.3379651666666666	1.6972516666666666
HCCS	54.43091666666667	70.65195	85.67235	79.82238333333333
DVL2	61.52821666666667	50.27564999999999	43.1561	45.91716666666667
PRSS22	0.0	0.0	0.0	0.0
UPF1	79.65898333333332	112.84083333333332	145.27200000000002	116.48750000000001
SKAP2	19.854021666666664	30.216250000000002	16.2313	28.02455
SLC25A5	1414.4350000000002	1349.9733333333334	1425.9683333333332	1405.9016666666666
CCDC109B	7.672176666666668	19.95615	15.865499999999999	6.536516666666667
HOXA11	0.0	0.0	0.0	0.356095
POLR2J	220.24483333333333	383.6418333333333	640.15	572.7721666666667
DHX33	29.062706666666667	40.17126666666667	55.6832	87.34753333333333
MEOX1	0.25303333333333333	0.22823166666666664	0.37448	2.0031399999999997
THSD7A	9.521068333333334	22.625600000000002	31.825733333333336	35.3474
LIG3	23.709400000000002	25.6122	24.832316666666667	40.09119999999999
RPAP3	39.42933333333334	40.80096666666667	53.5713	62.594683333333336
ACSM3	2.4173666666666667	1.636786	1.6661361666666668	36.2423185
AC004381.6	5.660140000000001	8.911708333333332	4.563208333333333	2.1258701666666666
CIAPIN1	88.48376666666667	89.58823333333333	89.00436666666667	81.2377
SPPL2B	70.56811666666665	77.28098333333334	159.22083333333333	94.57206666666667
FAM214B	61.70285000000001	56.487750000000005	53.6386	99.70895
COPZ2	12.677956666666667	6.541896666666667	13.082723333333336	2.733166666666667
PRKAR2B	102.64641666666667	178.4935	142.4725	103.48725
MSL3	79.76371666666667	114.37400000000001	71.82091666666666	61.59026666666667
CREBBP	79.94648333333335	102.88756666666666	124.71833333333335	112.14429999999999
BZRAP1	95.60776666666665	136.778	135.047	264.40366666666665
MPO	6.435149999999999	12.046091666666667	0.9362228333333333	0.0
PON1	0.1423585	0.0	0.11072800000000001	0.31792149999999997
GCFC2	20.828300000000002	10.887718333333334	5.08958	13.456275
WDR54	58.616099999999996	83.04928333333332	78.22198333333334	42.97371666666667
CROT	8.30664	10.897373333333334	6.910531666666667	81.5133
ABCB4	1.265665	0.9223348333333332	0.6925628333333332	10.258635
KMT2E	135.73166666666668	180.88783333333333	202.4606666666667	215.41166666666666
RHBDD2	603.5825	538.4498333333333	395.98633333333333	233.71916666666667
SOX8	408.72700000000003	361.58700000000005	276.35583333333335	273.1518333333333
IBTK	43.36965	49.974799999999995	38.68123333333333	36.776633333333336
MYCBP2	86.36701666666666	140.60481666666666	182.35066666666663	215.61283333333333
FBXL3	150.5915	188.23366666666666	258.59250000000003	313.4496666666667
ITGAL	0.5327285	4.039148333333333	0.9151136666666667	10.105849
PDK2	167.3683333333333	176.00666666666666	215.70000000000002	344.53849999999994
ITGA3	23.7406	27.60786666666667	21.26	33.36848333333334
ZFX	37.2283	43.71933333333333	56.74100000000001	46.161849999999994
LAMP2	392.49399999999997	319.22683333333333	203.1008333333333	201.80683333333332
ITGA2B	7.380504999999999	10.718566666666666	2.9442566666666665	0.7602246666666667
ASB4	3.238293666666667	1.212509	0.0	3.297299166666667
GDE1	204.8065	247.74900000000002	227.3381666666667	728.3051666666667
C19orf60	460.5318333333333	407.54749999999996	288.9256666666667	172.84333333333333
CRLF1	86.49374999999999	70.70428166666667	10.915791666666665	19.285633333333333
OSBPL7	33.893966666666664	37.402166666666666	39.149499999999996	25.60875
TMEM98	194.6534833333333	164.10766666666666	62.5875	39.549600000000005
YBX2	7.480671666666666	1.8132983333333332	0.0	8.777975
KRT33A	0.0	0.15467266666666668	0.0	0.0
MAP3K14	11.938008333333334	17.334566666666664	28.431399999999996	6.942988333333335
ABCC8	90.98455	62.93358333333333	148.81449999999998	53.57083333333333
CACNG3	236.11293333333336	256.7715	242.32766666666666	333.9431666666667
TMEM132A	325.8481666666667	240.80449999999996	235.35150000000002	477.5408333333333
AP2B1	293.95633333333336	443.5091666666667	411.1551666666667	580.4354999999999
TAC1	18.542366666666666	18.946176666666666	52.136266666666664	59.86835
ZNF263	27.34795	25.41985	30.202716666666664	38.08716666666667
CX3CL1	12471.318333333335	14614.866666666667	0.0	42374.799999999996
SPATA20	123.31666666666666	112.03078333333333	44.686933333333336	0.453425
CACNA1G	35.612633333333335	59.47611666666666	92.80150000000002	114.3089
TNFRSF12A	9.353104999999998	16.811506666666666	5.527314999999999	34.291149999999995
DLX6	8.816368333333335	11.670366666666666	16.612051666666666	28.40766666666667
MAP3K9	24.26145	38.377966666666666	76.68213333333334	96.59428333333334
RALA	116.84943333333335	123.62691666666666	119.73283333333332	205.82250000000002
BAIAP2L1	3.353635	1.4240884999999999	1.7768768333333333	4.244759999999999
KDM7A	10.964721666666664	14.774299999999998	28.154733333333336	53.90483333333333
ETV1	35.86585	22.803533333333334	40.829116666666664	68.909
AGK	47.474983333333334	92.92865	71.39016666666667	69.34095
TTC22	0.2767736666666667	0.7391991666666667	7.991493333333334	1.7323233333333332
PHTF2	18.031985	27.54131666666667	19.965083333333336	22.34241666666667
CCL26	0.0	0.83038	0.6841266666666667	0.0
FARP2	29.070283333333332	25.60095	29.31295	14.777666666666669
USH1C	5.6437766666666676	4.183374166666666	2.280186833333333	1.3545448333333334
GGCT	86.15495	59.1121	79.09423333333332	61.0601
DBF4	4.101596666666667	6.889891666666667	10.806113333333334	2.764518333333333
TBXA2R	7.39637	0.0	0.0	14.392235
IFRD1	83.17958333333334	89.06131666666668	70.64581666666668	109.58200000000001
COX10	17.803916666666666	32.152416666666674	46.06961666666667	54.30681666666666
GTF2IRD1	24.829400000000003	21.66661666666667	26.799366666666668	41.62606666666667
PAF1	188.09233333333336	134.74206666666666	132.13473333333334	180.0138333333333
VPS41	54.28081666666666	122.38189999999999	64.0112	201.58533333333332
ARHGAP44	116.66996666666665	158.313	241.3816666666667	259.6718333333334
ELAC2	65.84866666666667	34.58936666666667	39.708516666666675	56.97945000000001
SCIN	0.76016	0.26166	6.4332183333333335	1.4721238333333335
PNPLA4	3531.5316666666663	895.1243333333332	389.89000000000004	0.0
MYH13	0.09357466666666665	0.06252033333333333	0.3859035	0.424089
ADIPOR2	133.98593333333335	130.5768666666667	64.91376666666666	173.24016666666662
