	Human_Kidney_Average_RPKM	Chimp_Kidney_Average_RPKM	Rhesus_Monkey_Kidney_Average_RPKM	Mouse_Kidney_Average_RPKM
TSPAN6	108.59296666666665	125.98691666666667	148.7701666666667	15.608883333333333
TNMD	0.8547183333333335	3.3748583333333335	0.39451450000000005	0.5473433333333334
DPM1	58.84921666666667	52.21431666666666	60.40195	103.09019999999998
SCYL3	18.823788333333333	40.18033333333333	26.391116666666665	50.452400000000004
C1orf112	7.995243333333332	6.000725	2.838113333333333	5.218228333333333
FGR	13.94562333333333	28.5114	8.162243333333334	6.899683333333333
CFH	63.11093333333333	89.48851666666667	179.87116666666665	366.1176666666667
FUCA2	289.4642	224.43866666666668	194.93949999999998	2074.1749999999997
GCLC	68.7701	182.5884333333333	77.59143333333334	817.5773333333332
NFYA	42.9874	79.01051666666666	59.86876666666666	53.631316666666656
STPG1	14.36988	20.82786666666667	7.121041666666668	0.35828166666666666
NIPAL3	36.491234999999996	46.9082	64.4022	65.60703333333332
LAS1L	81.52335000000001	55.76701666666667	60.22553333333334	141.26383333333334
ENPP4	71.69205	132.95703333333333	124.0225	88.64971666666668
SEMA3F	136.9051166666667	90.1715	87.4412	77.84828333333334
CFTR	105.77872483333333	0.8347669999999999	2.359735	15.256933333333334
ANKIB1	71.8996	74.0974	79.56358333333333	221.96099999999998
CYP51A1	137.21644999999998	134.40966666666668	86.18934999999999	655.4195000000001
KRIT1	99.67181666666666	98.22018333333334	46.31783333333333	77.58438333333334
RAD52	10.819425	11.193255	9.629121666666666	12.875121666666667
BAD	203.82983333333334	231.54566666666665	188.43616666666665	181.48800000000003
LAP3	272.023	1028.3606666666667	662.1225	1098.8818333333334
AOC1	954.0835800000001	986.8664999999997	2725.445	30.41971666666667
WNT16	0.45441	1.8844416666666668	0.5609866666666666	3.1552631666666664
HECW1	16.42705833333333	48.16988333333333	141.893	0.0
MAD1L1	27.331199999999995	33.80835	25.31175	20.409516666666665
LASP1	154.3187	202.78236666666666	191.77333333333334	457.9866666666666
SNX11	44.71841666666666	46.43993333333333	90.44538333333334	44.721966666666674
TMEM176A	965.46026	1445.8253333333332	427.4646666666667	3419.86
M6PR	209.5732	289.4575	329.255	718.7555000000002
KLHL13	44.979031666666664	101.89798333333333	98.91236666666667	17.629299999999997
CYP26B1	138.11519833333327	27.978189999999998	13.90299	47.45253333333334
ICA1	76.24409666666666	65.61978333333333	34.7985	17.574628333333333
DBNDD1	29.36045	80.58836666666666	57.71095	5.189618333333334
ALS2	38.9346	37.60263333333333	50.83418333333333	81.17843333333333
CFLAR	178.1966666666667	206.45700000000002	180.11100000000002	100.22768333333333
TFPI	158.07796666666664	347.34549999999996	168.36433333333335	25.696318333333334
NDUFAF7	54.372800000000005	49.364133333333335	53.90085	120.21063333333335
RBM5	215.922	181.37249999999997	147.41933333333336	124.69136666666664
MTMR7	2.9027588333333334	1.2746471666666668	2.6738428333333335	19.683701666666664
