	Human_Muscle_Average_RPKM	Chimp_Muscle_Average_RPKM	Rhesus_Monkey_Muscle_Average_RPKM	Mouse_Muscle_Average_RPKM
TSPAN6	16.169215	12.717973333333333	7.054478333333333	5.5421249999999995
TNMD	11.694141666666667	2.7354426666666662	8.691918833333332	39.22058333333333
DPM1	67.2527	70.7889	52.85496666666668	97.29635
SCYL3	16.101708333333335	35.3024	29.0568	18.165166666666668
C1orf112	2.5575166666666664	3.110027333333333	2.2562824999999997	1.2212711666666667
FGR	23.303743333333333	11.26845	7.650713333333333	0.3493853333333334
CFH	70.30223333333333	20.166349999999998	31.115399999999998	56.535133333333334
FUCA2	39.690016666666665	18.027116666666668	10.525358333333331	47.512
GCLC	28.716283333333333	47.41968333333333	18.76478333333333	37.49796666666666
NFYA	23.512385000000005	40.3211	28.826799999999995	13.445575
STPG1	3.7120933333333332	0.458413	0.5872716666666666	0.1283225
NIPAL3	6.225533333333332	9.934131666666667	3.116246666666667	25.2971
LAS1L	36.213633333333334	28.945050000000005	32.0037	130.46616666666668
ENPP4	63.91321666666668	124.64633333333335	95.65416666666668	163.50358333333335
SEMA3F	31.71441666666667	33.93418333333333	26.030450000000002	25.391816666666667
CFTR	6.6949499999999995	0.0	0.0	0.03185216666666667
ANKIB1	20.31755	35.07463333333333	32.47123333333334	27.161683333333333
CYP51A1	30.133749999999996	45.75773333333333	22.042316666666668	18.952645
KRIT1	50.069849999999995	66.24288333333334	55.40588333333334	46.43359999999999
RAD52	5.7461899999999995	17.223634999999998	9.349016666666666	37.5198
BAD	119.06686666666667	182.78066666666663	107.40318333333333	76.19581666666666
LAP3	159.19025	653.0554999999999	155.69833333333335	158.59466666666665
AOC1	0.576278	0.9599254999999999	3.313856833333334	0.18745133333333333
WNT16	0.672165	0.4617516666666666	0.9085815	0.44972566666666663
HECW1	1.6399055	0.8033608333333332	3.2702333333333335	0.15726416666666668
MAD1L1	29.638166666666667	26.144099999999995	8.525778333333333	21.328533333333336
LASP1	47.70359999999999	34.52006666666667	43.340133333333334	45.205000000000005
SNX11	21.291521666666664	33.764950000000006	58.502183333333335	29.629649999999998
TMEM176A	25.138818333333333	28.207133333333335	10.212378333333334	54.353583333333326
M6PR	110.24116666666667	175.38833333333332	128.42176666666668	116.6574
KLHL13	12.766733333333333	7.383476666666667	16.681833333333334	11.687631666666666
CYP26B1	6.586210333333334	13.463821666666666	30.042689999999993	28.594316666666668
ICA1	11.570699999999997	9.076523333333334	27.495121666666666	6.522601666666667
DBNDD1	109.06341666666667	238.742	182.47146666666666	10.727341666666668
ALS2	26.0659	75.29615	48.22753333333333	43.42268333333333
CFLAR	254.81033333333332	523.7309999999999	77.76216666666666	22.99738333333333
TFPI	64.57673333333332	256.0143166666667	23.21501666666667	11.325118333333334
NDUFAF7	44.340833333333336	31.109799999999996	39.18221666666667	60.347849999999994
RBM5	110.3319	111.37263333333333	107.74098333333335	102.26123333333335
MTMR7	1.0798400000000001	0.7376228333333333	1.5179285	5.079816666666667
SLC7A2	136.85761666666667	188.21916666666667	126.56728333333332	288.98436666666663
ARF5	425.97633333333334	399.846	254.4848333333333	230.403
SARM1	5.350920000000001	2.2194689999999997	5.030603333333333	1.316435
PLXND1	38.91801666666667	33.5569	33.47156666666667	36.819849999999995
AK2	150.06166666666667	1201.9066666666668	268.34666666666664	84.76736666666667
CD38	41.44358333333333	32.84402166666667	45.36855	12.95773
FKBP4	299.31199999999995	447.982	310.35549999999995	439.16400000000004
KDM1A	92.15055	92.38225	83.58879999999999	59.61205
