	log2_hum-chimp_difference	log2_hum-rhe_monkey_difference	log2_chimp-rhe_monkey_difference
TSPAN6			-1.3568919171776441
TNMD			
DPM1	-2.048958259933258	-5.964352846747261	
SCYL3			-2.2201449995114313
C1orf112	-2.477945226605412	-1.700646547322546	-2.131956061080092
FGR		-9.04358155775107	-1.9104323780742456
CFH			
FUCA2			-3.718933074374698
GCLC		-6.043913958564322	-0.9394075983753059
NFYA		-4.209034971234216	-0.6054422052495487
STPG1	0.7302663743027938	1.1706224402423175	-0.5308587715851951
NIPAL3	-3.64145754821693		
LAS1L	-2.266305989351809	-4.007950133324753	
ENPP4			-1.5193537355888178
SEMA3F			
CFTR		-5.4112671528804785	0.8763074686037762
ANKIB1		-3.084131454182156	-1.2019347375563154
CYP51A1		-2.711050694460034	-1.9787127678825345
KRIT1		-2.3941297947438214	-1.629576227683014
RAD52	-2.5062310345663077	-3.0850907443548152	-4.5794625115391145
BAD	-2.1362128416554826	-1.472152808833853	-2.101796947716704
LAP3			-0.9929816257215077
AOC1	-7.262332582685427		
WNT16			-1.4119832350200643
HECW1	-7.028562317867473		
MAD1L1	-2.5301768137603795		
LASP1			
SNX11	-2.491867604476364		
TMEM176A			-0.9860556828481536
M6PR			-3.3240986758037123
KLHL13			
CYP26B1	0.020973091399213776	-0.5808192520399776	
ICA1	-0.21494884987462223	0.3554166900575591	-0.9495934942723576
DBNDD1	-1.5757796511957451		
ALS2			-1.4291824879853408
CFLAR	0.20706032111537429	0.27075334112885147	-2.716870423426563
TFPI	-4.157132416102476		
NDUFAF7	-0.9573181160705605		
RBM5	-3.541771030899404	-1.7573581627190729	-1.690016303530589
MTMR7	-3.3846010657569865		
SLC7A2			
ARF5	-1.6877946757338282	-1.3111600150961895	-2.3763528318133287
SARM1			
PLXND1			
AK2			-2.184713462898498
CD38			
FKBP4	-1.9116529818192762		
KDM1A	-3.924009139879946	-3.3417659925574337	-2.9131721562612163
RBM6	-1.3688250952317385	0.1617953983442932	-0.2662604380867813
CAMKK1	-4.4895619717385555		
RECQL		-5.358135636326687	-1.7368062378357292
CCDC132	-3.55383405056231		
HSPB6			
ARHGAP33	-3.361410526628423	-3.008679225087004	-2.977669236016891
NDUFAB1	-4.357328109053017		
PDK4		-1.3145116727437287	0.6074982295764425
ZMYND10	-2.9136951279871885	-2.2882011247436576	-2.5393124556675066
ARX	-3.321928094887362		
SLC25A13			
ST7		-1.1667989606494444	-0.7288674084627648
CDC27		-3.6710321747886754	-1.6820585268609587
SLC4A1	1.2656126765364402	1.177006843343433	
CALCR	-3.321928094887362		
HCCS	-4.854702314073215		
DVL2	-2.2135184990732326	-1.1414083625415852	-1.5661474713580936
PRSS22		-0.1645538081622037	0.34370268947709454
UPF1			
SKAP2		-2.3704570177520092	-0.8089197341180633
SLC25A5	-1.1670628593192405	-1.7525825493873002	
