	c_Hum-Chimp	c_Hum-Rhesus_Monkey	c_Rhesus_Monkey_Chimp
TSPAN6	-0.9401669063369265	-0.5801366518450752	-0.3600302544918512
TNMD	-2.6231766341643996	-4.268620283046966	1.6454436488825663
DPM1	0.21536141388320384	-0.11398330849795713	0.32934472238116097
SCYL3	-0.780546790787465	-0.637037544666951	-0.14350924612051408
C1orf112	0.10770274358727328	0.30025312016384564	-0.19255037657657237
FGR	-0.37372229564173187	-0.15034243580090711	-0.22337985984082476
CFH	-0.6083527680005036	-3.1695295001020978	2.561176732101594
FUCA2	-0.16027714484168687	-0.1935723447614297	0.033295199919742835
GCLC	-0.7038599460638686	-0.14454630593100148	-0.5593136401328671
NFYA	-0.8220475991445797	-0.0819834403259998	-0.7400641588185799
STPG1	1.7148734582344796	4.625831611651085	-2.9109581534166056
NIPAL3	-0.03304964989762649	-0.5634539218078904	0.530404271910264
LAS1L	0.16055793683875574	-0.0523493191276545	0.21290725596641025
ENPP4	-1.1369167642402456	-0.8368317116066519	-0.30008505263359364
SEMA3F	-0.7521605361892476	-2.1703592638640705	1.418198727674823
CFTR	-1.9204578092230005	-0.16038777907747104	-1.7600700301455294
ANKIB1	-0.4342753957107588	0.028952477149280398	-0.4632278728600392
CYP51A1	-0.14085066896955123	0.07937412316480597	-0.2202247921343572
KRIT1	-0.1823090433245218	0.13832492528591178	-0.3206339686104336
RAD52	0.10970617311260789	0.025008892328197696	0.08469728078441019
BAD	0.1726718527272464	0.37793818280606306	-0.20526633007881667
LAP3	-0.7534627953420587	-0.22553738597088913	-0.5279254093711696
AOC1	-0.6336280513667227	-4.181505452310435	3.5478774009437126
WNT16	-1.713832912124509	-1.4119218579894304	-0.3019110541350787
HECW1	-0.20789243761396747	-1.532205608886807	1.3243131712728395
MAD1L1	0.11092501149183054	-0.16146832187138926	0.2723933333632198
LASP1	-0.3012729818535167	-1.047173506045227	0.7459005241917103
SNX11	0.14971999888445797	-0.933259805565819	1.082979804450277
TMEM176A	-0.8749849548172426	-0.35692990480270215	-0.5180550500145404
M6PR	-0.9446456749811603	-0.9448277242625647	0.00018204928140441723
KLHL13	-0.5674244566007571	-0.8455162147222817	0.27809175812152453
CYP26B1	1.3647049297499043	0.6902461172956285	0.6744588124542759
ICA1	0.8945246290971767	1.8137860502670167	-0.91926142116984
DBNDD1	0.37612237094886947	-0.2099541116821131	0.5860764826309826
ALS2	-0.6705795262927925	-0.315927851071061	-0.35465167522173147
CFLAR	1.3676130947973215	1.4849358840658233	-0.11732278926850181
TFPI	-0.1484077583377994	-2.420582387408474	2.272174629070675
NDUFAF7	0.6911100973856978	-0.1869261948214085	0.8780362922071063
RBM5	-0.019092153897426023	0.29430439922222185	-0.31339655311964787
MTMR7	-0.0064432924281785375	-0.21464347943525652	0.20820018700707799
SLC7A2	-1.924850965464005	-3.1483727302288855	1.2235217647648806
ARF5	0.2856551984268094	0.43184159628117413	-0.1461863978543647
SARM1	-0.4331441497842512	-1.1651302256616676	0.7319860758774164
PLXND1	-0.6811107299816226	-1.423414056362366	0.7423033263807435
AK2	-1.3697033904709306	-1.230932762101216	-0.13877062836971454
CD38	-3.4882097684966373	-4.4768425383107555	0.9886327698141182
FKBP4	0.28746302187747474	-0.536249558925606	0.8237125808030807
KDM1A	-0.048933629102797305	-0.001990797969072311	-0.046942831133724994
RBM6	0.3220185799313384	1.7836289212900862	-1.4616103413587478
CAMKK1	-0.09948644995728184	-0.8411857030222434	0.7416992530649615
RECQL	-0.3909353757636129	-0.11820440570263457	-0.27273097006097835
CCDC132	-0.024214400154718874	-0.49405293761997626	0.4698385374652574
HSPB6	-1.7343377713306865	-3.289398557675402	1.5550607863447157
ARHGAP33	-0.0038555237530335518	0.03510370334853441	-0.03895922710156796
NDUFAB1	-0.10027095438201705	-1.1011494794157795	1.0008785250337624
PDK4	-1.3394004710396672	0.7665793439454109	-2.105979814985078
SLC22A16	0.0	0.0	0.0
ZMYND10	0.045106719357770775	0.1497117077043688	-0.10460498834659804
ABCB5	0.0	0.0	0.0
ARX	0.0	-5.198579277469112	5.198579277469112
SLC25A13	-0.5210333384242176	-1.0363501186357178	0.5153167802115002
ST7	-0.19975759988230113	0.5664335842016923	-0.7661911840839934
CDC27	-0.3268988746532395	-0.033434749677231146	-0.2934641249760084
SLC4A1	3.1843897328621287	2.5966705960634053	0.5877191367987236
CALCR	0.0	-1.8059988385806511	1.8059988385806511
HCCS	-0.11346451771879984	-0.7442848571876626	0.6308203394688627
DVL2	0.1517598105432656	0.525232382270338	-0.3734725717270724
PRSS22	-0.4115072212384856	1.7081959764791228	-2.1197031977176084
UPF1	-0.16907773002968352	-0.5091758680870875	0.34009813805740396
SKAP2	-0.4995935625848582	0.1558365562095423	-0.6554301187944005
SLC25A5	0.499096767177134	0.2629891393277841	0.2361076278493499
CCDC109B	-4.06265148718239	-4.255635709295616	0.19298422211322563
HOXA11	0.0	0.0	0.0
POLR2J	-1.3598740121092483	-2.233780194847652	0.8739061827384038
DHX33	-0.6590268544027129	-0.5032974694993797	-0.1557293849033332
MEOX1	-1.4759754808393049	-1.4182529267101072	-0.05772255412919769
THSD7A	-1.8589360751787476	-2.39498510967103	0.5360490344922826
LIG3	0.11830307693837128	0.0439128176622825	0.07439025927608878
RPAP3	-0.22597872747263636	0.17100089109031114	-0.3969796185629475
ACSM3	-0.2906741268954039	-1.84734248966801	1.556668362772606
AC004381.6	-0.03956151389482221	-0.5150438635961279	0.47548234970130565
CIAPIN1	0.2364820259668612	-0.02238220495083798	0.25886423091769917
SPPL2B	0.7010669565955432	-0.5355450569495863	1.2366120135451295
