	hM1	hM2	hM3	hM4	hM5	hM6	hK1	hK2	hK3	hK4	hK5	hK6	hP1	hP2	hP3	hP4	hP5	hP6	hV1	hV2	hV3	hV4	hV5	hV6	hC1	hC2	hC3	hC4	hC5	hC6	cM1	cM2	cM3	cM4	cM5	cM6	cK1	cK2	cK3	cK4	cK5	cK6	cP1	cP2	cP3	cP4	cP5	cP6	cV1	cV2	cV3	cV4	cV5	cV6	cC1	cC2	cC3	cC4	cC5	cC6	rM1	rM2	rM3	rM4	rM5	rM6	rK1	rK2	rK3	rK4	rK5	rK6	rP1	rP2	rP3	rP4	rP5	rP6	rV1	rV2	rV3	rV4	rV5	rV6	rC1	rC2	rC3	rC4	rC5	rC6	mM1	mM2	mM3	mM4	mM5	mM6	mK1	mK2	mK3	mK4	mK5	mK6	mP1	mP2	mP3	mP4	mP5	mP6	mV1	mV2	mV3	mV4	mV5	mV6	mC1	mC2	mC3	mC4	mC5	mC6
iso	67.2286	118.09	167.22400000000005	403.025	101.173	111.521	329.408	231.487	144.88	236.697	235.484	169.578	240.711	251.59	256.844	314.147	281.182	287.336	254.575	191.502	152.407	257.148	244.805	230.154	225.553	252.508	286.649	222.088	281.696	273.155	120.741	134.671	123.466	283.067	140.924	305.957	217.666	212.566	218.629	245.395	249.907	240.594	284.547	249.978	347.086	295.007	303.744	301.524	245.284	255.532	241.207	240.612	221.858	217.027	275.632	241.59	279.457	253.775	290.273	272.982	135.433	106.168	107.02	100.094	118.008	159.283	170.41299999999995	174.14700000000005	174.238	188.689	178.69400000000005	168.93	227.954	262.534	206.899	238.217	257.39	171.678	225.797	232.902	205.614	218.656	225.213	230.576	232.33900000000003	252.156	237.314	263.943	236.974	276.588	223.972	242.021	264.561	186.606	302.308	263.548	255.798	350.672	267.73	290.592	420.749	326.629	298.332	319.514	282.094	283.611	294.391	300.726	303.866	296.726	278.4	331.171	310.47	292.488	264.28	312.076	295.116	327.455	310.735	300.008
iso	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1112.83	0.0	0.0	1008.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2980.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
iso	0.0	6.59247	17.0885	0.0	0.0	0.0	83.2253	290.572	7.61228	5.596430000000002	22.4027	0.0	13.5555	6.24231	23.1993	0.0	0.0	0.0	0.0	6.10898	13.6131	5.61735	0.0	0.0	0.0	0.0	0.0	5.10098	0.0	0.0	4.04427	3.99485	0.0	5.80496	0.0	0.0	5.51986	10.6136	6.48536	36.086	0.0	0.0	6.64953	0.0	0.0	7.57677	5.31975	0.0	0.0	0.0	5.753819999999998	16.7227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2516	0.0	0.0	14.5702	4.1117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45951	0.0	0.0	0.0	0.0	0.0	0.0	13.3656	0.0	4.83821	0.0	5.38891	0.0	0.0	0.0	0.0	0.0	0.0	5.86537	0.0
iso	7.840089999999999	19.3303	26.928	15.9465	10.5231	10.85	47.5386	36.2557	36.8973	56.9317	20.7791	39.1564	36.097	33.2453	23.1376	32.1914	51.3497	26.3282	19.9263	29.9762	21.9946	17.8157	29.5126	37.9597	38.6487	23.0001	20.6991	31.4402	26.5833	29.6953	20.0869	21.5148	23.7573	40.6425	33.352	34.3973	61.4378	63.5123	67.139	57.944	49.3813	45.2308	43.7702	40.6313	42.4674	39.8989	48.7054	39.8172	22.8146	39.7423	39.5958	35.3578	31.2291	22.337	45.484	46.8655	46.0287	42.19600000000001	41.17100000000001	40.83	23.2474	16.8563	19.7836	17.5787	16.4252	21.1039	95.2054	79.2605	82.7953	99.8995	92.2199	87.72200000000002	52.6725	38.0199	41.5451	38.5839	27.9689	0.50666	39.2239	48.3897	35.9227	47.4728	43.7456	39.3418	12.8876	43.1979	53.8061	38.6559	46.3319	26.3929	80.0138	105.052	98.8189	80.9672	72.5619	83.9614	80.5852	80.0037	78.345	72.3213	77.958	96.1305	84.8244	79.5955	90.1564	85.9483	91.7362	77.9809	89.8356	89.1724	86.5015	87.0681	87.2151	67.7701	68.6286	82.1654	70.8358	76.4609	88.7995	67.6656
iso	0.5483399999999999	0.0	3.43296	1.4088	0.0	0.0	11.1462	9.93598	15.2925	0.374761	26.2532	2.73862	146.372	140.034	141.371	91.0599	235.107	80.5617	113.815	207.814	68.3694	107.582	194.629	213.81	295.7	189.819	209.832	228.178	198.804	190.24400000000003	4.60568	0.267612	0.7387630000000001	0.38887	0.40583	0.370255	3.3279400000000003	2.48849	0.868898	3.62606	0.762491	0.0	215.151	197.562	202.759	152.269	200.99	170.33599999999996	196.34	196.929	233.194	182.972	185.661	184.279	291.62	267.09	269.361	267.916	241.406	225.656	0.963515	0.281537	3.2705	0.0	0.967398	1.45331	4.37833	3.78774	2.0017400000000003	2.1036200000000003	0.466961	2.40896	269.208	234.189	294.331	284.538	250.037	56.6977	201.178	233.676	243.398	231.768	221.438	227.512	209.117	409.154	428.49	410.949	372.631	263.683	8.86065	4.9306800000000015	12.0707	9.08816	7.95259	5.79186	37.3597	61.5505	47.0964	35.9693	52.1166	96.1	367.328	395.66	385.289	388.977	380.902	400.968	407.098	437.707	403.254	422.93300000000005	430.166	440.042	351.231	399.935	382.709	437.914	315.7870000000001	454.915
iso	17.3813	8.39607	9.67275	8.931280000000003	4.66591	12.8289	19.2717	18.3722	113.107	42.7651	4.7553	52.0854	20.1415	10.6001	19.6975	12.6876	15.5491	26.2661	32.3958	15.5606	0.0	11.9236	4.06548	6.732480000000002	58.8994	48.4413	53.9877	47.6412	27.5987	34.2336	6.86763	13.5674	7.0226	9.85749	20.5748	4.69281	11.7167	36.0463	33.0386	30.6391	19.3284	14.1566	11.2917	11.6466	2.57503	6.43311	11.2919	6.7256300000000016	17.7028	13.1137	12.2133	2.36642	10.7549	10.3348	43.0239	26.867	25.9161	52.5581	42.893	33.9243	22.3972	10.709	7.97451	8.133189999999999	4.08863	4.60671	58.1574	52.0278	63.4513	55.2498	47.3657	47.7247	15.2967	44.5635	23.3243	32.8473	22.2945	64.6996	17.8377	18.5564	13.9643	26.4147	29.095	32.4121	88.2766	68.6472	36.3542	88.6	59.1177	86.86399999999998	108.755	211.817	148.155	91.2664	123.297	156.001	42.1657	70.9683	51.1361	33.1115	66.0537	70.4196	2.70948	0.0	35.6716	2.61176	2.43245	0.0	2.03615	0.0	2.81543	2.21462	0.0	2.78693	6.48595	10.6067	7.783530000000002	0.0	4.82085	7.232660000000001
iso	0.0	1.38304	2.39	0.0	0.0	1.05662	8.72992	3.89101	6.3879199999999985	0.0	19.387	0.0	0.355477	0.0	0.8111649999999999	1.56747	0.0	2.88445	2.18306	3.20401	4.2838400000000005	2.35693	1.00452	5.54501	0.501835	0.6299560000000001	0.5335850000000001	0.535067	0.568271	0.0	0.0	1.67616	1.15679	0.0	0.0	0.0	1.73702	0.556658	0.0	1.26175	1.79092	0.0	4.88252	5.03598	1.27251	2.3843	7.81222	0.8309049999999999	3.74925	9.18063	3.0177400000000003	8.18593	1.06295	0.0	0.966419	1.24471	2.13451	1.12925	2.01872	0.644788	2.00536	0.0	0.392705	0.0	0.503362	0.0	0.6509010000000001	1.97086	0.0	0.938199	0.0	0.470041	0.0	3.46505	2.6104700000000003	2.69595	2.74474	1.77007	1.75683	2.28453	5.5873300000000015	3.25199	2.98497	2.21685	1.55257	3.01833	2.48648	1.55825	1.74675	1.42587	1.46101	2.43903	3.04967	2.1569700000000003	1.31129	3.02419	2.01798	12.8553	3.97241	6.19779	0.8873610000000001	1.49785	0.691581	3.5929	4.55249	3.33319	1.86261	3.50497	1.55915	1.01501	1.43725	2.26108	1.04713	1.4227	0.0	1.62439	0.496676	1.6649599999999998	0.0	0.461525
iso	15.7472	24.0879	72.2976	31.0178	35.9315	38.7426	628.555	222.328	62.9477	327.176	239.106	288.374	67.7776	93.6346	78.8182	89.0843	105.654	107.085	84.04799999999999	132.753	104.716	143.675	104.052	73.1941	131.564	173.238	150.649	174.61	139.605	76.3447	29.5543	25.352	28.6306	27.9085	25.6306	21.258000000000006	249.455	348.004	274.381	378.209	111.634	190.247	67.7741	76.499	93.3172	85.9672	75.7042	74.643	98.522	83.1657	60.8577	72.8937	72.1035	79.5865	135.54	106.492	113.485	129.393	137.862	132.39600000000002	38.7382	11.3192	18.0619	31.9303	24.0775	30.2586	122.144	128.718	151.92700000000005	122.549	123.374	140.09	97.9997	83.9349	69.1575	107.877	87.8632	63.5014	92.1155	103.673	100.42	95.7252	90.0618	100.33	114.253	91.0685	71.3619	89.8261	97.4785	97.9344	20.2185	10.5009	6.75255	10.3479	25.4051	7.44015	64.5407	109.975	68.0619	133.07299999999998	132.623	120.224	108.467	116.016	108.001	150.066	119.143	131.93200000000002	98.7729	151.701	91.4924	143.936	138.14600000000002	120.755	114.041	134.876	139.3	136.709	127.146	170.31799999999996
iso	23.2148	21.9688	86.1273	32.4379	24.5995	31.0626	86.5514	157.746	189.686	113.846	42.0632	92.2124	92.1992	63.3372	48.8474	54.6278	51.7888	67.3593	64.1781	70.1883	71.7707	65.378	88.3554	57.3175	37.3585	34.0521	23.7826	37.549	26.6759	33.3204	43.2477	35.9636	33.1848	56.3013	39.1712	46.1838	159.236	112.706	141.284	126.835	110.961	99.5147	54.9014	51.1689	61.2428	35.047	54.2412	42.9444	45.6292	69.9061	60.3841	99.2548	57.2055	56.9083	43.9912	40.7237	33.8043	36.9461	41.3991	36.9939	49.3797	20.9111	25.2258	32.0803	34.729	41.2885	150.67600000000004	148.16899999999995	144.643	130.577	152.607	154.099	36.6111	37.0968	36.0215	34.3146	42.5758	9.26464	49.9474	55.0761	46.4228	49.5158	58.5169	34.5984	12.928	20.6811	17.0369	17.5477	17.454	16.5092	33.3169	56.0058	59.6924	54.5161	59.4936	53.6383	94.9123	94.9413	99.4838	103.859	100.334	99.6246	129.452	119.2	110.303	134.918	115.626	113.896	139.997	126.099	125.296	127.024	136.059	132.138	122.957	108.041	118.689	99.6653	142.64	100.642
iso	3.76004	3.02715	16.5654	5.36687	0.0	1.5418	9.26441	16.0868	26.7983	7.70936	6.85798	16.6925	5.7057699999999985	8.5991	8.28547	6.8616600000000005	16.0175	5.26117	8.494639999999999	14.0257	10.4182	11.1774	10.9934	8.09119	8.787239999999999	11.0307	7.78598	9.36914	24.0472	7.59552	3.70782	1.83126	6.74043	7.983060000000001	12.034	11.8237	10.1213	8.91976	14.8646	11.947	8.69615	3.3969400000000003	9.14452	14.6719	3.70734	3.4732199999999995	8.94152	8.47269	15.4744	7.0800800000000015	7.03354	12.7762	9.29044	4.95975	14.0779	9.06591	6.84057	8.22494	11.7627	15.0283	75.613	45.6894	40.2523	54.7377	52.3316	63.9455	234.46400000000003	207.785	194.781	227.363	203.862	236.766	107.151	93.02	74.9206	109.547	101.281	79.0528	107.402	103.701	93.772	109.522	133.748	125.3	220.52	159.993	128.888	140.707	177.33700000000005	202.525	24.5167	39.742	46.2802	42.1754	43.0516	37.5092	58.8922	71.6224	74.5262	55.0845	69.9204	62.2908	36.3292	45.4367	39.8575	40.8553	50.734	26.5948	55.3604	40.7299	46.1386	37.1175	52.7143	35.2916	48.3137	49.7758	37.6866	48.5897	43.9903	46.468
