	k_Hum-Chimp	k_Hum-Rhesus_Monkey	k_Rhesus_Monkey_Chimp
TSPAN6	-0.21415999395428997	-0.45379608011100103	0.23963608615671106
TNMD	-1.8638070931464235	0.9490623396136407	-2.8128694327600643
DPM1	0.17226682485289402	-0.03750899932031171	0.20977582417320573
SCYL3	-1.0898746929854628	-0.4853077289886869	-0.6045669639967759
C1orf112	0.40809374652733155	1.4621844000933435	-1.054090653566012
FGR	-1.0264694411683344	0.7655151964228204	-1.7919846375911548
CFH	-0.5031397044880697	-1.5095197675873138	1.006380063099244
FUCA2	0.3669193416225305	0.5701169145828331	-0.2031975729603026
GCLC	-1.4074356176564313	-0.1738777564110956	-1.2335578612453357
NFYA	-0.8766034488233201	-0.4769452569681194	-0.3996581918552007
STPG1	-0.5323722969160483	1.0027740852495453	-1.5351463821655935
NIPAL3	-0.36141432981394583	-0.8178502586367653	0.45643592882281947
LAS1L	0.5469851416176628	0.43621315790504145	0.11077198371262131
ENPP4	-0.8901487735559153	-0.7898686611456718	-0.10028011241024348
SEMA3F	0.6018872885515227	0.646195708410386	-0.044308419858863246
CFTR	6.823590205714354	5.427766019583772	1.3958241861305822
ANKIB1	-0.04337974174370807	-0.14593148320789773	0.10255174146418966
CYP51A1	0.02979460816279822	0.6702500500718269	-0.6404554419090287
KRIT1	0.0211447378008085	1.1039531607334645	-1.082808422932656
RAD52	-0.04856447885451631	0.16651541693765726	-0.21507989579217357
BAD	-0.18384684876445956	0.11323154524951562	-0.2970783940139752
LAP3	-1.918155814941116	-1.2830571300941447	-0.6350986848469713
AOC1	-0.048734256976461054	-1.5142059749138141	1.465471717937353
WNT16	-1.8397079694619292	-0.2536678902996542	-1.586040079162275
HECW1	-1.5462933790095832	-3.1029179432624243	1.5566245642528411
MAD1L1	-0.30582284826644823	0.11032200429392702	-0.41614485256037526
LASP1	-0.39379600745973065	-0.31330674629745214	-0.0804892611622785
SNX11	-0.054377461545039196	-1.0145494012987841	0.9601719397537449
TMEM176A	-0.5825548495804735	1.175223663936169	-1.7577785135166426
M6PR	-0.46570739452263776	-0.6515009812279944	0.18579358670535662
KLHL13	-1.1780121973197062	-1.1351522037685324	-0.04285999355117376
CYP26B1	2.2993944216539948	3.3031094473544194	-1.0037150257004246
ICA1	0.21618888046669138	1.1293515762963384	-0.913162695829647
DBNDD1	-1.4535812190651498	-0.972563312875236	-0.4810179061899138
ALS2	0.05008819421661315	-0.38388072773529824	0.4339689219519114
