ENSEMBL ID	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	-2.1476666796284483	-1.1990397633379506	-1.5616748122910056
ENSG00000000005	-inf	-2.1829607514197154	-0.35886711181967473
ENSG00000000419	-1.5574902141528562	-1.7733824973327723	-1.4432564782541442
ENSG00000000457	-2.0974963415453756	-1.3137582076240284	-1.4577320282829975
ENSG00000000460	-1.4530885537841725	-1.5617552073739185	-1.7562207280328281
ENSG00000000938	-1.7706022870412725	-1.3916614892847956	-1.6179945392087056
ENSG00000000971	-3.536026775730039	-2.9231531784187834	-0.3548466577210766
ENSG00000001036	-1.7056457524723536	-1.5449879623761302	-1.5116188678372418
ENSG00000001084	-1.9015707615965676	-1.196226542809901	-1.7566577896068878
ENSG00000001167	-1.9367304985191802	-1.1131784709196835	-1.854555637789819
ENSG00000001460	-0.4236050665500819	-2.146174820684934	-5.131379731751903
ENSG00000001461	-1.8078797803185644	-1.7748107009205225	-1.2441485087710635
ENSG00000001497	-1.5516779024151506	-1.7123655536683018	-1.4992893191506995
ENSG00000001561	-2.3188845138064016	-1.180290935690073	-1.4806991676193857
ENSG00000001617	-2.8527997490037187	-2.095279998952919	-0.6721975102050247
ENSG00000001626	-3.0176419822678486	-0.4589052593106483	-2.746798425412331
ENSG00000001629	-1.7363533111107827	-1.3014496583296553	-1.7653547945057853
ENSG00000001630	-1.6083684444637445	-1.4673944390846059	-1.6878175692446462
ENSG00000001631	-1.6056487938327928	-1.4231267489720687	-1.7441543000314528
ENSG00000002016	-1.5405191878293936	-1.650981545988237	-1.5656954030804522
ENSG00000002330	-1.4095251157473978	-1.5823239414152426	-1.787762396829195
ENSG00000002549	-1.9471607025629487	-1.1929418798645317	-1.721354320557048
ENSG00000002726	-inf	-5.0040619487027636	-0.04567284923024332
ENSG00000002745	-2.8536412561667044	-1.0685665339275419	-1.377590884488959
ENSG00000002746	-2.337771903485147	-2.1291291030234	-0.801911777562578
ENSG00000002822	-1.6062229911584136	-1.7174551209012756	-1.4443478735278976
ENSG00000002834	-2.104498905698619	-1.8028543366607455	-1.0563080830769909
ENSG00000002919	-1.9310727704407573	-2.081254896326101	-0.9958017507979148
ENSG00000002933	-2.042715792271689	-1.1644871663390173	-1.6842215940543888
ENSG00000003056	-2.278416078242575	-1.3331053614533466	-1.3329232214468456
ENSG00000003096	-2.0995349526530367	-1.5295708160444867	-1.2505561644274708
ENSG00000003137	-1.0053872500128744	-2.371420891986187	-1.69615075872896
ENSG00000003147	-0.865141874640967	-1.7605603374530072	-2.6815471483775934
ENSG00000003249	-1.5494619928495135	-1.9260417115288457	-1.3392999678772357
ENSG00000003393	-1.9399183646098899	-1.2691367983054915	-1.6238836241423644
ENSG00000003402	-0.8023382977477929	-2.1715343055009346	-2.289076189100764
ENSG00000003436	-2.9190453553333624	-2.7674414796194595	-0.4720875324415465
ENSG00000003509	-1.4632050336617444	-2.1561852528054173	-1.2759093024811532
ENSG00000003756	-1.5001475017023524	-1.4810475133173495	-1.7945867644139881
ENSG00000003987	-1.662310555061185	-1.6558541147591155	-1.4472592553174644
ENSG00000003989	-3.8001975222536686	-1.8489608642167685	-0.6201041801768226
ENSG00000004059	-1.357058084221254	-1.64275724310472	-1.78896973929367
ENSG00000004139	-2.200834518622832	-1.7665761757139706	-1.0333250092922388
ENSG00000004399	-2.409374838574909	-1.721895051295209	-0.9753616042551477
ENSG00000004455	-2.5694343869635117	-1.1984024613910373	-1.3372577267768928
ENSG00000004468	-5.214425247892357	-1.6200827449985344	-0.6264928787603274
ENSG00000004478	-1.709105211409702	-1.9966160002822588	-1.1727884022955524
ENSG00000004487	-1.6021290756711368	-1.5531562187935988	-1.6001366556532755
ENSG00000004534	-1.0636152479702503	-1.385728631398495	-2.848170531802689
ENSG00000004660	-1.9499945693911134	-1.8504171229573414	-1.108205630638452
ENSG00000004700	-1.7646255091809324	-1.3726272910673707	-1.646068774668762
ENSG00000004766	-1.7765839574543434	-1.7523233787325212	-1.2817267101111376
ENSG00000004776	-3.823616743819905	-2.0843451525781758	-0.5278888923614671
ENSG00000004777	-1.5746358730316952	-1.5707741178187564	-1.609797086395638
ENSG00000004779	-2.076426555573231	-1.9761251828780573	-0.9750352346013603
ENSG00000004799	-2.045260517724417	-0.6986938096185336	-2.820193306593736
ENSG00000004809			
ENSG00000004838	-1.5203387079187687	-1.5661770164058204	-1.6725708345959973
ENSG00000004846			
ENSG00000004848	-inf	-inf	0.0
ENSG00000004864	-2.1682107105024997	-1.644636596152335	-1.1275679880613845
ENSG00000004866	-1.4975269900538843	-1.2975507640606279	-2.064773901514949
ENSG00000004897	-1.7129209143602449	-1.3855181099988327	-1.6794292173112384
ENSG00000004939	-0.2697122440281092	-4.025915166622199	-3.1959108833791063
ENSG00000004948	-inf	-inf	0.0
ENSG00000004961	-1.910135313975807	-1.7964579349137426	-1.164716535367901
ENSG00000004975	-1.37543649116603	-1.5274077157450758	-1.9015060778593267
ENSG00000005001	-1.3978706658918907	-0.9853862612269897	-3.1150261874598195
