ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	-1.8197317021056976	-1.6053884457176373	-1.365577120581061
ENSG00000000005	-2.43564886869377	-0.45434289837415737	-3.551019610506203
ENSG00000000419	-1.5428230685185589	-1.7154008461769779	-1.5052511545334726
ENSG00000000457	-2.1815986237529637	-1.087666094315458	-1.6941032313550703
ENSG00000000460	-1.0741711738009585	-1.488176300415315	-2.568380915098003
ENSG00000000938	-1.8598741863860109	-0.8281477250255355	-2.6326489808655316
ENSG00000000971	-2.3972649783293596	-1.8934523726329304	-0.8862629014556654
ENSG00000001036	-1.2920799032686143	-1.6591435873797655	-1.8624383854998137
ENSG00000001084	-2.258014817981355	-0.8492727906007415	-2.0838988843991793
ENSG00000001167	-2.0808955160722626	-1.2027646752598626	-1.6030058205964235
ENSG00000001460	-1.5582503067780682	-1.0227832447666014	-2.5711381216534366
ENSG00000001461	-2.018040345781339	-1.6557501821146978	-1.1984803516197093
ENSG00000001497	-1.276683552885293	-1.8244847954984351	-1.713521625130956
ENSG00000001561	-2.196761676542669	-1.3056866308541988	-1.406044851412059
ENSG00000001617	-1.1999653779495765	-1.8023983184596997	-1.846756639477161
ENSG00000001626	-0.042924240102401326	-7.028384444595741	-5.529205065773812
ENSG00000001629	-1.6494593294583968	-1.6060201532164313	-1.503334821177497
ENSG00000001630	-1.3827623022733055	-1.412578849952708	-2.053634230996135
ENSG00000001631	-1.2928637638745182	-1.3140298724189396	-2.3984816196512457
ENSG00000002016	-1.5482079194533207	-1.4992021151753272	-1.7163556365993236
ENSG00000002330	-1.6137453091136715	-1.4298137770432575	-1.7270346457203452
ENSG00000002549	-2.8508966432802634	-0.9323508520009516	-1.5675271258969445
ENSG00000002726	-2.2901208977535257	-2.2413816181309087	-0.7758166514380099
ENSG00000002745	-2.6739059828389045	-0.6218353351650675	-2.3699340850084716
ENSG00000002746	-3.6519254495370603	-2.099868173367591	-0.5412680894711936
ENSG00000002822	-1.6613388543401	-1.3545080504437543	-1.7720804026351096
ENSG00000002834	-1.8305631571683258	-1.4365438468212877	-1.5170739291172726
ENSG00000002919	-2.0218528481824336	-1.9673560549905376	-1.0056750919016542
ENSG00000002933	-1.5559671513593376	-0.9733626587557573	-2.731378853176676
ENSG00000003056	-1.9826742429976023	-1.5167769432884477	-1.3309231322224802
ENSG00000003096	-2.4500980838386814	-1.270297091912385	-1.313199778788709
ENSG00000003137	-0.3820957947805611	-2.68559334069908	-3.6945007888956267
