ENSEMBL ID	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	-1.1524076711980982	-1.4987885212910748	-2.349046003201993
ENSG00000000005	-0.9834492190310661	-3.0793889697705326	-1.4114885852925878
ENSG00000000419	-1.5051270617141856	-1.4311960932131693	-1.8526802056453997
ENSG00000000457	-2.321074263607118	-1.1885217577444225	-1.4694121958471862
ENSG00000000460	-1.6314536496745602	-1.349270031406713	-1.8122495782887986
ENSG00000000938	-0.8574641817752223	-1.9057368153659553	-2.4643597261992456
ENSG00000000971	-0.7903107641334197	-2.5919312975212243	-1.9662524923963778
ENSG00000001036	-0.781894155076143	-1.92050165876043	-2.6968009728928077
ENSG00000001084	-1.724550451562581	-1.0009334603060067	-2.3383918565885327
ENSG00000001167	-1.9785302322617526	-1.2004161222086283	-1.684540424448269
ENSG00000001460	-0.35805497188339325	-3.375568093798947	-3.018188015759489
ENSG00000001461	-1.6305297535526913	-0.9563333214968686	-2.628917755312852
ENSG00000001497	-1.4238649483811519	-1.7470812301309715	-1.6021591717436234
ENSG00000001561	-2.1527899800957013	-1.1891357390014656	-1.5710764649122095
ENSG00000001617	-1.5314532881580747	-1.4338528012625198	-1.8163918421547427
ENSG00000001626	0.0	-inf	-inf
ENSG00000001629	-2.1125361566903975	-1.3248345791864298	-1.4361004187283195
ENSG00000001630	-1.7004266441457276	-1.0977912765176359	-2.151531004314789
ENSG00000001631	-1.7780324173679058	-1.3742090808075804	-1.6319353722151215
ENSG00000002016	-2.4916978896206903	-0.9079858400406953	-1.7894889568153856
ENSG00000002330	-1.7812129400268257	-1.162871463402528	-1.9299481889679002
ENSG00000002549	-2.6041717304284218	-0.5677181030021382	-2.6361702063676917
ENSG00000002726	-3.073165844581232	-2.3370083466605815	-0.5494914181414431
ENSG00000002745	-1.6034474556249625	-2.1451457097613233	-1.168646947915852
ENSG00000002746	-1.8007620229087087	-2.830254672701405	-0.8049811278026681
ENSG00000002822	-1.1175430220585496	-1.2985138245691368	-2.915095779984072
ENSG00000002834	-1.3962505458145646	-1.8629134398658813	-1.5346450987777784
ENSG00000002919	-2.4150867014516733	-1.7498393406048398	-0.9568752938748236
ENSG00000002933	-1.3381643817372075	-1.1720211647425238	-2.637762327547038
ENSG00000003056	-1.9091463481652262	-1.2392566249786912	-1.688919658486583
ENSG00000003096	-1.5285720108665362	-2.318589230971869	-1.1426835862638312
ENSG00000003137	-2.9270805178246233	-1.8955130357913448	-0.73758701219412
ENSG00000003147	-2.0568302700656513	-2.40709471749433	-0.8081307462129388
ENSG00000003249	-2.2815786005357728	-1.1512934668861747	-1.539074972340454
ENSG00000003393	-2.5207741375993176	-0.9903617118605278	-1.633080788309075
ENSG00000003402	-1.748698437809528	-0.7092962208264407	-3.46098190021163
ENSG00000003436	-2.4125086342636712	-0.42537051233193063	-3.8884647805039734
ENSG00000003509	-1.370312742921516	-1.8815795070793313	-1.5487496092120585
ENSG00000003756	-1.5781899194281257	-1.5646451188314625	-1.6124727560799552
ENSG00000003987	-1.6270384752758502	-2.1769008186088135	-1.1357522031066378
ENSG00000003989	-1.7225105273393804	-1.2627727084002187	-1.83528172853624
ENSG00000004059	-1.3425963924982118	-1.4339252155382973	-2.0857899931916877
ENSG00000004139	-1.2356784861149914	-2.5052508876722888	-1.3247340093411757
ENSG00000004399	-1.4448256066057767	-1.6586543510375238	-1.6623277169805464
