ENSEMBL ID	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	-1.7041888193279369	-1.2770736501780753	-1.834057923060219
ENSG00000000005	-2.5171985702651476	-3.9016446459413796	-0.39895267439778614
ENSG00000000419	-1.43901996161905	-1.4331015522973491	-1.9387167412551045
ENSG00000000457	-1.9802063903370501	-1.392536027629067	-1.4514579068665217
ENSG00000000460	-1.6655188998198873	-1.4493445292604654	-1.6502665562634253
ENSG00000000938	-1.302530470602145	-1.4319301947251846	-2.1587460632765736
ENSG00000000971	-2.1367985053162566	-3.4861232416825736	-0.5492536714372478
ENSG00000001036	-1.3068197540592756	-1.27047505118637	-2.4638212480219437
ENSG00000001084	-1.7383832893623747	-1.2078320693777127	-1.9030582037867176
ENSG00000001167	-1.8494984447325298	-1.1514659318570606	-1.876500137145653
ENSG00000001460	-0.643844589854982	-1.546711013782136	-5.819671341643865
ENSG00000001461	-1.474647618895883	-1.3566483039591002	-2.001788307955162
ENSG00000001497	-1.6481143006592291	-1.787397530387849	-1.3538412729871656
ENSG00000001561	-1.396469539829066	-1.2930590561865407	-2.2374717928183396
ENSG00000001617	-1.5173319108970849	-0.9821099131370467	-2.79155964632511
ENSG00000001626	-1.2680649909918524	-2.2232149378274455	-1.4319869157326215
ENSG00000001629	-1.4844348105556326	-1.3300244390401041	-2.0300300264025837
ENSG00000001630	-1.3673296800702368	-1.5662053985943274	-1.8640893436579513
ENSG00000001631	-1.4520195892067476	-1.3317440442899118	-2.0758063110510565
ENSG00000002016	-1.3855435173691946	-1.5930906944032526	-1.8069518599562733
ENSG00000002330	-1.2407976403901135	-1.718113494428969	-1.8734740500175058
ENSG00000002549	-1.839809803857729	-1.1951482178352113	-1.8165461974438513
ENSG00000002726	-5.058461997789942	-4.4079136766159825	-0.1157787918790835
ENSG00000002745	-2.1401139450773186	-1.3158868539570094	-1.4287226665541684
ENSG00000002746	-1.7218975906411063	-1.5565588268382682	-1.4864515557155322
ENSG00000002822	-1.3444733075141457	-1.855398531494653	-1.6001356591423908
ENSG00000002834	-1.5290566554517282	-1.8148536927876064	-1.4372791104538458
ENSG00000002919	-1.669372757870054	-1.7096476721647744	-1.3964022881031504
ENSG00000002933	-1.915996371036712	-1.3142428647266347	-1.5869490715412264
ENSG00000003056	-1.7650793190394225	-1.361787697311799	-1.658858381545396
ENSG00000003096	-1.4329970164296182	-1.7415147996390556	-1.5969121742181427
ENSG00000003137	-1.125588104993896	-1.4802838838418	-2.447984468068082
ENSG00000003147	-1.2222229282169714	-1.4959982753940326	-2.205278649689266
ENSG00000003249	-1.257039611488652	-2.097973341034138	-1.5227901557663257
ENSG00000003393	-1.6649271732903677	-1.7022764341730354	-1.4060672609239653
ENSG00000003402	-1.499106716943257	-1.5110761069053817	-1.759364706579743
ENSG00000003436	-1.781068670883907	-2.197077908208107	-1.026342244394631
ENSG00000003509	-1.131170705658787	-2.2350076315186307	-1.5949453271254472
ENSG00000003756	-1.6062322963856117	-1.433958294434048	-1.7301004900025048
ENSG00000003987	-1.6758920927253038	-1.6655288913320925	-1.4274063343583259
ENSG00000003989	-3.1822076227181433	-0.9352801762613845	-1.4465807753123696
ENSG00000004059	-1.4781182885368358	-1.7687565946567727	-1.5245757482132292
ENSG00000004139	-2.004879066580246	-1.8194769098239443	-1.0968988699212112
ENSG00000004399	-1.2958560184792602	-1.620014502272495	-1.903072265067585
ENSG00000004455	-2.573740221934004	-1.0734982044196257	-1.486544039058496
ENSG00000004468	-2.59638930317905	-1.335731230526737	-1.189492773072445
ENSG00000004478	-1.7566202501867376	-1.4301267572431513	-1.5865745859816203
ENSG00000004487	-1.7299359554710116	-1.4257988733139204	-1.615634227513833
ENSG00000004534	-1.2169871926983344	-1.245279107978813	-2.7563934687951672
ENSG00000004660	-2.0888347591640737	-1.6497767830869237	-1.1641080436808333
ENSG00000004700	-1.6848737362002055	-1.1376685138364653	-2.092485420432949
ENSG00000004766	-1.53576221148575	-1.5148895806182128	-1.7122691893254103
ENSG00000004776	-2.2241639905588353	-2.2271175840470496	-0.8049240030735838
ENSG00000004777	-1.713610688968511	-1.6913909272026066	-1.3752881840887374
ENSG00000004779	-2.0087157059923864	-1.9684149101407937	-1.0116690361723886
ENSG00000004799	-1.603198827646846	-0.8098840653605214	-3.3157961441709034
ENSG00000004809	-2.034250302493176	-0.8509206585063914	-2.311617900201667
ENSG00000004838	-1.5616905372474545	-1.7000926163108787	-1.50030050760232
ENSG00000004846	-inf	-inf	0.0
ENSG00000004848	-1.5287890817192809	-2.485317167987683	-1.0744657733182716
ENSG00000004864	-1.8692669657506262	-1.3557118682226164	-1.575419401228654
ENSG00000004866	-1.5799249884753523	-1.3360919689484914	-1.8921323762020592
ENSG00000004897	-1.487530106191929	-1.4000085444715569	-1.918930183273636
ENSG00000004939	-0.8738789294975273	-inf	-1.138212068699148
ENSG00000004948	-2.026591227981184	-2.183159672174172	-0.9040817066227769
ENSG00000004961	-1.5571179262041812	-1.5545869347843975	-1.6450074952454563
ENSG00000004975	-1.5218938626125162	-1.5450581313867906	-1.6939028941443852
ENSG00000005001	-inf	-inf	0.0
ENSG00000005007	-1.9002248704383369	-1.5476435519312848	-1.3583427607994976
ENSG00000005020	-1.3085167859822493	-1.4983651551819985	-2.045074157933588
ENSG00000005022	-1.4415752023983264	-1.6726271132627566	-1.6522061055897168
ENSG00000005059	-2.182085837236923	-1.1848994185410184	-1.5572937478166633
ENSG00000005073			
ENSG00000005075	-3.272374876326707	-1.7510459135192329	-0.738362698497649
ENSG00000005100	-1.7388108112395506	-1.3785740572688896	-1.6629867464537467
ENSG00000005102	-inf	-inf	0.0
