ENSEMBL ID	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	-1.669586094508708	-1.3160132160056452	-1.8159702850554902
ENSG00000000005	-3.672127742838994	-2.441581358137127	-0.4393424023294776
ENSG00000000419	-1.5310625763751469	-1.618648821735555	-1.6067495498110815
ENSG00000000457	-2.5991784882431945	-1.4700153813091115	-1.0770741711437468
ENSG00000000460	-1.4034261930055756	-1.7964534941116337	-1.5816986849309926
ENSG00000000938	-1.3513341940217782	-1.2437936380863288	-2.4281020206993884
ENSG00000000971	-2.238952196536461	-3.8136421268902936	-0.4798706580201386
ENSG00000001036	-1.1918652801902951	-1.637388955589623	-2.05393836136654
ENSG00000001084	-1.6944471614768555	-1.2745380047557566	-1.848559598188553
ENSG00000001167	-1.6151153314031554	-1.268413332645942	-1.9520703220946074
ENSG00000001460	-0.8547961343137244	-1.2761885211156643	-4.8710555642062445
ENSG00000001461	-1.5743633565615294	-1.5882477519295994	-1.5923379823347088
ENSG00000001497	-1.710189963666544	-1.860296639115972	-1.2551137524111
ENSG00000001561	-1.3755650077242145	-1.399662703450359	-2.0857078751793354
ENSG00000001617	-2.1560569634807316	-0.8634712530380196	-2.1455872180561157
ENSG00000001626	-1.160326407219697	-1.6812118001938994	-2.05428389429093
ENSG00000001629	-1.3610182706840852	-1.5864170779181783	-1.8484260584020766
ENSG00000001630	-1.5757227230301625	-1.4509332996351638	-1.743036429632759
ENSG00000001631	-1.670574311527576	-1.2906547386354266	-1.8514888279466015
ENSG00000002016	-1.3666820183908956	-1.6681006142642623	-1.7487931241868224
ENSG00000002330	-1.1427364252329333	-1.318216237712347	-2.775270137753233
ENSG00000002549	-1.7448654436230102	-1.1639807628744274	-1.9694023084115508
ENSG00000002726	-inf	0.0	-inf
ENSG00000002745	-3.182264951585968	-1.6162411249501278	-0.8271259442123936
ENSG00000002746	-2.428034907252655	-1.5840920855586966	-1.0569500043424997
ENSG00000002822	-1.406149638540141	-1.6605326628134167	-1.7066986940492226
ENSG00000002834	-1.9894580171252503	-1.7883719703101189	-1.124477923226092
ENSG00000002919	-1.9590649914495686	-1.738041333084807	-1.1745285200872002
ENSG00000002933	-1.5048966957574952	-1.4598405706631559	-1.815471976932191
ENSG00000003056	-2.1000733227024626	-1.380909286747294	-1.385424339750951
ENSG00000003096	-1.957246839054139	-1.841125587644441	-1.109742801781531
ENSG00000003137	-1.6879312228338126	-1.3505519646961541	-1.7491046626605178
ENSG00000003147	-1.4640751646153731	-1.45319926000079	-1.8766170611166904
ENSG00000003249	-1.3597440718936902	-2.1196448484254113	-1.3949986544461903
ENSG00000003393	-2.319448945672227	-1.610809440724402	-1.0824035043877138
ENSG00000003402	-1.2611077334971514	-1.8024014625619882	-1.7559432381244193
