	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	-0.5573141053717586	0.39131281091873915	0.028677761965684275
TNMD	-inf	-3.9004638085603216	-2.076370168960281
DPM1	-0.5401401653953863	-0.7560324485753026	-0.4259064294966744
SCYL3	-0.507320300751266	0.2764178331700812	0.13244401251111215
C1orf112	2.1354462499632034	2.026779596373457	1.832314075714548
FGR	-1.1601721856500777	-0.7812313878936007	-1.0075644378175108
CFH	-1.8863625596391798	-1.2734889623279246	1.2948175583697827
FUCA2	0.8087548401438226	0.9694126302400461	1.0027817247789348
GCLC	0.2456830118124865	0.9510272305991532	0.39059598380216637
NFYA	0.43070598081481687	1.254258008414314	0.5128808415441783
STPG1	4.75770695141409	3.0351371972792385	0.04993228621226874
NIPAL3	4.709974690288096	4.743043769686138	5.273705961835597
LAS1L	2.015336164217227	1.854648512964076	2.067724747481678
ENPP4	-1.0147666250629144	0.12382695305341432	-0.17658127887589822
SEMA3F	-1.4850685546170592	-0.7275488045662598	0.6955336841816346
CFTR	-4.0769747991013014	-1.5182380761441008	-3.806131242245783
ANKIB1	1.0268741057998736	1.461777758581001	0.9978726224048711
CYP51A1	1.7367373141617077	1.8777113195408464	1.6572881893808058
KRIT1	0.49013709538069183	0.6726591402414159	0.351631589182032
RAD52	0.48499923487422064	0.3745368767153771	0.45982301962316213
BAD	0.08274982787937644	-0.09004899778846834	-0.29548745320242065
LAP3	-2.055613906762034	-1.301395084063617	-1.8298075247561336
AOC1	-inf	-4.873635778825369	0.08475332064715171
WNT16	1.012228662753575	2.7973033849927376	2.488279034431321
HECW1	3.759619455599068	3.968262256060816	5.295479581521637
MAD1L1	0.8086532257537324	0.6974210960108705	0.9705283433842483
LASP1	0.8057106247060337	1.1073551937439077	1.853901447327662
SNX11	-0.14875920803876613	-0.2989413339241099	0.7865118116040762
TMEM176A	-0.06855870018935922	0.8096699257433124	0.2899354980279409
M6PR	-0.4054932462031969	0.539817470586032	0.5399996105925327
KLHL13	0.5880873260117326	1.1580514626202825	1.4370661142372982
CYP26B1	3.357260035025004	1.991226393051691	2.666496526308918
ICA1	3.1114444797874374	2.2160260169753974	1.2950392060508111
DBNDD1	-0.9114994326932031	-1.2880791513725351	-0.7013374077209253
ALS2	2.4122932821584313	3.0830748484628296	2.7283280226259565
CFLAR	-0.9858641389426277	-2.3550601466957692	-2.472602030295599
TFPI	-4.700480660101429	-4.548876784387526	-2.2535228372096134
NDUFAF7	0.31205553970655486	-0.3809246794371183	0.4993512708871459
