	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	3.1801639512772555	3.3945072076653156	3.634318532801892
TNMD	-3.172679814010277	-1.1913738436906647	-4.28805055582271
DPM1	-0.11273353793993394	-0.28531131559835277	-0.07516162395484757
SCYL3	-0.5107685209164073	0.5831640085210984	-0.02327312851851385
C1orf112	1.5979071518343735	1.183902025220017	0.10369741053732882
FGR	-0.01325097738806363	1.0184754839724115	-0.7860257718675844
CFH	0.6389711748403817	1.142783780536811	2.149973251714076
FUCA2	3.6696052037477527	3.302541519636602	3.099246721516553
GCLC	1.1203244552670797	2.529066482647693	1.2944403888492555
NFYA	0.47692523563968786	1.355056076452088	0.9548149311155271
STPG1	3.1796506532430726	3.71511771525454	2.166762838367704
NIPAL3	2.5057133837250354	2.8680035473916767	3.325273377886665
LAS1L	1.331777958592432	0.7839767159792896	0.8949398863467689
ENPP4	-0.4021286315285749	0.48894641415989537	0.3885881936020353
SEMA3F	2.1634748676061886	1.5610419270960656	1.516683606078604
CFTR	5.566794898259594	-1.4186653062337453	0.08051407258818266
ANKIB1	1.2956836439210602	1.3391228201630259	1.44180815220196
CYP51A1	2.0715371782444136	2.0417206305650115	1.4006652495215843
KRIT1	0.8001735739215287	0.779007465377107	-0.30544428185519895
RAD52	0.006210838010842433	0.05521664228883594	-0.1619368791351607
BAD	0.5793427830776173	0.7632743151480315	0.46605344647094404
LAP3	-0.2462325679604926	1.6723132233188192	1.0371369494228262
AOC1	9.204931651677402	9.253670931300018	10.719235897992919
WNT16	-0.5833057936399065	1.4687648540339304	-0.27933389580947354
HECW1	3.108590044730842	4.660647320900312	6.219247404796708
MAD1L1	0.35051207332856343	0.6573428772249092	0.239770525033554
LASP1	1.882454800134802	2.2764741104818405	2.1959440281858558
SNX11	0.24046584693894277	0.29496264013083917	1.2566436032197223
TMEM176A	5.510026253943099	6.092630746546679	4.33461455212576
