	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.432554829523058	0.08617397943008136	-0.7640835024808369
TNMD	0.6015132816900901	-1.4944264690493765	0.1734739154285685
DPM1	0.07983543900697056	0.15376640750798676	-0.26771770492424346
SCYL3	-0.7361117628859617	0.3964407429767336	0.11555030487396999
C1orf112	-0.04649114895340415	0.23569246931444318	-0.22728707756764238
FGR	0.7274983189459336	-0.320774314644799	-0.8793972254780894
CFH	0.7946517365877367	-1.0069687968000678	-0.3812899916752217
FUCA2	0.8030683456450131	-0.335539158039274	-1.1118384721716514
GCLC	-0.13958795084142475	0.5840290404151494	-0.7534293558673768
NFYA	-0.3935677315405966	0.3845463785125279	-0.0995779237271128
STPG1	1.226907528837763	-1.7906055930777909	-1.4332255150383326
NIPAL3	-0.04556725283153483	0.6286291792242877	-1.0439552545916957
LAS1L	0.161097552340004	-0.1621187294098156	-0.017196671022467254
ENPP4	-0.5678274793745451	0.39582676171969056	0.01388603580894662
SEMA3F	0.053509212563081394	0.1511096994586363	-0.23142934143358657
CFTR	1.584962500721156	-inf	-inf
ANKIB1	-0.5275736559692413	0.26012792153472625	0.14886208199283674
CYP51A1	-0.11546414342457155	0.48717122420352044	-0.5665685035936325
KRIT1	-0.19306991664674986	0.2107534199135758	-0.04697287149396524
RAD52	-0.9067353888995341	0.6769766606804609	-0.20452645609422934
BAD	-0.19625043930566968	0.4220910373186284	-0.34498568824674386
LAP3	-1.0192092297072657	1.0172443977190182	-1.0512077056465352
AOC1	-1.488203343860076	-0.7520458459394254	1.035471082579713
WNT16	-0.01848495490380633	-0.560183209040167	0.4163155528053041
HECW1	-0.2157995221875527	-1.2452921719802486	0.779981372918488
MAD1L1	0.46741947866260697	0.2864486761520193	-1.3301332792629157
LASP1	0.18871195490659148	-0.27795093914472535	0.05031740194337755
SNX11	-0.8301242007305172	-0.1648768398836838	0.6280872068463325
TMEM176A	0.24679811898394852	0.41294133597863253	-1.0527998268258814
M6PR	-0.3241838474440699	0.345705875742465	-0.10395715776542692
KLHL13	0.056390489854619766	-0.7336267302507127	0.4422789144573251
CYP26B1	-1.3421180171034675	-0.31055053507018887	0.847375488527036
ICA1	-0.4718677693444952	-0.8221322167731733	0.7768317545082176
DBNDD1	-0.6966160998146168	0.43366903383498123	0.045887528380701925
ALS2	-0.9358116368781614	0.5946007888606283	-0.04811828758791888
CFLAR	-0.16373593708837175	0.8756662798947155	-1.8760193994904737
TFPI	-0.827546133542515	1.1595919883892256	-2.303502279782817
NDUFAF7	0.21464975779964007	-0.29661700635817495	0.036212891509097726
RBM5	0.0067725812930307045	0.02031738188969396	-0.02751025535879906
MTMR7	-0.042075974554694	-0.5919383178876572	0.4492102976145184
SLC7A2	-0.13754802661822393	0.3221897923209376	-0.2503192278150842
ARF5	0.2423661082229444	0.15103728518285897	-0.5008274924705313
SARM1	0.3492840146061646	-0.9202883869511327	0.2602284913799806
PLXND1	0.14013689411537944	-0.07369185031636763	-0.07736521625939037
AK2	-1.8476844172430216	1.1540130596353961	-1.0091419366069723
CD38	0.05528854422046924	-0.2802294115670569	0.1858323473931892
FKBP4	-0.23617707812063873	0.34561356712739755	-0.18390548553669545
KDM1A	0.04413973425064682	0.04776264157811089	-0.09654339270802124
RBM6	0.28487184937754645	0.4630839258248933	-1.3103873069071346
CAMKK1	0.021344530202634906	0.5742471051080805	-1.0110213033280493
RECQL	-0.46909119331303106	0.7579483528957479	-0.7698057623248001
CCDC132	-0.6543636817715651	0.1425046110563044	0.33436757023611263
HSPB6	0.23640596798357388	-0.12401893055790848	-0.14509804818944733
ARHGAP33	0.5286912819166496	0.1377143029841098	-1.1290417115912035
NDUFAB1	-0.33115024590058884	-0.1959057017900602	0.41367302137374096
PDK4	0.18095350215259742	0.6712480916341548	-1.86818872766135
SLC22A16	-inf	0.12914236885912914	0.9308180310939579
ZMYND10	0.20142524054892924	0.017492779102538585	-0.25503396513236665
ABCB5	1.3412204271294281	-1.1005322743654298	-inf
ARX	-1.910102662796485	-0.06561362756883944	0.8305697788950123
SLC25A13	0.4637455235014378	0.37413836700806696	-1.6223005171243021
ST7	0.09869266032432646	-0.3673120633265386	0.20660798569294422
CDC27	-0.457271041476457	0.5670324614965278	-0.33977567902074485
SLC4A1	1.5288860976433245	-5.936171396601879	-3.350505605182902
CALCR	0.21934490935053694	-0.46377925509669415	0.15148324746586225
HCCS	0.1794316826636188	-0.22857090540747882	0.02017487547099946
DVL2	-0.10901109898328533	-0.06730783648304846	0.16138369146695858
PRSS22	1.584962500721156	-inf	-inf
UPF1	-0.42047362306358393	0.2492436215707405	0.0898193435719951
SKAP2	-0.6346331915570013	0.49442218473165445	-0.07835189440230324
SLC25A5	0.9634176841449564	-0.604200848067701	-1.3501891822399938
CCDC109B	0.34777758279170135	-0.4474416110896372	-0.008596448736803989
HOXA11	-0.2673281464885031	-0.530292537747042	0.5624049238338226
POLR2J	-0.33363382466731867	-0.3439565040191384	0.5044547670859919
DHX33	-0.7092938179682905	0.8139148395340761	-0.6656486453530649
MEOX1	0.790279147736403	-0.5473060815567387	-0.770303225155356
THSD7A	-0.049806818051126134	0.02906089274543633	0.01946935009896962
LIG3	-0.12059742277207103	0.4697064353539	-0.5241562471396665
RPAP3	-0.5101150556499342	0.23667036783922296	0.16293623028624318
ACSM3	-0.5800340448554591	-0.37879237638819035	0.6433675940712754
AC004381.6	-1.3082299387180636	0.01570572247199571	0.6646995720439131
CIAPIN1	0.16696277992917427	-0.03815328473925757	-0.14655239295065645
SPPL2B	-0.3145257708250044	-0.15435983822143534	0.3755719081330769
FAM214B	-0.7406539332892276	0.31626371598484465	0.20967814810831162
COPZ2	0.22136793512701425	-0.5941189039283602	0.2286187505346186
PRKAR2B	1.1028915172248195	-0.771930171470818	-1.9076889850982883
MSL3	-0.4855477988432764	0.8056106793114427	-0.8946204727286577
CREBBP	-0.2180204512586263	0.35221724912487834	-0.21133980917002834
BZRAP1	0.9139123648661853	-0.6837144405269832	-1.0194874484330816
MPO	-1.992687390517331	1.4062376855490224	-3.346973867075959
PON1	1.584962500721156	-inf	-inf
GCFC2	-0.29634721043825574	0.8152776546128985	-1.2308996952986995
WDR54	-0.5598005830738881	-0.6551676670253006	0.7541198978407984
CROT	-0.32609571096288725	0.20197043891362365	0.07318867903574716
ABCB4	0.6992365341946859	-0.6540789987867276	-0.4327006450164449
KMT2E	-0.3376795735538587	0.3070807243131997	-0.0417359844668131
RHBDD2	0.5420001949474512	-0.7354430734999999	-0.08409409315316388
SOX8	0.24057896854807376	-0.012680077128562806	-0.27354550760462254
IBTK	-0.3372316846912739	0.005996509081409697	0.2681662496554645
MYCBP2	-0.36581023865095397	0.10106242529126674	0.2033941961471487
FBXL3	-0.39672278394049976	0.3734675938687393	-0.08168184211202949
ITGAL	0.07183277769796985	0.5071110560884386	-0.9220802980642292
PDK2	0.27321582506758296	0.07229930582176398	-0.4341876654912736
ITGA3	0.40042007703030197	-0.08365934551286872	-0.44134682359835253
ZFX	-0.6056460595805037	0.6125954239919268	-0.29722626202982694
LAMP2	-0.2549618387002243	0.5231808406970889	-0.4642050330193571
ITGA2B	-0.20459079798523236	0.7588180317284794	-1.18405916199409
ASB4	-0.20440118459886744	-0.012831364904100303	0.1902428286618654
GDE1	-0.2764743019150591	0.22770741367802008	0.0049272226834711315
C19orf60	0.29810820731458443	-0.3001906204562747	-0.061414844000464965
CRLF1	0.2185014624977564	0.6169657642030594	-1.723423118450317
OSBPL7	0.27751427901471193	0.3954701658276535	-1.081540566438048
TMEM98	0.7298828165803029	0.06217208751385076	-1.7492364324803316
YBX2	1.0103110962724526	-0.9006357669338315	-1.1519904182174863
KRT33A			
MAP3K14	-0.9777035039986584	0.19004684114644366	0.43446740815954177
ABCC8	0.07467782317763326	0.7731819590777167	-2.0719418772216605
CACNG3	-0.06566377777468775	0.6133701118181113	-0.9582924164605564
TMEM132A	-0.702424941676729	0.22194395043503298	0.28588457100445497
AP2B1	-0.2438272621952717	0.43206986583585244	-0.31055745427657483
TAC1	-inf	1.584962500721156	-inf
ZNF263	-0.12181024101508332	-0.1420330319217059	0.23232313202768512
CX3CL1	0.6895045425048404	0.47224904756926495	-inf
SPATA20	0.6030761907479766	-0.12692312934528988	-0.8229991569924461
CACNA1G	-0.2678772483691277	-0.2813987064962724	0.4293924931629891
TNFRSF12A	-0.4456573593579926	0.8019618977204666	-0.9371049523354373
DLX6	-inf	1.584962500721156	-inf
MAP3K9	-1.2325263502816424	0.8009358468641522	-0.2650020894795552
RALA	-0.3026666806943979	-0.0029029663989631415	0.25248559503561857
BAIAP2L1	0.6244592950241104	0.48580234805870404	-4.1077382844360475
KDM7A	-1.2908284665582654	0.7829902256951765	-0.1999344146235457
ETV1	-0.4775503755060282	-0.24347222013095082	0.52315453074714
AGK	0.06630256502850215	0.17653266375199034	-0.28137622734153694
TTC22	1.077792512243128	-inf	-0.1694263744922408
PHTF2	-1.0702211537729611	-0.2676451682448515	0.7596498946127557
CCL26	1.1030565855534884	-0.23123247943725533	-inf
FARP2	-0.2916105800616075	0.5701331210160654	-0.5179779185051997
USH1C	-0.34100293976878726	-0.25604072720114224	0.45746283241202085
GGCT	0.15395356790492465	-0.7008335794042284	0.34729039649378224
DBF4	-0.33072484484259995	0.8236736078959294	-1.2010584680041205
