	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.5509310318319032	0.978046200981765	0.42106192809962123
TNMD	-2.726170134682052	-4.110616210358284	-0.6079242388146905
DPM1	-0.3472747663850823	-0.3413563570633816	-0.8469715460211372
SCYL3	-0.9293756111080825	-0.34170524840009947	-0.4006271276375541
C1orf112	0.8610820967811463	1.0772564673405678	0.8763344403376081
FGR	0.09765358224122866	-0.03174614188181079	-0.7585620104331997
CFH	-0.4988184279286963	-1.8481431642950135	1.0887264059503128
FUCA2	1.2245477925619581	1.2608924954348637	0.06754629859929012
GCLC	1.1835043959039824	1.7140556158886444	1.0188294814796395
NFYA	0.40017723071850286	1.098209743593972	0.37317553830537975
STPG1	5.122252841539559	4.219386417612405	-0.05357391024932371
NIPAL3	4.238118288772449	4.356117603709231	3.7109775997131695
LAS1L	1.327464432347372	1.1881812026187524	1.6217374600194354
ENPP4	0.42360713240711095	0.5270176160496363	-0.4173951205821626
SEMA3F	-1.3798338948855935	-0.8446118971255553	-2.6540616303136186
CFTR	-1.882194287082445	-2.837344233918038	-2.0461162118232137
ANKIB1	1.441423085168423	1.5958334566839514	0.8958278693214721
CYP51A1	2.7128720445105703	2.5139963259864797	2.2161123809228562
KRIT1	0.6961542677711314	0.8164298126879672	0.07236754592682233
RAD52	0.32704710705990747	0.11949993002584945	-0.09436123552717122
BAD	1.025915959408035	0.5486001053691792	0.3932395497806424
LAP3	-1.543067075819162	-0.8984054897966449	-1.519803469405284
AOC1	-5.137778977428097	-4.4872306562541375	-0.1950957715172388
WNT16	2.8926165716473777	3.716843662767687	3.604007850170528
HECW1	5.55678943455217	5.722128198355008	5.792235469477744
MAD1L1	0.839750890494273	0.3288256665137657	0.5840885388660279
LASP1	2.0767126964030322	1.7909156590671542	2.1684902414009146
SNX11	0.33212139536846097	0.29184648107374017	0.6050918651353641
TMEM176A	0.49487076426357507	1.0966242705736524	0.8239180637590607
M6PR	0.34711863640489626	0.7504102581325194	0.45333957389892265
KLHL13	0.8302812523642237	0.5217634691547859	0.6663660945756991
CYP26B1	1.8526602477763825	1.4979644689284786	0.5302638847021967
ICA1	3.211419526882864	2.937644179705803	2.2283638054105697
DBNDD1	0.3675372906323985	-0.4733964389130872	0.10178674635472491
ALS2	0.2508290251011403	0.2134797642184726	0.5096889374675427
CFLAR	-2.8577718641647123	-2.8697412541268372	-3.118029853801198
TFPI	-3.8602586124064504	-4.27626784973065	-3.1055321859171743
NDUFAF7	0.5925906282059988	-0.5112462976538451	0.12881600673933855
RBM5	0.5452334596782431	0.7175074616298068	0.4213652660613501
MTMR7	6.087887937188178	6.098251138581389	6.336373695555157
SLC7A2	-4.5262095406166445	-2.2792820941598855	-2.7905826932108706
ARF5	1.3337993805136241	1.0431610743936872	1.2873419208372308
SARM1	3.075241752695427	3.260643909451729	3.983221949354462
PLXND1	0.9577667199440508	0.633608236150816	0.3505504733557258
AK2	-3.3984044138241303	-1.898162396309752	-2.311208230948622
CD38	-2.713421189608956	-1.4527631169566428	-1.3065246595023507
FKBP4	0.14033803959523602	0.4668315325388222	0.3103837038003535
KDM1A	0.3391594011603016	0.6432964833173928	0.45346112911748043
RBM6	0.9761151273626351	0.9478232120821561	-0.5632911487341975
CAMKK1	5.358390753695229	5.797448729772379	6.283117469178468
RECQL	-0.41363127989215714	0.1335739424715832	-0.8212429641249005
CCDC132	1.2838952870358902	1.3047679179034273	1.10738830919623
HSPB6	-6.764303068037874	-6.767256661526088	-5.345063080552623
ARHGAP33	4.595834432562457	4.618054194328361	4.93415693744223
NDUFAB1	-1.1914963932516107	-1.1511955974000176	-0.19444972343161263
PDK4	-6.507962541147823	-5.714647778861497	-8.22055985767188
SLC22A16	1.26379894402167	2.4471285880084546	0.9864313463131789
ZMYND10	1.7749834978580155	1.6365814187945913	1.8363735275031503
ABCB5	-inf	-inf	-1.2739568117450708
ARX	1.3279558143788561	0.3714277281104542	1.7822791227798656
SLC25A13	0.7504895240808258	1.2640446216088361	1.0443370886027983
ST7	0.6508323810724435	0.8946654005993045	0.3386249933457369
CDC27	0.46659192372698993	0.5541134854473622	0.03519184664528285
SLC4A1	-2.5422262851834203	-inf	-2.806559424385041
CALCR	-1.2167577723122978	-1.373326216505286	-0.09424825095389087
HCCS	-0.8176236225820452	-0.8150926311622615	-0.9055131916233203
DVL2	0.5687641684504287	0.5455998996761544	0.3967551369185595
PRSS22	-inf	-inf	2.6566363912724165
UPF1	0.080105812686526	0.43268713119357805	0.6219879223253655
SKAP2	0.7489459099580885	0.5590975407583394	0.012388538006749784
SLC25A5	2.273832368976515	2.0427804581120848	2.0632014657851245
CCDC109B	0.5359389609607564	1.533125379656661	1.1607310503810164
HOXA11	-inf	-inf	-inf
POLR2J	-2.47501900129366	-0.9536900384861858	0.05899317653539838
DHX33	0.8889104903627322	1.249147244333393	0.9647345551485361
MEOX1	-inf	-inf	-2.883780794024833
THSD7A	3.8208618631923663	4.461646177342992	4.529558210908962
LIG3	0.3883647800061173	-0.04540258083210752	-0.4096892793694446
RPAP3	-0.33818218441910036	-0.3297741858452318	-0.5392522310319409
ACSM3	-2.7387528621015003	-1.5295323937210072	-1.390315772695817
AC004381.6	0.5183686779610278	0.6673547836823693	-0.5058604580237133
CIAPIN1	0.8718798536159008	0.5074307805785347	0.250762694394204
SPPL2B	0.06679077862657871	0.08510501730565716	1.1073175444249717
FAM214B	0.5503505974634296	0.7628646491401592	0.8207163348524638
COPZ2	-3.4690575795437084	-3.3180841076281404	-2.0732796489970826
PRKAR2B	3.762661754364715	3.947461355435101	3.421584898705293
MSL3	0.43099880384525097	0.500740483826932	-0.2454621167787842
CREBBP	-0.17184691908053396	-0.04646658243021549	-0.09653379922985558
BZRAP1	5.291851954505495	4.988905643239732	4.90734868910715
MPO	0.19652685110871645	0.9688835602309241	-3.952912637007393
PON1	3.82698907621854	1.1741056473297815	0.6452824284717872
GCFC2	-1.183078776524081	-1.356582765562098	-3.188882591256581
WDR54	3.330419152361516	3.273857417821818	3.725030497495149
CROT	0.18643544702951304	-0.03601474337934571	-1.633970981987481
ABCB4	-2.607188932600605	-2.48570236158085	-2.556260276993445
KMT2E	0.8986646541141164	1.2341948093321289	0.9283107209204957
RHBDD2	3.907876361330275	3.3722350199166353	3.229451834784184
SOX8	5.351074180224708	5.588319848603209	5.8854316799728545
IBTK	-0.6526967180620743	-0.7033920490628182	-1.3771136852448467
MYCBP2	2.79711055938678	2.9075918110152066	2.7547049452905132
FBXL3	0.24859191897255564	0.4435690820242185	0.426394913789471
ITGAL	-1.4598206444235151	0.6035984209974542	-0.9828414787274221
PDK2	-0.9518436730988856	-1.0298671813033566	-0.8590896425779095
ITGA3	1.3414596223420197	1.3007230607421416	0.639886172096853
ZFX	-0.9823154425819302	-0.5905463905973548	-1.0033169894860858
LAMP2	0.19771298064471848	0.37523235665431354	-0.37871990929282406
ITGA2B	2.7074441409622665	4.012484601393393	1.9989967420812964
ASB4	-4.881974491247547	-4.875622885023823	-inf
GDE1	0.3350381797342027	0.32488285335430495	0.09990545959612222
C19orf60	-0.039867165652681634	-0.4406477633876459	0.48073031587433085
CRLF1	2.468292917452218	2.6209984815323306	-1.750362753749683
OSBPL7	-0.015877742111894102	0.10633339576734474	0.13337307145960164
TMEM98	2.2873544180236447	2.716465978393666	1.2656834340959628
YBX2	1.1436089636856903	-1.210658304028809	-2.8547422028450535
KRT33A			
MAP3K14	-1.7472471981171962	-1.7139663267232366	-0.8280588419104349
ABCC8	4.314798063068517	3.786045708736468	4.316155158691444
CACNG3	9.289591765811142	8.90457555357059	8.796808628073395
TMEM132A	4.33956807623909	3.67167675900059	4.5858289920766815
AP2B1	1.7548083446168499	1.8785021745812076	1.1994009698773072
TAC1	8.644354810646014	7.778614076144386	8.34885965857467
ZNF263	1.0159867205421031	0.5774661281751567	0.9507165500662931
CX3CL1	3.352527936685621	2.9841992257876613	-inf
SPATA20	1.2041453089397853	0.9308884700699429	-0.604563345405283
CACNA1G	6.361373119250939	6.011501036167512	6.654748949626255
TNFRSF12A	-5.2509238044444775	-4.787390754689861	-6.685941556275769
DLX6	7.315850427176056	7.657677527463749	7.865352268257808
MAP3K9	4.044874513821043	3.9862265730408573	4.137780341949694
RALA	0.8717924972430394	0.9402978714234842	0.4212574257562038
BAIAP2L1	-1.2122743046910023	-0.9717927007608387	-3.324049436429555
KDM7A	-1.566987599471213	-1.4149508136088556	-0.7716933637603467
ETV1	4.9281286102618305	5.147451853901191	4.9517519713174165
AGK	2.625850816221477	3.068247329107475	2.2653692913045185
TTC22	4.140734555973505	0.34569609507318894	6.782170432585116
PHTF2	-3.548396445073421	-3.0348209003064497	-4.049472616955885
CCL26	-0.4685681156305149	-inf	1.5486695506071906
FARP2	0.6410907367628501	0.5215427865378743	0.9311918458280551
USH1C	3.4756478633949204	5.430434759575447	3.0913167275824165
GGCT	2.0696774774488667	0.7460291679477068	0.9769128292587823
DBF4	0.5508361320796862	0.30777657170229966	0.9606464419067685
TBXA2R	-0.14834048457087592	-3.126525085343374	-3.2174830455276537
IFRD1	-0.8594494359638556	-1.3317128428498461	-1.7398324644991146
COX10	-2.556616686427379	-2.0911373854364625	-1.9710692114890025
