	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	-0.06467474025820968	0.28889813824485305	-0.21105893080499183
TNMD	-5.289201105519482	-4.058654720817615	-2.0564157650099646
DPM1	-0.46056543260977956	-0.5481516779701877	-0.5362524060457142
SCYL3	-1.505249235213771	-0.3760861282796876	0.016855081885676967
C1orf112	1.4034713865126094	1.010444085406551	1.2251988945871923
FGR	0.618294153733058	0.7258347096685074	-0.4584736729445523
CFH	-0.220185286006912	-1.7948752163607444	1.5388962525094105
FUCA2	1.3226185615459711	0.8770948861466432	0.4605454803697266
GCLC	1.2441605889190748	1.6640697456401734	1.090048152207377
NFYA	0.5597601841982325	0.9064621829554459	0.22280519350678052
STPG1	4.66011181110921	4.23871942430727	0.6438523812166895
NIPAL3	4.0661179196427435	4.052233524274674	4.048143293869564
LAS1L	1.5312768512043902	1.3811701757549617	1.9863530624598336
ENPP4	0.19705802248892906	0.1729603267627847	-0.5130848449661917
SEMA3F	-1.1334165569896462	0.15916915345306595	-1.1229468115650303
CFTR	-0.8437833611975265	-1.364668754171729	-1.7377408482687595
ANKIB1	1.5314221380160837	1.3060233307819908	1.0440143502980925
CYP51A1	2.089245270397274	2.214034693792273	1.9219315637946777
KRIT1	0.6661801256785793	1.046099698570729	0.48526560925955364
RAD52	0.06785737961333627	-0.23356121626003043	-0.31425372618259034
BAD	1.1483466391792674	0.9728668266998537	-0.48418707334103234
LAP3	-1.4614314433866764	-0.8805467626380936	-1.6859683081752168
AOC1	-inf	-0.417077627248004	-inf
WNT16	1.2958458735324203	2.86186970016826	3.6509848809059946
HECW1	4.956947311216833	5.800890132910792	6.3280322141269885
MAD1L1	0.8735304643504519	0.619147440077176	0.5729814088413703
LASP1	1.3278121528867655	1.5288981997018969	2.1927922467859235
SNX11	0.016995749100360308	0.23801940746512165	0.8015322204627288
TMEM176A	0.8340342108067684	0.879090335901108	0.5234589296320725
M6PR	-0.16628497132835282	0.5528790646268158	0.5483640116231592
KLHL13	0.28518436942771996	0.401305620837418	1.132688406700328
CYP26B1	0.3914944787413458	0.7288737368790045	0.3303210389146408
ICA1	3.050427986096899	3.0613038907114825	2.6378860895955816
DBNDD1	-0.002975733985474549	-0.7628765105171957	-0.03823031653797485
ALS2	-0.3815553432293167	0.32708416171850824	0.8554900980551964
CFLAR	-2.5972630742725022	-3.1385568033373388	-3.09209857889977
TFPI	-4.1676862234733365	-4.010645556998525	-3.292563676982724
