	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	-0.3639541761562315	0.49230983692855745	0.15868961442588095
TNMD	-3.321928094887362	-0.39465737945781176	1.286484941155266
DPM1	0.16249983548575958	-0.032733567039242906	0.2668871640031965
SCYL3	-0.32014352132331225	0.38605469775440676	0.25362024116200876
C1orf112	0.2578748004669036	0.15861642144206514	-0.01731801429418574
FGR	-0.03023751220349401	0.3142636475685401	0.10750584528327733
CFH	-1.479450531370675	-1.0129953667275666	1.290340797678052
FUCA2	0.028218277215435558	0.1738894383862198	0.20433151060147275
GCLC	-0.14727338414809626	0.4949232503926673	-0.017710836433096885
NFYA	-0.17849680839545212	0.5722332475608058	-0.10539025582220288
STPG1	1.224458805046594	-0.36265422496583444	-2.4298106337748897
NIPAL3	-0.06366383963340463	-0.03401560853214456	0.4504547960630455
LAS1L	0.16779378189963184	0.02215882675633532	0.21559509367352314
ENPP4	-0.5119639959487206	0.5097338515704668	0.23259367052503294
SEMA3F	-0.9565662957870308	-0.31820369301348106	0.9874301849604351
CFTR	-1.0879104924030627	1.1906871359984352	-0.8705365291848776
ANKIB1	0.000551066282699958	0.3974250741040154	-0.02552500876029819
CYP51A1	0.11624115475477842	0.2447707939154129	0.04430788523739212
KRIT1	0.11871010744832919	0.2853545496549439	-0.006468221602225609
RAD52	0.17796263779373844	0.07761261791155671	0.15502966127557832
BAD	0.29784493060964573	0.1399024127879173	-0.04563587912904913
LAP3	-0.18774283187164473	0.4979750806093845	0.014057725722744935
AOC1	-3.321928094887362	-2.369695818957748	1.5880914773990567
WNT16	-0.9572444561001211	0.6138875859938453	0.32720766822863157
HECW1	-0.5281428994823097	-0.3477889777155261	0.8645453327358961
MAD1L1	0.11818880398010828	0.017571257007662114	0.26588650634484445
LASP1	-0.32626998908470595	-0.05916279480895618	0.6253482010780604
SNX11	-0.1734782560233296	-0.30591978689587135	0.6820081212127777
TMEM176A	-0.2720895173793867	0.5244332743890654	0.04755553209430255
M6PR	-0.4771973873645876	0.36819722713884406	0.36836525658038494
KLHL13	-0.32192746370841996	0.18794656808324695	0.44451702617597144
CYP26B1	0.6730219480419064	-0.5568907651912867	0.036784921735387395
ICA1	0.8048608200642886	-0.021217828247219635	-0.8169970594975382
DBNDD1	0.16981256943986311	-0.16901371001084808	0.3624834995353205
ALS2	-0.1813235495333072	0.4273099297245952	0.1021643946008827
CFLAR	0.8641422412777485	-0.3847279323651195	-0.48636884431759103
TFPI	-1.0097156030630339	-0.8873831930510568	1.1780849004849443
NDUFAF7	0.2486071038779327	-0.37137362925064976	0.4210421567337075
RBM5	0.21481083648189184	0.2322749764468105	-0.051754381775409516
MTMR7	0.06736099613001102	0.07320249187658746	0.2632174854421926
SLC7A2	-1.6649675052126593	-0.10039631849580906	1.0369406152328537
ARF5	0.34611452021782024	0.08505957286435586	-0.04671855967601297
SARM1	-0.4101687261540776	-0.026622025386560312	0.6468524139027475
PLXND1	-0.5891982986980759	0.013570553454210415	0.701182667458526
AK2	-0.7240139213728747	0.49290184288536126	0.3643669947038241
CD38	-2.4675163650265057	0.10561159306002015	1.0308639326001672
FKBP4	0.02509843067255083	-0.23147896016668415	0.5167107144430565
KDM1A	0.12190601506667716	0.166447127578633	0.12371545116825529
RBM6	0.6185158566780191	0.3197202497873329	-0.9528343032428056
CAMKK1	-0.19025364484213814	-0.10169638747983661	0.5768721646209531
RECQL	-0.024869937836478954	0.33177625014218715	0.08206055890964628
CCDC132	-0.03560720882892099	-0.013814628498894522	0.41566005375665427
HSPB6	-1.6809190933671856	-0.30862766540845393	1.124795737930952
ARHGAP33	0.14689441598441186	0.15040780478313254	0.11494437658902279
NDUFAB1	-0.30168745490140775	-0.21337881727724645	0.7014889650589843
PDK4	-0.27432671435253797	0.962282010609596	-0.9302303726300682
ZMYND10	0.19637059268348078	0.15459130839365276	0.05808309610931361
ARX	-3.321928094887362	-3.321928094887362	1.632268215499513
SLC25A13	-0.38183783652562203	0.08335749913603402	0.5588160478510746
ST7	0.21720573659298847	0.4010283286587952	-0.29146601487970747
CDC27	0.021658165669895212	0.31991390486330756	0.05188490554033325
SLC4A1	1.3720911971955523	-1.815214438787781	-1.226398338863341
CALCR	-3.321928094887362	-3.321928094887362	1.632268215499513
HCCS	-0.15488692679601773	-0.053431488300249415	0.5242198536089692
DVL2	0.3291904576999511	0.18991990862219268	-0.1472158647739535
UPF1	-0.08074731567669699	0.07144643048161563	0.3825705781492145
SKAP2	0.007654601573931116	0.4675347308956258	-0.13299628782989195
SLC25A5	0.3569314813566149	-0.09638786896979716	0.11627022779000296
CCDC109B	-2.5072544928808145	0.5499214840324144	0.7312735940380001
POLR2J	-1.1121751414604408	0.044065116600387186	0.8531086818364231
DHX33	-0.23434529259142245	0.36261029170435555	0.2193131418224971
MEOX1	-3.321928094887362	0.7201692427356338	0.6347091654030346
THSD7A	-1.3329356756894304	0.2649311536048277	0.7667746154708064
LIG3	0.18612113474060527	0.07832232720439011	0.14601606439768247
RPAP3	0.11244342427582107	0.3193676522983271	-0.042220781160403835
ACSM3	-0.7638680817913128	-0.4936841778762093	1.0006314902531315
AC004381.6	-0.04863294993777756	-0.012809245196486055	0.4243710626240426
CIAPIN1	0.1983368315827599	-0.016166134994734994	0.21880359121272874
