	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	-0.07427253230961645	0.11894647980983901	0.3382675026461291
TNMD	-0.6114889267753914	1.1950499245076662	-1.4902470370869159
DPM1	0.17586255612947863	0.01942272113579415	0.2101476560965595
SCYL3	-0.3934742486394988	0.5960438052247328	0.038632978808099266
C1orf112	0.60864983735304	0.22575442965257353	-0.7231344041646826
FGR	-0.11013570007622882	0.8397627638632925	-0.776594063087592
CFH	-0.5789037739672926	-0.1400518403882983	0.7849571767897184
FUCA2	0.40608559722679716	0.07022601518760722	-0.11242291794092339
GCLC	-0.45961883164617134	0.8198262247380093	-0.30823666040747194
NFYA	-0.3056048285457193	0.4888500413748363	0.12110986222358376
STPG1	0.16180767070917407	0.6567232025005034	-0.7254360996232524
NIPAL3	-0.2503714601704584	0.07329654618785213	0.4928294875794856
LAS1L	0.420325748748283	-0.07852446711651531	0.02111664137634002
ENPP4	-0.40663643737291916	0.3935102147741223	0.30104240033742596
SEMA3F	0.4914500426018588	-0.05875428035296983	-0.09842824081220591
CFTR	1.590748748442245	-3.023494024400886	-2.5997874479525764
ANKIB1	0.07899065318931532	0.11837295535940888	0.21189843271039588
CYP51A1	0.32244913339882647	0.29503984925381593	-0.2816850985372564
KRIT1	0.4053609068665086	0.38580382339407143	-0.5799386185175578
RAD52	0.17095520509892864	0.21567478751528288	0.018562160069236312
BAD	0.11136119231074308	0.2792173875022383	0.0089409243857805
LAP3	-0.9550323273562663	0.7415846546054587	0.1533625429582605
AOC1	-0.4872671518340956	-0.44526165209820046	0.889219447736094
WNT16	-0.8106991321639261	1.0352938783659522	-0.5556225867079284
HECW1	-1.5620846068172607	-0.32221902744466285	1.1120327888448047
MAD1L1	0.06823998890132087	0.348464106751169	-0.031564616093233966
LASP1	-0.08395978121058684	0.27304308926182724	0.19935073442631454
SNX11	-0.25372993109936126	-0.20562365582109432	0.672752161034176
TMEM176A	0.16388688096047954	0.7030587438626384	-0.8579238974534755
M6PR	-0.21916705382814544	0.19962185630018686	0.3702105063160178
KLHL13	-0.623721153823505	0.42623595312183116	0.38657040184753105
CYP26B1	1.26421590331923	-0.8203295958238705	-1.5919570437544905
ICA1	0.47999878424046194	0.2801548861290586	-0.5333838149888924
DBNDD1	-0.6772464488462688	0.6248011831526544	0.17969446534351283
ALS2	0.024366576661333166	-0.020836508994744204	0.375518713052677
CFLAR	0.06567054109974008	0.2590478460748087	0.07962058844719248
TFPI	-0.31503279141333956	0.7194332896833113	-0.23508972947674836
NDUFAF7	0.18239629349779876	0.0558167042099211	0.17093195245363657
RBM5	0.36646029338379776	0.13606698096638664	-0.1330384159043614
MTMR7	0.45528067346022033	-0.6035382344009766	0.3457513062464188
SLC7A2	0.2290912277784478	0.43321392325069447	-0.3627785098756672
ARF5	0.32910665938302436	0.22036098177703325	-0.18649223240346124
SARM1	0.7774659853836826	0.29667971417382416	-1.483709379024645
PLXND1	0.5282962374620044	0.22996590730856048	-0.5458919593053132
AK2	-0.8749945926412664	0.4463557655311009	0.4773147526884956
CD38	-2.1292137566219598	0.7950856853089784	0.41817609476788403
FKBP4	-0.1358304800436977	0.32144945046778295	0.18937406160973205
KDM1A	0.22922437685037325	0.3355212939353255	-0.2076241217510462
RBM6	0.600390637914313	0.521280553487883	-1.5201719514695766
CAMKK1	0.5545757610331851	0.07645837248479267	-0.3643162804577164
RECQL	0.07780870069569305	0.5745553078436099	-0.4047486603751505
CCDC132	-0.023968429852974496	0.10862195792319781	0.30833587277282437
HSPB6	-0.404458713431877	0.6443059995105962	-0.026950032664176
ARHGAP33	-0.025755029979656844	-0.4725979408362424	0.6753895502061456
NDUFAB1	-0.5140737982433566	-0.2680117819169495	0.8231741385009834
PDK4	-0.7174599944805166	1.272695919493574	-1.8587954319165314
ZMYND10	0.8359939297159575	-1.152984273701356	0.09115075754633514
ARX	1.632268215499513	-3.321928094887362	-3.321928094887362
SLC25A13	-0.6072312980551784	0.4701462556043117	0.3314699617942406
ST7	0.14255873265834718	0.1614078979624643	0.10803705431697962
CDC27	0.04522217259606557	0.21881823170868023	0.14323409561026804
SLC4A1	0.1140106745866134	-0.47528923703908377	0.5834659241088787
CALCR	-1.213723608986894	-0.1132170206801689	0.959266749293991
HCCS	0.5613439350824365	-0.19401415739362543	-0.07371700128786507
DVL2	0.42048962755734415	-0.09780022252780957	0.03866311785803641
UPF1	-0.2669911457252713	0.014228250228974932	0.5450174323911984
SKAP2	-0.21492238157058763	0.31555900465345366	0.25569858301567044
SLC25A5	0.25687070139168555	-0.1565520169377469	0.2725597670407162
CCDC109B	0.333952500190553	0.5504568893868698	-0.7983945514208114
POLR2J	-0.5711210436563944	-0.053645970865938426	0.7341421962066714
DHX33	0.22065675578075225	0.30350831124375244	-0.15105099011023046
MEOX1	1.4742456219383684	-1.2459959353044368	-3.321928094887362
THSD7A	0.5625431476188515	0.007738403815316585	-0.2902657336176802
LIG3	0.2742894179952729	0.25119570515133877	-0.15134826654410183
RPAP3	0.08757237328895555	0.2414465199521981	0.07757382498698202
ACSM3	-0.061650811484625014	0.24215499346432848	0.21297371737164306
AC004381.6	-0.07531715830457472	0.23848648977877657	0.22787931168002332
CIAPIN1	0.04423318046077749	0.08913225243826177	0.26919459115971894
SPPL2B	0.2871051832969949	-0.3327978236636611	0.3626834664309548
FAM214B	0.20064920325274105	0.29136927668699664	-0.10938463451368054
COPZ2	-0.033364268183346715	-0.22575006464346875	0.5535675985264727
PRKAR2B	-0.054767203541346024	0.7896329625077698	-0.716396793337009
MSL3	-0.013409656705032365	0.35266286339265057	0.04591327139442223
CREBBP	0.18872992410858022	0.11939273237705914	0.10294373857079284
BZRAP1	0.22360828789945641	0.14465774691174924	0.038269443112645754
MPO	-0.9023797544261597	1.414133636096366	-3.321928094887362
PON1	1.318308486840985	-3.321928094887362	-0.5017196333626698
GCFC2	0.6249596100495285	0.20656581269147758	-0.7276321131215777
WDR54	-0.1383556739499163	-0.39536191482438	0.7058870486116718
CROT	-0.7100972406128709	-0.31664658368272447	0.9151667363612459
ABCB4	0.8403959399678272	-1.2745101730485036	0.1323702629033647
KMT2E	0.13711621962949672	0.10215069180197828	0.17238877520914817
RHBDD2	0.6205405146602969	0.24597281476867053	-0.7942152524090024
SOX8	0.7402054476931136	-0.5329054969030497	-0.09168676082720648
IBTK	-0.2585560623868064	0.34399166161447947	0.25678400070498436
MYCBP2	-0.08837807715203957	0.07629518572270355	0.38417505160940274
FBXL3	0.02406042615941809	0.22942564149050715	0.15161806914373818
ITGAL	-0.08962713892021884	0.9388523591859581	-1.1738669759578526
PDK2	0.15410452843369654	-0.03863236141398852	0.2794021456585399
ITGA3	0.3531437974412549	-0.05559612045205924	0.08469312777602968
ZFX	-0.132582449529433	0.2878753919799649	0.2227573333348468
LAMP2	0.2720057451894645	-0.012709846882655456	0.13918878987299912
ITGA2B	1.2819813009046552	-0.8424729528326178	-1.6869346212008516
ASB4	0.3722741683236715	0.9302516656743491	-3.321928094887362
GDE1	-0.07295540258864264	0.10880359770180097	0.3459389322252306
C19orf60	0.3101359101289661	0.1444015970412567	-0.06657330792128954
CRLF1	0.847070075686981	0.4474340617974441	-2.8620434047568857
OSBPL7	0.4336758192019324	0.08561122504202431	-0.17105613625511448
TMEM98	0.406805423991819	0.16813907240864825	-0.23337118411784483
YBX2	0.9277984684690874	-2.1688158079078663	0.23295058045845515
MAP3K14	0.03966530469516992	0.4613134278594018	-0.15950859613565485
ABCC8	0.5902468238821601	-0.7326490872818734	0.2542285861603372
CACNG3	-3.321928094887362	1.632268215499513	-3.321928094887362
TMEM132A	1.1089345340268475	-0.4407185482913987	-1.2991361510276995
AP2B1	0.01408883688006812	0.4005613382138071	-0.043697805427615824
TAC1	-3.321928094887362	1.503624778503534	-1.4561774937384548
ZNF263	0.2522219673707104	-0.24062496480895632	0.33637632071457463
CX3CL1	1.053455015007003	0.16929089060989277	-3.321928094887362
SPATA20	0.5608940439221721	0.2314531774542498	-0.6197138704785514
CACNA1G	1.3787537776037004	-1.8245916035339118	-1.2610418117691127
TNFRSF12A	0.11634437648403316	0.8614971994106874	-1.325205235095738
DLX6	1.632268215499513	-3.321928094887362	-3.321928094887362
MAP3K9	-0.3527680320110136	-0.026768605697655642	0.6185237002149587
RALA	0.5794087759300341	0.11728169720626001	-0.4717806896526296
BAIAP2L1	0.4726507030993195	0.11558055063570304	-0.2706737055250703
KDM7A	0.25021920325512104	0.16404536375969714	-0.01422600964850073
ETV1	-0.7274571090004233	0.09616903444237904	0.7023040242832832
AGK	-0.15998201919998764	0.5745933873555062	-0.12704345072102002
TTC22	-1.2052472143329716	0.31059833758802047	0.7014009172698646
PHTF2	0.40881867084732515	-0.21877480438586694	0.15459207438750433
CCL26	-0.49623448744102633	-3.321928094887362	1.3167512116711921
FARP2	-0.004669908951966753	0.32254104080330387	0.07409505388449093
USH1C	-0.13418996044260276	0.08094709418809291	0.4126260331767745
GGCT	0.08963859795794255	0.27989466733478474	0.031098970127784013
DBF4	0.8543249000561977	0.03752743310923978	-1.1024214416881615
TBXA2R	0.16108388993884934	0.33356337068730463	-0.11755074606037719
IFRD1	0.5216266312591685	0.5512194345041422	-1.3251657821826008
COX10	-0.42533490289861137	0.3274048349827936	0.37915503272411616
GTF2IRD1	0.3337144830460465	0.09870594998533808	-0.04553044708351597
PAF1	0.39692805002597265	0.2198350590426281	-0.2885961688269577
VPS41	-0.13381205946458244	0.6117990262141599	-0.21689312162202543
ARHGAP44	0.07684839180802636	-0.18834675913987947	0.4517282825760196
ELAC2	0.4686896997886809	0.20442602784733707	-0.38850631489741544
SCIN	0.7529719435506841	-0.29613958831889237	-0.3213685188980806
PNPLA4	1.2517691203130439	-0.4142102028032588	-2.571431153287972
MYH13	0.12335063215771865	-3.321928094887362	1.0777477055322635
ADIPOR2	0.05211947960550092	0.16160695787154672	0.19494523568154906
CDKL3	0.3673762291454938	0.3157375374308246	-0.3858129636290529
PRSS21	0.8509415649813444	-2.8065245784375694	0.4365700781078105
MARK4	0.38726870745803355	0.03533468442722184	-0.0479788112955993
PROM1	-0.6081754948374025	1.0432667743503805	-0.7782213409874698
CCDC124	0.24662695773339557	0.2498490401756284	-0.11327453774045938
PAFAH1B1	-0.214140694764158	0.4154084719874197	0.1430855151088821
NOS2	0.8956012663006317	0.013526822493557052	-1.2169381461625748
DNAH9	0.7514674540859438	-0.16000418761816157	-0.470982347828426
KIAA0100	0.035111077738757906	0.30052593112897547	0.06180520185823597
SLC13A2	-1.1418064297688177	0.25517399627380943	0.7253734503217814
GAS7	-0.01674355641540593	0.6578595131920898	-0.4465438936363384
TRAPPC6A	1.1463730961769498	-3.321928094887362	-0.019707153462045865
MATK	1.2482655698717373	-1.0649969780085753	-1.163365635147263
CD79B	0.5410694185294378	-0.23200722955682865	-0.009408324902642349
SCN4A	1.0477168168406412	-0.5572925401425387	-0.8542102973899285
ST7L	-0.17401121956458424	0.12860661134403079	0.4009617977837572
TKTL1	0.3955533136208877	0.2450096148183691	-0.32291639629636065
PAX6	1.632268215499513	-3.321928094887362	-3.321928094887362
RPUSD1	0.24315261337295874	-0.4205077304656225	0.45339868623660246
RHBDF1	0.23680516548972647	0.3094388004438192	-0.1805048080535975
LUC7L	0.5541009884802418	0.1661326532675935	-0.4947189003520457
CACNA2D2	0.10639054234288489	1.0394400091991718	-2.573133509032477
BAIAP3	1.2504805109345036	-0.7932741347108369	-1.5405246542009994
TSR3	0.6824769355839099	-0.3761063441507741	-0.11310982796988513
PIGQ	0.3982851257787034	-0.6085256761940528	0.407290744107226
CRAMP1L	0.17497429393506544	0.16236666529921506	0.07304448948527514
TEAD3	0.06184742038693633	0.4783471150899989	-0.21248088109506105
SELE	-1.0913024356331682	1.168670487432172	-0.7793773476559644
DNAJC11	0.03162599066917856	0.3328566064792413	0.0262075724256607
FMO3	-0.5598554781233669	-0.36559254591423523	0.883995990193919
MYLIP	-0.04785699081446147	-0.017363059619640978	0.4271671899018276
NOX1	-3.321928094887362	-3.321928094887362	1.632268215499513
PSMB1	0.12460293296968399	0.3384097193300234	-0.0809570826945421
SYN1	1.2619529639702165	-1.4267696998502972	-0.916383451169529
JARID2	0.3917103013101501	-0.34550100213313606	0.26425729279764604
CDKL5	-0.7416202922781306	-0.39472742679302214	0.9570228177454425
CAMK1G	1.0493131328563243	0.17690445341556235	-3.321928094887362
CDK11A	0.17413842438219312	0.10998950553310605	0.12761904946643826
NADK	-0.6426100344763653	-0.15639428483431228	0.8173630594482729
TFAP2B	-0.9297545393351635	0.4759702775399464	0.4690514030320514
DLEC1	-0.4034950804769227	1.1745200309248736	-1.8018944394097443
CYTH3	0.11908304254013041	0.503757780705464	-0.32906238879126537
ADAM22	0.4151837591407562	0.7701778510850623	-1.937593812256917
SYPL1	-0.6264338947555591	-0.055358734739042646	0.7569116245448995
CYB561	0.025363847913184	-0.12757074090417558	0.4508994491829935
SPAG9	0.3378085185582661	0.39731341810435905	-0.47571233260738405
CELSR3	0.9413270421804486	0.0991886652032138	-1.6964924182039032
AASS	0.440031147944088	-0.29249859632187175	0.1723334051748542
SS18L2	-0.09488300851472888	-0.21693584392775095	0.5880954520448465
MPND	0.08459085444048503	0.21564970141973963	0.10887404942872879
MGST1	-0.08765343259163459	-1.0857813239216347	0.9167141929944018
CRY1	-0.03581213016034526	0.46427051342658676	-0.0817695941934293
NFIX	0.531086198937959	-0.31445815762186996	0.07152972319362316
ST3GAL1	0.5966651838815057	-0.1158786420832724	-0.20928987593195614
MMP25	1.0335653944577048	-0.4628313390691667	-0.9231343555080139
PKD1	0.5200483118515482	-0.15399753697820134	-0.04805408231764887
MAPK8IP2	0.7567687283843835	-1.746375890100227	0.392041024298373
MED24	0.18596846764001213	0.510141196350826	-0.4378576070799847
RHOBTB2	0.8966456670900367	-0.306410356376693	-0.6674550618730669
HEATR5B	0.2658985806008683	-0.2968215068469394	0.3601635349525977
SEC62	0.04655460722352404	0.2670488550134738	0.08930930542770815
RPS20	0.9695508573541505	0.06486124961650269	-1.757380169030923
CSDE1	-0.1096936168678482	0.19409214063398064	0.2977327045958866
UBE3C	0.11299800234479972	0.2586262753184969	0.03166016198887096
REV3L	-0.09832760551705041	0.5801820222632602	-0.19950893336290085
TENM1	0.5556460051560805	0.7068584326212339	-2.3369564363415676
MASP2	0.11370158718571644	-0.7997738746015521	0.716824104390017
FAM76A	0.10302866057311225	0.1556821147159144	0.15319054050308734
TRAF3IP3	0.07617292791319288	0.39902584882634196	-0.10910201807245073
POMT2	-0.15476015163367268	-0.2539163732435844	0.6444114683233892
VTA1	-0.05990653539930746	0.2612993889997646	0.19170920060778882
MLXIPL	-1.205268424378633	-0.3791946205416489	1.0686327512144793
BAZ1B	-0.05330089821213697	0.45015179079175677	-0.043813620927852154
RANBP9	0.18985565182468592	0.4091689919702104	-0.26633377592402496
SPRTN	-0.0579107356465202	0.20166063985011554	0.250142221097085
METTL13	0.3279159735666105	0.11283919451042417	-0.05372295472387871
DYRK4	0.5148565781577955	0.822515283556605	-3.284035407310618
ZNF207	0.2140254350660575	0.32373849641602953	-0.17053956495755102
UQCRC1	0.03117513038418831	0.0125129883328201	0.3441976821293371
STARD3NL	-0.2228853842755883	-0.1575462897500847	0.6291013923880797
CD9	0.435306114338493	0.46305526683316095	-0.8126266679959163
NCAPD2	0.21121374789578473	0.6706876295857745	-0.8611677628649425
IFFO1	0.6111228033737309	-0.37218503847576273	-8.506236453650563e-05
PHF7	0.3295049663130583	-1.3096172631451797	0.7136870003016088
SEMA3G	-0.12007597360504287	0.26315695035934356	0.23849201962020258
NISCH	0.29607731046298214	-0.11027562712170028	0.19633946607379052
STAB1	0.12414017400760033	0.14677027083247526	0.14150305225996887
