	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.5356762280693214	0.21605276919866667	-0.5377857460718533
TNMD	0.6935938067576516	-1.136309184858217	0.296041282631281
DPM1	0.21026102253388704	0.27794902989290193	-0.10371646240654926
SCYL3	-0.513841285578823	0.5020826588957938	0.24292343535326244
C1orf112	0.09530129767127095	0.35329140809717663	-0.06757632372998167
FGR	0.8121001295168768	-0.15097746467993792	-0.6357760887231441
CFH	0.8755116111192323	-0.7427705844066904	-0.20464731142839832
FUCA2	0.8834707267511999	-0.1640954592413067	-0.829551832424372
GCLC	0.011178425744480145	0.6771968039136617	-0.5286734335721761
NFYA	-0.21550481984032513	0.4910313648662588	0.047267554059064014
STPG1	1.2872637967311666	-1.3619699676456334	-1.0883404403696217
NIPAL3	0.09613873557910733	0.7190477975481997	-0.7735013422050081
LAS1L	0.2846769365759285	-0.009100874075912516	0.12187868481965244
ENPP4	-0.3684171138424804	0.5015120380798835	0.15013270043978294
SEMA3F	0.18622944749255807	0.2755116223248905	-0.07128393857109457
CFTR	1.632268215499513	-3.321928094887362	-3.321928094887362
ANKIB1	-0.3332970964541518	0.37582892277632146	0.27344982558724445
CYP51A1	0.032926418246281654	0.5865906699861063	-0.36732060055369403
KRIT1	-0.036907135257610406	0.3303202066187587	0.09486467492001448
RAD52	-0.6588323806741956	0.7645039510913184	-0.04718413817119473
BAD	-0.03976104136854879	0.5259367068510554	-0.17248045793683406
LAP3	-0.7529554722545918	1.0868172207925655	-0.7795114638812782
AOC1	-1.1314517147650105	-0.5274894284169849	1.1041909409277328
WNT16	0.12070884047002275	-0.3617573952165505	0.5205630828853783
HECW1	-0.057288329490136486	-0.9383690454020385	0.8616447269953302
MAD1L1	0.5681626596023678	0.40013822583383307	-1.0065604096447667
LASP1	0.31004421096643864	-0.11284661038520998	0.18331844888073953
SNX11	-0.5940494148443919	-0.011581189843214856	0.7185387550883373
TMEM176A	0.3635307891001011	0.5174243388326147	-0.7808301633358008
M6PR	-0.15400803189289256	0.4549892480427074	0.04331270923609179
KLHL13	0.18885772005729895	-0.5117108156824758	0.5447316115545501
CYP26B1	-1.0161292692053991	-0.14188528497996736	0.9254107130515148
ICA1	-0.2844922446362704	-0.5872609699036719	0.8586686182835893
DBNDD1	-0.47991925913637834	0.5367135977805059	0.1792792488384359
ALS2	-0.6832789236850225	0.6871096826860577	0.09382654987377036
CFLAR	-0.010555256536230982	0.9522256636571497	-1.4249418965135159
TFPI	-0.5918602073306632	1.2227689574389926	-1.7246556063818557
NDUFAF7	0.3339070300285575	-0.1294825184933548	0.17046163932182093
RBM5	0.14366172848837583	0.15598564952510735	0.11251599108101448
MTMR7	0.09930375072341041	-0.38939265313274435	0.5511888971546647
SLC7A2	0.013016060553021545	0.4332017212205371	-0.08817748832635038
ARF5	0.3594437497135945	0.2754451906379522	-0.30989348006958484
SARM1	0.45830665549739963	-0.6702371429160419	0.3759217421092081
PLXND1	0.2654485119778807	0.07066865881971901	0.06734547307396502
AK2	-1.4041604779421697	1.2174295059010092	-0.7445798449039205
CD38	0.18785248230842047	-0.11487852319232422	0.3073970910022119
FKBP4	-0.07553211781687928	0.45490367349676697	-0.02868021995485836
KDM1A	0.1776858965984702	0.18098886126887703	0.0500086917758931
RBM6	0.39868094825808953	0.5641199393855647	-0.9907599968001418
CAMKK1	0.15692063848067878	0.6680285580017821	-0.7461441574725303
RECQL	-0.2820535650010208	0.840833027212742	-0.5426758727659446
CCDC132	-0.4434859044542248	0.2676193970526448	0.44448110938151114
HSPB6	0.3539490671172848	0.02521004657136627	0.006216025499239354
ARHGAP33	0.6253826757131982	0.2632276214573822	-0.8436828017755418
NDUFAB1	-0.16019764582261942	-0.03945173811570025	0.5181049190753366
PDK4	0.3029131171615503	0.7591132282769082	-1.419209617755236
ZMYND10	0.3217361655936605	0.15341478555020502	-0.09239030436331208
ARX	-1.4497943164692018	0.07797962186830279	0.9094947751827593
SLC25A13	0.5647367982179663	0.48136638596422593	-1.2350862621177043
ST7	0.22749795816119	-0.19227331942494882	0.3265049205008557
