	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.02953240515811574	0.41996480497837135	-0.08708372745640681
TNMD	-0.6802769170465558	-1.7334661750576448	1.2480647615801663
DPM1	0.2707720517417055	0.2762008211871973	-0.1802581305904725
SCYL3	-0.21698625750686304	0.31345946398416097	0.259369143614035
C1orf112	0.06445915838977916	0.2613060767002637	0.07825986766331423
FGR	0.3964263465295936	0.2772754880748963	-0.37360292005316464
CFH	-0.3544800983257476	-1.4432895531027319	1.1044176296404637
FUCA2	0.392463384256294	0.426071238607664	-0.6353212660061479
GCLC	-0.0012758631307775805	0.4841443361952003	-0.14859602115249113
NFYA	-0.10087625796603258	0.5365530227789735	-0.1249579112410208
STPG1	1.014366318838918	0.17231920962011688	-2.7073027563120107
NIPAL3	0.23813115731109957	0.3464920679163481	-0.23604305816380475
LAS1L	0.08020840023866534	-0.04530866692875449	0.3490785253494139
ENPP4	0.3098428822219641	0.4051803610067587	-0.44188355067018215
SEMA3F	0.19911522242002594	0.6948503377267443	-0.9070094370970333
CFTR	0.428302059693883	-0.4295550653710097	0.27722344719683284
ANKIB1	0.22917634712118312	0.37103969004099	-0.2609297195696494
CYP51A1	0.33665364616899024	0.15456547692464256	-0.1138953101749901
KRIT1	0.2588543953659583	0.3694531228508052	-0.3011436457130582
RAD52	0.3198905327231794	0.1301161521776013	-0.06283287058754093
BAD	0.45356070744854066	0.01697793704403782	-0.1222615035695508
LAP3	-0.09222354158074844	0.49592508431165383	-0.07142207573612971
AOC1	-2.395724177413721	-2.0509740133070653	1.5203729443510123
WNT16	-0.35737122592329984	0.3840890508830502	0.2802186171794068
HECW1	0.013568265322227536	0.1633480297625311	0.22733176425299834
MAD1L1	0.3577132216366991	-0.1061424477567572	0.12371635687675327
LASP1	0.18841559963012536	-0.06990731744635521	0.27236868838305106
SNX11	0.06097429245397864	0.024609289950452196	0.3099047088874817
TMEM176A	-0.1600942735934147	0.3856071329852335	0.13569766381918666
M6PR	-0.025277570197381843	0.34175754889195376	0.07048405763363995
KLHL13	0.2762967243282777	-0.00409363835044337	0.12664428336223715
CYP26B1	0.5606616109395286	0.23297361456567228	-0.6219330106236675
ICA1	0.4707870875341632	0.2186030101352318	-0.4140215130741638
