	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSPAN6	0.06078140759379389	0.38397237123908134	-0.07090666590598393
TNMD	-1.576292074585739	-0.616513449479617	1.209398489144937
DPM1	0.1865858237261999	0.10691230636366221	0.11771076729516833
SCYL3	-0.7488025008647567	0.2423712306174443	0.6059374002832517
C1orf112	0.30344868937087655	-0.053427507441594004	0.14047093439058608
FGR	0.35138893379815805	0.4507837000293641	-0.6050925613212667
CFH	-0.44316277041852997	-1.6741351550872057	1.170646628835836
FUCA2	0.4989754720251827	0.08992261903238356	-0.28195225602113494
GCLC	0.03832253720160086	0.4223110795944042	-0.10003806672418214
NFYA	0.11011804990133928	0.4279796076227694	-0.19209241067463506
STPG1	0.8146163499401949	0.42078379431245255	-2.3038993174246984
NIPAL3	0.14714232118366902	0.13451724086454056	0.13080010039304318
LAS1L	0.02412031958041938	-0.11051255003360821	0.44029483507242223
ENPP4	0.32907217169463665	0.3069075826829522	-0.3098215403750589
SEMA3F	-0.37126193308821304	0.80643586429498	-0.36214216283490114
CFTR	0.5283051523391148	0.05027437975742933	-0.2822557727099027
ANKIB1	0.34246627643185046	0.13618124144048743	-0.09991883931054141
CYP51A1	0.1459057631003865	0.2598499304253042	-0.005462600769426732
KRIT1	0.05988796432561194	0.4074032579079274	-0.1026530567271214
RAD52	0.33725003187591523	0.06212453510998593	-0.010640404345100553
BAD	0.5446823953695482	0.3819382915581507	-0.8937604851124588
LAP3	-0.007107914541301481	0.5249044767825932	-0.207433790198334
AOC1	-3.321928094887362	1.632268215499513	-3.321928094887362
WNT16	-1.2159337649046373	0.10909659996803826	0.8407274731305162
HECW1	-0.605035655984498	0.1382948321500169	0.6247479015674164
MAD1L1	0.3009461186460971	0.06896930451141049	0.02726862440682039
LASP1	-0.22515951334461298	-0.04618252442209628	0.5616965509861602
SNX11	-0.19828627846429583	-0.000968129318872294	0.5150922928157463
TMEM176A	0.2104714772571613	0.2516886795166146	-0.07046069083531722
M6PR	-0.3223985262284248	0.32415404911356244	0.32000016306733314
KLHL13	-0.19667661294251404	-0.09339900351008283	0.5754380991652915
CYP26B1	0.044205253494204164	0.3521098657875221	-0.01092055499911493
