	m_Hum-Chimp	m_Hum-Rhesus_Monkey	m_Rhesus_Monkey_Chimp
TSPAN6	0.3439764681614479	1.1852261595156515	-0.8412496913542036
TNMD	2.0564245384024336	0.4238204559167431	1.6326040824856907
DPM1	-0.07382396270781388	0.34696977936956586	-0.42079374207737974
SCYL3	-1.1277012256861054	-0.847686449393767	-0.2800147762923384
C1orf112	-0.2725068422516179	0.17356622218831808	-0.446073064439936
FGR	1.0417037340979634	1.5943383020709931	-0.5526345679730298
CFH	1.7965349147893308	1.1733632425727656	0.6231716722165652
FUCA2	1.1342570377879149	1.9048950072996602	-0.7706379695117453
GCLC	-0.7216409506009267	0.6111887410502028	-1.3328296916511295
NFYA	-0.7755648128111119	-0.2928629650782941	-0.48270184773281777
STPG1	2.7711790085166856	2.4716310524578455	0.29954795605884
NIPAL3	-0.6656567442438033	0.9758090681092484	-1.6414658123530517
LAS1L	0.3222189717218118	0.17777170541335607	0.14444726630845572
ENPP4	-0.9625557000565541	-0.5809654602267988	-0.38159023982975526
SEMA3F	-0.09730382268961968	0.2839486993544451	-0.3812525220440648
CFTR	6.086391029983423	6.086391029983423	0.0
ANKIB1	-0.7847256239427525	-0.6737885887740287	-0.11093703516872377
CYP51A1	-0.6010051141334536	0.4493537589526344	-1.050358873086088
KRIT1	-0.4031210898962456	-0.14582007302024103	-0.2573010168760046
RAD52	-1.5671730586850559	-0.6926674826116441	-0.8745055760734117
BAD	-0.6179194053495154	0.14860378162489685	-0.7665231869744122
LAP3	-2.0357685386784548	0.03197816349461924	-2.067746702173074
AOC1	-0.6482745369386467	-2.3357142301132163	1.6874396931745697
WNT16	0.4589766628217491	-0.38534660019021844	0.8443232630119675
HECW1	0.9456346808086146	-0.9538395271324631	1.8994742079410776
MAD1L1	0.1803225857310169	1.7855891621303805	-1.6052665763993637
LASP1	0.4655107661160205	0.1380907376742062	0.3274200284418143
SNX11	-0.6627537547197591	-1.4539153049676203	0.7911615502478613
TMEM176A	-0.16552128898111818	1.2912672673951682	-1.4567885563762863
M6PR	-0.6694039820238933	-0.22004157775202238	-0.4493624042718709
KLHL13	0.7818652449643428	-0.38325450991805976	1.1651197548824026
CYP26B1	-1.0205030766848804	-2.172547527196917	1.1520444505120366
ICA1	0.3468715203130808	-1.2415221509467171	1.588393671259798
DBNDD1	-1.1295670997987797	-0.7419718553199317	-0.38759524447884797
ALS2	-1.526802973532126	-0.8851574779952038	-0.6416454955369222
CFLAR	-1.0391115827680224	1.7109954611019331	-2.7501070438699555
TFPI	-1.985469182447587	1.4719873526014151	-3.457456535049002
NDUFAF7	0.5098867575651651	0.17800952753833865	0.33187723002682645
RBM5	-0.013532592644794228	0.03425142087697708	-0.04778401352177131
MTMR7	0.49421855132940196	-0.4555566264911886	0.9497751778205905
SLC7A2	-0.45945034009270636	0.11268555985893958	-0.5721358999516459
ARF5	0.09130669535455382	0.7429654438602773	-0.6516587485057235
SARM1	1.2327051823351456	0.08737125730658724	1.1453339250285584
PLXND1	0.21323814384192552	0.2169005817656835	-0.0036624379237579774
AK2	-3.0008564244935894	-0.8381189228412822	-2.162737501652307
CD38	0.3346089770003706	-0.13024333610221017	0.4648523131025808
FKBP4	-0.5816307291503904	-0.05225444688449166	-0.5293762822658987
KDM1A	-0.003618985001673458	0.14052295152160355	-0.144141936523277
RBM6	-0.1780690229258992	1.5927728261493428	-1.770841849075242
CAMKK1	-0.5448829789325851	1.0063410657683094	-1.5512240447008945
RECQL	-1.2242574060791735	0.29959045383786886	-1.5238478599170424
CCDC132	-0.7941364027128479	-0.9855374672372372	0.19140106452438932
HSPB6	0.36042087261551536	0.3814997222068808	-0.02107884959136541
ARHGAP33	0.38398741032253936	1.610019959930669	-1.2260325496081297
NDUFAB1	-0.13522916288093434	-0.7447539509732408	0.6095247880923065
PDK4	-0.4902835410437252	2.049021880668695	-2.5393054217124202
SLC22A16	-1.0987047625732602	-1.5801414635285884	0.4814367009553282
ZMYND10	0.17374214627042295	0.42873737615460084	-0.2549952298841779
ABCB5	1.315104689732298	1.90521802379064	-0.590113334058342
ARX	-1.8325181744860162	-2.726553578613606	0.8940354041275898
SLC25A13	0.08899810231163796	2.0555147999599073	-1.9665166976482693
ST7	0.4642594319761848	-0.10758518051707533	0.5718446124932601
CDC27	-1.0227112148050619	-0.11725049256304487	-0.905460722242017
SLC4A1	6.4157407015433074	4.649068495285441	1.7666722062578666
CALCR	0.6297497359479776	0.06354397993182959	0.566205756016148
HCCS	0.40771488057293315	0.1591540651222143	0.24856081545071884
DVL2	-0.04157231015188234	-0.2696091226376689	0.22803681248578656
PRSS22	7.425299839478189	7.425299839478189	0.0
UPF1	-0.6688828263532036	-0.5096236187679359	-0.15925920758526768
SKAP2	-1.1248513796576596	-0.5538047140371676	-0.571046665620492
SLC25A5	1.5670766204023998	2.3125114047862763	-0.7454347843838764
CCDC109B	0.7897240332803537	0.35427761224980436	0.4354464210305493
HOXA11	0.2572660558110753	-0.8171891055326683	1.0744551613437436
POLR2J	0.010321097829717019	-0.837991545754349	0.848312643584066
DHX33	-1.5161836028257025	-0.04332488270081214	-1.4728587201248904
MEOX1	1.3259997597132918	1.5458086909792157	-0.21980893126592393
THSD7A	-0.06948610409540043	-0.061011503856069266	-0.008474600239331165
LIG3	-0.5883830915489527	0.40171499761953466	-0.9900980891684874
RPAP3	-0.7456368610816018	-0.6719915806060328	-0.07364528047556895
ACSM3	-0.1970135292885562	-1.2047420228786319	1.0077284935900757
AC004381.6	-1.2887259583949058	-1.929105724508945	0.6403797661140391
CIAPIN1	0.20484801979463008	0.31308933250634663	-0.10824131271171655
SPPL2B	-0.1598779575901519	-0.6890554680371581	0.5291775104470062
FAM214B	-1.0542312354531092	-0.9478364755469846	-0.10639475990612457
COPZ2	0.8146179383948047	-0.007245081227119421	0.8218630196219241
PRKAR2B	1.8619538959961925	2.9767766724452738	-1.114822776449081
MSL3	-1.2896732665253605	0.4082499998508009	-1.6979232663761614
CREBBP	-0.5697041718825364	-0.006673093921234496	-0.5630310779613019
BZRAP1	1.5638234832547544	1.8865795740104396	-0.32275609075568523
MPO	-3.336282627945165	1.252536832138395	-4.58881946008356
PON1	1.8924622683538952	1.8924622683538952	0.0
GCFC2	-1.1093158605788247	0.9306441574823756	-2.0399600180612003
WDR54	0.0934520541260877	-1.2970596604656288	1.3905117145917165
CROT	-0.5245919233011422	-0.39654478017729566	-0.12804714312384657
ABCB4	1.329813544061334	1.113894293436136	0.2159192506251979
KMT2E	-0.6438124952602697	-0.2954559322112136	-0.34835656304905616
RHBDD2	1.2752689263402779	0.6252642514086917	0.6500046749315862
SOX8	0.25006140899061613	0.507000157332675	-0.2569387483420589
IBTK	-0.3427672662114629	-0.6046517757332461	0.2618845095217832
MYCBP2	-0.4645994855273967	-0.5665235261062689	0.10192404057887217
FBXL3	-0.7696854996408486	-0.3148015331808036	-0.45488396646004503
ITGAL	-0.42364242883807135	0.9504525455056058	-1.3740949743436772
