Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000009623	2	0	7	0	2	0	1	1	0	0	0	84	27	1986	334	831
ENSGALG00000008067	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSGALG00000008372	569	382	1576	545	676	349	232	487	362	395	299	9743	3073	854	1038	4287
CUFF.264046	2	3	7	0	1	0	0	1	0	1	0	1	0	2	6	8
ENSGALG00000015952	496	271	597	159	172	4	7	24	17	9	7	53	56	293	152	384
ENSGALG00000001312	476	373	1398	292	519	230	205	355	297	479	246	3891	1938	532	273	2329
ENSGALG00000006384	52	342	2307	37	733	132	71	88	82	444	97	84838	9215	4	54	794
ENSGALG00000005027	2555	1404	4339	1849	2643	444	550	857	715	530	647	7753	1883	5138	3199	10761
ENSGALG00000010052	144	67	468	108	139	79	46	67	78	92	80	1139	497	205	264	1689
Locus_87615	0	0	0	0	0	0	0	0	0	0	0	13	4	2	2	0
ENSGALG00000023937	24	12	9	27	22	13	11	39	21	21	21	88	68	40	20	39
ENSGALG00000009734	83	46	450	64	59	35	42	115	36	152	66	1208	193	78	102	668
CUFF.196301	0	0	0	0	0	1	0	0	0	0	0	0	0	8	13	46
Locus_50232	1	1	0	2	3	0	0	0	0	0	0	276	11	0	0	3
ENSGALG00000005410	72	39	276	6	13	37	25	77	80	8	23	3738	568	325	349	1226
ENSGALG00000010346	511	309	1055	367	526	151	158	69	111	68	178	2223	1317	63	143	324
Locus_48640	4	8	5	1	1	0	0	0	2	0	1	1357	333	26	16	80
ENSGALG00000015466	0	0	0	0	1	0	0	508	495	0	0	0	0	17	2	4
ENSGALG00000002655	229	139	504	409	566	132	128	384	353	359	157	10880	1716	349	471	2274
ENSGALG00000008200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010206	21	9	205	14	19	7	6	38	55	39	10	2882	107	388	1899	19560
ENSGALG00000012396	2	1	0	0	1	2	1	2	1	1	6	21	30	5	1	2
Locus_88315	2	0	1	2	0	0	0	0	0	0	1	5	2	3	5	37
ENSGALG00000014956	81	89	686	103	239	38	36	52	81	98	58	2853	588	135	316	2282
ENSGALG00000008750	209	151	322	181	273	165	185	308	288	338	371	2243	1353	285	235	606
ENSGALG00000001895	616	343	1092	483	635	115	146	460	338	639	296	2165	666	653	843	2904
ENSGALG00000005703	21	46	172	13	42	49	39	14	49	28	51	241	72	87	71	248
ENSGALG00000019505	0	3	0	2	2	0	1	1	2	0	1	0	1	25	18	10
ENSGALG00000006837	179	127	165	850	981	139	135	140	143	114	185	795	999	89	139	172
ENSGALG00000014643	787	485	2641	776	813	357	206	700	512	434	265	13374	1761	1203	1771	8526
ENSGALG00000005282	665	536	2568	2084	2812	642	283	768	453	531	125	26448	7759	494	1482	7787
ENSGALG00000005452	227	158	918	157	201	150	122	90	61	229	171	1352	342	1178	785	5482
Locus_80054	0	0	0	0	0	0	0	0	0	1	0	0	1	5	11	12
ENSGALG00000016611	475	333	1037	551	696	700	621	479	418	214	203	8552	2509	449	544	2396
ENSGALG00000003885	12	9	6	7	19	4	15	46	12	10	19	63	188	29	11	5
ENSGALG00000011241	932	627	2202	111	104	55	33	102	98	219	306	2245	1114	1250	1252	3542
ENSGALG00000023653	43	37	64	31	55	21	13	77	37	49	39	642	342	144	95	391
ENSGALG00000004829	3903	1939	4519	4554	4261	121	118	12	20	1	0	2994	622	256	399	936
ENSGALG00000023657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_5292	0	0	0	0	0	1	0	1	1	0	0	20	0	113	30	41
ENSGALG00000003519	0	0	0	0	0	2	0	1	0	15	17	0	2	20	20	35
CUFF.26771	3	3	9	1	0	0	0	0	0	0	0	20	0	9	4	19
Locus_19968	1	0	0	0	0	0	1	0	0	0	0	0	0	55	17	31
ENSGALG00000012236	4	2	17	2	7	2	4	7	3	1	2	54	29	301	271	697
Locus_50281	2	3	19	0	0	0	0	0	0	0	0	0	0	0	0	1
CUFF.70762	2	2	7	10	10	0	1	0	0	1	0	0	2	4	12	13
ENSGALG00000021416	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	6
ENSGALG00000005060	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0
CUFF.18951	0	0	0	0	1	0	0	0	0	0	0	0	0	5	8	23
ENSGALG00000002083	0	0	0	0	0	0	0	0	0	0	0	0	0	96	43	129
ENSGALG00000015108	79	100	684	90	170	24	34	28	26	27	31	625	111	139	263	1469
ENSGALG00000005753	297	249	1220	281	363	200	214	306	341	308	314	4708	1365	1769	1988	8571
ENSGALG00000017291	308	187	231	694	722	37	23	19	19	29	22	592	314	4	8	14
ENSGALG00000001865	194	227	924	175	402	112	114	142	132	127	136	1172	314	215	255	1081
ENSGALG00000020741	261	144	248	102	163	99	114	347	301	144	291	1411	574	1540	816	1597
ENSGALG00000004517	16	11	14	5	21	11	14	110	99	44	112	467	221	61	38	86
ENSGALG00000005512	908	701	2842	668	1155	710	728	925	893	1745	1754	28987	4516	1752	2854	13062
blastnGorilla.CUFF.217954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.12048	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22	11
Locus_28942	1	2	26	1	1	0	0	24	14	16	7	37	6	6	12	110
ENSGALG00000002527	342	192	265	401	364	92	81	110	120	230	167	535	315	221	208	308
ENSGALG00000014837	100	51	103	62	117	11	25	44	46	6	1	213	110	14	9	21
ENSGALG00000004888	585	248	525	116	309	91	154	178	55	167	305	978	535	290	133	166
ENSGALG00000004594	3711	3676	4304	2384	5047	8486	6321	7553	8478	10588	10928	65894	75750	1972	1590	2994
Locus_102722	0	5	6	2	6	0	0	0	0	0	0	8	0	0	1	5
ENSGALG00000003720	40	18	100	33	30	33	10	37	21	19	15	404	164	892	963	3865
ENSGALG00000005192	6	11	4	1	10	10	11	28	44	16	48	53	303	17	7	7
ENSGALG00000015617	1049	951	1552	456	1701	1013	2372	3990	3429	1236	6444	5817	5777	7242	1649	5953
Locus_110013	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	79
CUFF.236513	0	0	0	0	0	1	2	0	0	0	0	1	1	3	1	4
ENSGALG00000022605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000016187	146	103	593	152	205	82	43	110	78	133	76	1985	438	246	342	2029
ENSGALG00000006160	206	95	159	94	259	40	111	370	126	115	354	1132	946	2265	702	1291
ENSGALG00000003625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGALG00000011393	583	314	746	473	530	153	198	450	339	183	376	2787	726	1612	596	2256
ENSGALG00000004244	278	170	518	198	317	91	65	140	122	123	112	3728	1136	522	627	2006
ENSGALG00000000430	221	169	388	249	295	130	119	135	122	420	175	2237	577	708	1369	3587
ENSGALG00000015485	97	59	180	172	195	66	66	293	251	212	265	1685	618	292	223	864
ENSGALG00000023000	0	0	0	0	0	0	0	0	0	0	0	0	0	94	65	157
ENSGALG00000004304	771	482	1823	685	804	464	416	356	405	247	211	8020	3487	831	960	2838
ENSGALG00000010598	36	20	62	99	105	0	0	0	0	1	5	28	15	57	69	213
ENSGALG00000024182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010502	216	134	345	88	115	51	45	94	58	31	19	5060	1216	1795	2159	6455
CUFF.68561	0	0	0	0	0	0	0	0	0	0	0	4	2	16	21	51
Locus_66209	0	0	0	0	0	0	0	0	0	0	0	3	1	1	9	196
Locus_119186	0	0	0	0	0	0	0	0	0	0	0	38	8	0	0	0
ENSGALG00000011387	872	575	2145	817	961	813	598	917	1126	861	547	10697	3803	1222	1417	5923
ENSGALG00000013175	16	21	44	4	19	4	6	16	6	10	5	147	129	14	70	115
ENSGALG00000007015	22	27	23	21	36	59	69	128	113	76	206	599	345	113	40	104
ENSGALG00000017004	49	53	235	38	61	13	15	45	14	42	16	856	218	443	552	4525
Locus_50448	0	0	0	0	1	0	0	0	0	1	0	2	1	8	9	28
ENSGALG00000016843	667	342	1362	1809	2743	2000	1616	2487	1973	324	340	3935	1833	276	269	723
ENSGALG00000008291	405	259	451	264	527	231	376	576	324	178	592	2601	1639	406	151	382
Locus_118116	0	0	1	0	0	0	0	1	0	0	0	20	3	3	13	69
Locus_99171	1	3	3	42	61	0	2	0	0	0	0	2	3	0	1	1
ENSGALG00000001664	146	116	91	22	89	25	86	63	59	49	200	160	181	929	182	269
ENSGALG00000002318	1	4	10	5	7	2	2	6	8	2	0	8490	9614	13	42	158
ENSGALG00000002155	118	61	520	36	50	39	34	112	99	238	370	1009	140	88	70	556
ENSGALG00000008058	702	408	2377	480	597	93	90	84	39	101	37	2520	455	131	345	1245
ENSGALG00000001233	23	16	65	6	21	24	29	27	24	30	19	196	82	42	130	219
ENSGALG00000001006	13	11	22	13	16	6	5	17	11	21	11	1536	411	279	161	445
blastnMouse.Locus_3279	0	0	0	0	0	0	0	2	1	0	0	5	0	1	7	14
ENSGALG00000014226	130	95	364	127	151	34	25	152	166	421	223	2574	589	1132	1464	3265
ENSGALG00000009332	476	330	5122	638	753	317	136	1293	317	609	210	27124	2266	410	1892	14447
ENSGALG00000001848	256	147	328	255	272	190	184	274	318	338	388	2472	1079	965	782	1276
ENSGALG00000012921	77	42	112	112	141	76	76	261	209	154	131	3456	1291	159	246	458
ENSGALG00000012222	2041	1350	5577	2336	2453	192	146	698	667	591	486	4951	2028	397	406	879
ENSGALG00000001737	1133	683	9142	788	1069	470	267	650	346	687	230	28858	1974	629	2010	21768
ENSGALG00000002988	1310	648	712	322	665	9	24	7265	4679	11978	35919	48	22	215	60	48
ENSGALG00000016049	118	81	403	62	85	42	37	86	62	102	45	1819	400	203	228	1556
ENSGALG00000002522	1	2	5	42	160	117	343	169	164	89	254	4	6	15	7	27
ENSGALG00000004165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000000166	111	49	36	89	135	184	165	217	196	184	393	317	793	129	26	20
ENSGALG00000008043	2065	1199	1394	1567	2272	36	18	12	8	16	35	367	225	37	31	12
ENSGALG00000022384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_104893	3	2	0	6	5	3	2	4	1	11	3	5	1	140	113	113
Locus_109982	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	21
ENSGALG00000013754	148	102	160	111	135	120	175	95	114	290	166	965	581	126	94	193
ENSGALG00000009123	75	35	92	5	20	1	0	2	2	2	1	98	19	95	39	115
CUFF.143704	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	7
Locus_117237	26	19	133	31	35	6	1	3	7	3	1	143	41	6	15	80
ENSGALG00000010827	1656	1106	3139	1817	2883	177	128	317	327	331	263	10586	2848	898	1255	2912
