Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Testis_Male3
ENSGALG00000009623	0	2.63	2.09	50.06
ENSGALG00000008067	0	0	0	0
ENSGALG00000008372	36.76	50.36	41.41	43.16
CUFF.264046	1.41	0.04	0	0.69
ENSGALG00000015952	27.99	0.02	0.11	7.21
ENSGALG00000001312	22.86	14.16	17.43	16.23
ENSGALG00000006384	176.01	1429.41	424.11	25.38
ENSGALG00000005027	64.57	25.03	16.88	66.42
ENSGALG00000010052	24.43	12.88	13.05	37.2
Locus_87615	0	0.49	0.37	0
ENSGALG00000023937	3.13	6.8	13	5.82
ENSGALG00000009734	15.75	9.41	3.72	10.05
CUFF.196301	0	0	0	0.77
Locus_50232	0	4.69	0.47	0.1
ENSGALG00000005410	13.92	41.75	15.72	26.4
ENSGALG00000010346	139.64	77.44	52.53	16.64
Locus_48640	0.09	6.98	4.26	0.67
ENSGALG00000015466	0	0	0	0.04
ENSGALG00000002655	12.13	58.11	21.47	24.42
ENSGALG00000008200	0	0	0	0
ENSGALG00000010206	12.5	39.18	3.44	514.67
ENSGALG00000012396	0	1.62	5.73	0.15
Locus_88315	0.16	0.04	0.18	2.28
ENSGALG00000014956	17.37	16.11	7.71	24.55
ENSGALG00000008750	12.26	19.08	28.53	9.37
ENSGALG00000001895	107.43	49.86	17.69	131.9
ENSGALG00000005703	8.38	2.61	1.93	5.09
ENSGALG00000019505	0	0	0.07	0.54
ENSGALG00000006837	12.03	11.45	38.39	3.6
ENSGALG00000014643	30.98	34.85	11.47	42.85
ENSGALG00000005282	33.65	77.24	55.18	43.69
ENSGALG00000005452	28.97	9.42	5.79	72.81
Locus_80054	0	0	0.11	0.51
ENSGALG00000016611	16.75	30.24	20.53	16.74
ENSGALG00000003885	0.24	0.49	3.56	0.07
ENSGALG00000011241	43.95	9.96	12.23	30.33
ENSGALG00000023653	3.67	8.19	10.79	9.63
ENSGALG00000004829	111.61	17.16	10.14	9.28
ENSGALG00000023657	0	0	0	0
Locus_5292	0	0.39	0	1.45
ENSGALG00000003519	0	0	0.06	0.29
CUFF.26771	0.88	0.43	0	0.75
Locus_19968	0	0	0	0.65
ENSGALG00000012236	0.12	0	0	10.5
Locus_50281	4.77	0	0	0.11
CUFF.70762	0.76	0	0.12	0.56
ENSGALG00000021416	0	0	0	0.16
ENSGALG00000005060	0	0.04	0	0
CUFF.18951	0	0	0	0.63
ENSGALG00000002083	0	0	0	2.79
ENSGALG00000015108	19.2	3.9	1.71	17.65
ENSGALG00000005753	153.3	133.15	65.81	553.73
ENSGALG00000017291	12.97	8.64	11.06	0.37
ENSGALG00000001865	60.5	17.08	11.17	29.8
ENSGALG00000020741	8.08	10.23	10.25	22.34
ENSGALG00000004517	1.72	12.54	12.61	4.26
ENSGALG00000005512	27.88	63.27	24.26	54.91
