Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
blastnMacaque.Locus_372066	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000003213	55	141	4	4	46	2	0	9	2	1	138
Locus_133418	0	0	0	0	0	0	0	0	0	0	11
ENSGGOG00000003602	224	556	245	203	91	77	243	238	160	273	914
ENSGGOG00000014082	336	936	365	491	103	190	480	413	474	639	3184
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000024625	6	21	13	5	1	3	12	18	30	35	174
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000005112	3	0	1	0	1	3	15166	18508	9	3	4
Locus_17172	0	0	0	0	0	0	1	0	0	0	474
Locus_338510	1	1	0	0	0	0	0	0	0	0	7
ENSGGOG00000001330	717	1420	623	406	295	157	395	615	303	497	2926
ENSGGOG00000014124	2	7	1	2	0	0	25	25	1	0	32
ENSGGOG00000013343	1140	2031	985	244	0	0	3	2	2	2	293
Locus_18172	0	0	0	0	0	0	1	3	0	0	1
ENSGGOG00000008821	591	1326	406	427	86	51	227	274	181	298	980
ENSGGOG00000014482	96	236	110	48	110	53	96	105	133	106	495
Locus_294576	0	0	0	0	0	0	0	0	0	0	109
blastnMacaque.Locus_210418	1	18	3	14	1	0	0	2	4	0	8
ENSGGOG00000004567	0	0	0	1	0	0	0	0	0	0	6
Locus_391743	0	0	0	0	0	0	0	0	0	0	7
blastnHuman.CUFF.113612	0	0	0	0	0	0	0	1	0	0	3
blastnHuman.XLOC_005303	0	0	0	0	0	0	2	0	0	0	2
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0	0	13
ENSGGOG00000016861	1146	1896	1068	504	264	236	865	1203	403	492	4788
Locus_105240	0	0	0	0	0	0	0	0	0	0	5
ENSGGOG00000009535	7463	18150	7517	4990	4278	1096	36	58	14	32	7270
ENSGGOG00000011191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGGOG00000010407	127	182	36	49	39	62	125	88	124	106	421
blastnMacaque.Locus_38946	0	0	0	0	0	1	0	0	0	0	3
Locus_258189	0	0	0	0	0	0	0	0	0	0	40
blastnHuman.ENSG00000250116	2	8	0	1	2	0	1	1	0	1	19
blastnHuman.ENSG00000226900	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.CUFF.185659	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000025068	133	257	85	18	0	0	9	12	35	11	141
ENSGGOG00000008075	5	24	13	5	45	15	28	120	4	11	261
ENSGGOG00000027149	90	278	36	33	76	40	140	113	138	181	290
ENSGGOG00000034828	0	2	0	0	1	1	2	0	2	4	9
ENSGGOG00000012746	12	19	4	6	3	2	7	14	44	131	181
Locus_61207	1	4	6	5	2	0	0	1	1	3	2
ENSGGOG00000014684	0	1	0	4	0	0	0	0	1191	3433	181
ENSGGOG00000005866	100	256	41	63	66	59	147	349	337	642	1217
ENSGGOG00000008437	348	469	140	70	126	39	53	106	42	41	371
CUFF.118828	3	4	9	4	0	0	0	2	0	0	1
blastnMacaque.Locus_288696	0	1	0	0	0	0	0	0	0	0	0
ENSGGOG00000027326	0	0	0	0	0	5	0	0	0	0	97
ENSGGOG00000013320	341	725	332	134	156	81	214	222	123	148	3930
ENSGGOG00000010901	0	0	0	1	0	0	0	0	0	0	3
ENSGGOG00000004636	111	388	233	199	58	47	158	183	180	233	329
ENSGGOG00000013577	65	110	77	38	9	3	11	19	28	44	385
ENSGGOG00000011754	249	712	85	77	399	517	365	409	508	592	773
Locus_132899	2	1	2	0	2	0	0	0	0	0	4
ENSGGOG00000011132	24	55	7	13	89	96	54	28	36	149	547
blastnMacaque.Locus_372622	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000004581	123	193	59	37	43	25	60	86	91	106	453
ENSGGOG00000026271	12	27	4	3	2	1	1	3	2	0	124
ENSGGOG00000001667	420	849	538	163	73	47	332	340	51	145	1563
ENSGGOG00000016189	986	2391	1797	1404	480	463	1041	1295	987	1073	3722
blastnMacaque.Locus_272025	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000000397	680	1272	71	17	1	0	4	1	0	0	557
ENSGGOG00000022483	5	25	11	8	3	1	5	3	3	3	17
ENSGGOG00000025444	1	5	2	3	0	8	0	2	0	1	31660
ENSGGOG00000009966	380	1177	247	273	1078	182	651	1520	4839	16075	4009
ENSGGOG00000006335	55	90	347	103	0	0	0	0	0	0	13
blastnMacaque.Locus_189216	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_77362	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000002992	6	13	17	4	0	2	13	9	11	15	816
blastnPan.CUFF.134007	0	0	0	0	0	1	0	1	0	0	1
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0	0	1
blastnMouse.Locus_3279	3	17	1	25	0	1	0	2	0	2	0
ENSGGOG00000011031	28	47	23	14	13	15	15	39	13	16	226
ENSGGOG00000025043	10737	16747	7433	2150	4057	1621	2641	5106	2297	1258	12328
ENSGGOG00000034967	20	59	26	13	5	7	13	8	17	14	393
