Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
blastnMacaque.Locus_372066	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000003213	0.98	1.16	0.08	0.12	2.9	0.18	0	0.19	0.06	0.02	0.57
Locus_133418	0	0	0	0	0	0	0	0	0	0	0.61
ENSGGOG00000003602	7.09	8.17	8.76	11.22	10.21	12.22	11.55	8.94	8.23	10.98	6.7
ENSGGOG00000014082	6.47	8.36	7.94	16.51	7.03	18.35	13.88	9.44	14.83	15.64	14.2
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000024625	0.14	0.23	0.35	0.21	0.08	0.36	0.43	0.51	1.16	1.06	0.96
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	0.09
ENSGGOG00000005112	0.26	0	0.1	0	0.31	1.32	2002.08	1931.67	1.29	0.34	0.08
Locus_17172	0	0	0	0	0	0	0.04	0	0	0	2.92
Locus_338510	0.25	0.12	0	0	0	0	0	0	0	0	0.4
ENSGGOG00000001330	31.96	29.35	31.37	31.58	46.58	35.08	26.43	32.53	21.93	28.13	30.18
ENSGGOG00000014124	0.07	0.12	0.04	0.13	0	0	1.41	1.11	0.06	0	0.28
ENSGGOG00000013343	19.22	15.88	18.76	7.18	0	0	0.08	0.04	0.05	0.04	1.14
Locus_18172	0	0	0	0	0	0	0.35	0.83	0	0	0.05
ENSGGOG00000008821	21.67	22.55	16.82	27.32	11.17	9.38	12.49	11.92	10.78	13.88	8.32
ENSGGOG00000014482	8.53	9.72	11.04	7.44	34.61	23.6	12.8	11.07	19.19	11.96	10.18
Locus_294576	0	0	0	0	0	0	0	0	0	0	2.29
blastnMacaque.Locus_210418	0.15	1.23	0.5	3.59	0.52	0	0	0.35	0.96	0	0.27
ENSGGOG00000004567	0	0	0	0.12	0	0	0	0	0	0	0.09
Locus_391743	0	0	0	0	0	0	0	0	0	0	0.28
blastnHuman.CUFF.113612	0	0	0	0	0	0	0	0.12	0	0	0.07
blastnHuman.XLOC_005303	0	0	0	0	0	0	0.8	0	0	0	0.12
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0	0	0.4
ENSGGOG00000016861	20.53	15.75	21.61	15.75	16.75	21.19	23.26	25.57	11.72	11.19	19.85
Locus_105240	0	0	0	0	0	0	0	0	0	0	0.33
ENSGGOG00000009535	305.37	344.45	347.45	356.28	620.09	224.84	2.21	2.82	0.93	1.66	68.85
ENSGGOG00000010407	6.33	4.21	2.03	4.26	6.89	15.5	9.35	5.21	10.04	6.71	4.86
blastnMacaque.Locus_38946	0	0	0	0	0	2.16	0	0	0	0	0.3
Locus_258189	0	0	0	0	0	0	0	0	0	0	2.06
blastnHuman.ENSG00000250116	0.21	0.39	0	0.18	0.74	0	0.16	0.12	0	0.13	0.46
blastnHuman.ENSG00000226900	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.CUFF.185659	0	0	0	0	0	0	0	0	0	0	0.01
