Gene	Brain_Male2ss	Brain_Male7	EmbryonicBrain_Indiv1	EmbryonicBrain_Indiv2	EmbryonicLiver_Indiv1	Ovary_Female3	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3
blastnMacaque.Locus_372066	0	0	0	0	0	0	0	0	0	0
XLOC_003522	0	0.29	0	0	0	0.12	0	0	0.14	0.61
ENSG00000135541	10.2	26.37	5.94	6	3.88	3.42	0.87	0.58	3.28	30.45
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_177975	0	0	0	0	0	0	0	0	0	0
ENSG00000132604	32.51	36.86	11.04	12.9	4.8	6.19	6.98	6.56	14.36	12.98
ENSG00000112812	0.45	0.42	0	0.01	0	0.96	2.82	3.18	2	0.37
ENSG00000128595	13.6	21.6	7.21	8.01	31.69	32.4	111.63	66.78	141.21	16.47
ENSG00000175220	5.71	5.27	4.68	4.82	2.3	13.57	28.24	27.77	9.97	1.21
ENSG00000186479	9.48	17.96	5.77	5.46	2.45	0.58	0.01	0	0	0.32
ENSG00000168283	23.89	25.57	17.18	17.83	21.79	14.07	14.7	10.3	15.96	27.26
ENSG00000034510	2575.26	1681.22	215.95	101.94	63.31	1928.19	1692.04	1926.8	3145.28	547.29
blastnMacaque.Locus_210418	0.21	0.26	0	0	0	0.14	0	0	0	0.07
blastnMacaque.Locus_139712	0	0	0	0	0	0	0	0	0	0
Locus_146879	0	0	0	0	0	0	0	0	0	1.49
ENSG00000251152	0	0	0	0	0	0.03	0.02	0.02	0.03	0.11
ENSG00000107185	3.33	7.13	6.75	8.3	2.23	4.22	5.98	5.57	5.73	5.17
ENSG00000196652	4.18	4.38	7.29	6.93	3.08	2.25	1.94	1.76	3.33	8.31
blastnMacaque.Locus_38946	0	0	0	0	0	0	0	0	0	0
CUFF.70950	0	0	0	0	0	0	0	0	0	0.25
ENSG00000189132	0	0	0	0	0	0	0	0	0	14.72
ENSG00000130349	10.34	15.07	5.7	6.25	3.92	5.61	3.33	3.73	12.08	8.54
ENSG00000113163	16.43	35.12	7.25	9.09	12.44	5.92	5.41	3.4	12.29	30.72
ENSG00000232977	0.49	0.74	0.5	0.28	0	0.03	0.06	0.2	0.19	0.75
ENSG00000182333	0	0	0	0	0.14	0.1	0	0	0	0.48
ENSG00000155760	1.28	0.66	1.18	1.85	0.63	13.31	6.22	8.08	5.95	2.23
blastnPan.Locus_105644	0	0	0	0	0	0	0	0	0	0.09
ENSG00000125266	12.48	15.17	32.31	39.8	5.42	6.21	18.01	23.27	18.75	6.16
blastnMacaque.CUFF.185659	0	0	0	0	0.94	0	0	0	0	0.17
ENSG00000165985	10.84	19.09	14.46	17.46	0.29	0	0	0	0	0
ENSG00000169026	0.39	0.08	0	0	0	0.81	2.04	2	0.68	2.31
ENSG00000088451	2.01	0.9	1.61	1.05	14.19	5.67	2.49	2.71	3.59	2.76
ENSG00000100577	3.82	2.4	0.81	0.93	1.98	5.39	11.44	13.58	6.98	12.34
XLOC_003210	0	0	0	0	0	0	0	0	0	0.08
blastnMacaque.Locus_273811	0.3	0.17	0	0	0	0.03	0	0	0	0.28
blastnMacaque.Locus_288696	0	0	0	0	0	0	0	0	0	0
XLOC_006407	0	0	0	0	0	0	0	0	0	0
ENSG00000181852	31.52	28.06	23.72	22.77	10.15	9.78	9.3	11.62	9.76	7.35
ENSG00000132139	0.24	0.17	0.06	0.18	0	0.02	0	0	0	0.08
ENSG00000082258	5.86	8.23	8.07	8.35	8.98	5.81	2.25	1.72	2.27	8.17
blastnGorilla.Locus_319095	0	0	0	0	0	0	0	0	0	0
ENSG00000235532	0	0.01	0	0	0	0.01	0	0	0	0.01
ENSG00000197943	0.41	0.68	0.57	0.4	6.74	2.14	6.14	9.19	7.97	1.35
ENSG00000047315	25.73	31.25	13.93	16.58	23.59	12.57	13.79	13.3	26.09	32.63
ENSG00000186281	0.18	0.25	0	0	0	0.17	0.48	0.79	0.41	1.73
ENSG00000162636	10.53	10.68	8.19	7.82	9.96	3.32	1.25	0.59	1.22	3.02
ENSG00000232394	0	0	0.45	0.61	0	0	0	0	0	0.15
blastnMacaque.Locus_372622	0	0	0	0	0	0	0	0	0	0.07
ENSG00000237877	0.29	0.3	1.22	0.99	0.68	0.38	0.04	0.05	0.33	1.51
ENSG00000143457	10.73	11.24	0.57	1.23	13.03	9.67	8.75	6.97	14.49	14.91
ENSG00000132612	49.27	49.08	9.53	8.22	7.27	23.95	46.48	56.89	33.65	21.34
ENSG00000225612	0	0	0	0	0	0	0	0	0	3.42
ENSG00000185269	0.2	0.3	0.23	0.04	0	0.64	586.18	212.49	226.6	0.72
blastnMacaque.Locus_272025	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_195543	0	0	0	0	0	0	0	0	0	0
ENSG00000178585	7.41	8.96	10.89	9.8	5.39	8.6	17.5	23.04	10.93	11.43
blastnMacaque.Locus_189216	0	0	0	0	0	0	0	0	0	0
ENSG00000187550	0	0	0	0	0	0	0	0	0.04	0.23
blastnPan.CUFF.134007	0	0	0	0	0	0	0	0	0	0.13
ENSG00000204160	2.39	2.31	5.01	3.77	7.07	6.95	16.11	19.5	8.52	2.3
ENSG00000115310	177.63	138.22	79.73	71.85	39.58	20.25	31.3	19.42	23.8	19.82
ENSG00000224122	0	0	0	0	17.25	0	0	0	0	0.28
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0	0
ENSG00000186063	2.98	1.03	1.23	2.44	3.5	2.13	1.95	1.94	1.39	3.55
blastnMouse.Locus_3279	0	0	7.96	1.2	0	0	0	0	0	0
ENSG00000180376	3.26	5	4.96	5.09	3.8	1.8	0.53	0.27	3.37	11.78
ENSG00000255446	0	0	0	0	0	0	0	0	0	0.28
ENSG00000010319	3.2	4.92	0.03	0.24	0.05	2.58	18.17	30.61	17.37	0.72
ENSG00000241484	0.06	0.05	0.1	0.3	0.14	0.15	0.1	0.27	0.21	0.24
ENSG00000074356	8.12	15.31	8.94	9.09	5.21	5.93	4.39	5.5	24.45	27.85
blastnPan.CUFF.164853	0	0	0	0	0	0	0	0	0	0
ENSG00000175518	0.04	0.04	0.23	0.18	0.84	0.5	0.06	0	0.03	7.6
ENSG00000148229	24.86	46.87	5.62	4.09	17.1	12.94	17.89	22.96	54.48	63.26
ENSG00000129152	0	0	0	0	0	0	0.14	0.12	0.35	0.08
ENSG00000185264	0	0.04	0	0	0	0	0	0	0	97.54
ENSG00000143545	2.5	2.12	1.86	1.66	2.06	13.14	10.72	10.07	15.44	13.57
