Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
Locus_101745	0	0	0	0	0	0	0	0	0	0	0	94	51
ENSMMUG00000032178	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029032	8	28	10	9	9	2	16	3	3	566	1764	135	61
ENSMMUG00000028680	4465	15503	17310	3857	4137	10947	12029	4017	13678	2275	2581	9456	19718
ENSMMUG00000005173	0	0	0	0	0	0	0	0	0	0	0	1	0
Locus_138785	0	0	0	0	0	0	0	0	0	0	0	6	3
ENSMMUG00000017148	36	92	34	46	52	75	38	19	26	23	18	1101	516
ENSMMUG00000009155	0	2	2	24	25	13	24	30	33	5	0	253	134
ENSMMUG00000018583	15	110	47	0	0	0	0	0	1	0	0	248	90
ENSMMUG00000014668	37	199	104	31	63	12	23	17	7	5	37	157	19
ENSMMUG00000023741	0	0	0	0	0	0	0	0	0	0	0	56	13
ENSMMUG00000028785	214	690	276	437	314	105	175	150	246	141	96	1934	506
Locus_20109	0	0	0	0	0	0	1	0	0	0	0	6	4
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029528	44	141	70	164	82	2	1	1	1	0	0	1	0
blastnHuman.ENSG00000253968	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015117	360	1027	413	534	426	233	307	381	372	247	384	4299	1527
blastnGorilla.Locus_177975	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMMUG00000019574	4	25	4	13	11	1	13	9	7	0	9	47	8
ENSMMUG00000006609	4	9	9	4	26	12	14	27	21	11	13	119	22
Locus_314463	0	1	0	0	0	0	0	1	0	0	0	900	492
ENSMMUG00000016616	34	135	41	44	30	19	74	550	679	12	39	62	23
Locus_501440	0	0	0	0	0	0	0	0	0	0	0	30	4
ENSMMUG00000031265	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029136	0	0	0	2	2	0	1	1	0	1	0	1	0
ENSMMUG00000005220	1403	3865	1317	729	556	2737	2830	52	42	116	40	1036	231
ENSMMUG00000032446	35	163	77	68	48	43	27	13	16	9	8	55	18
Locus_209527	0	0	0	0	0	0	0	0	0	0	0	68	21
blastnHuman.CUFF.113612	0	0	0	0	0	0	0	0	0	1	8	19	4
blastnHuman.XLOC_005303	0	0	1	2	0	0	0	1	0	0	0	0	1
ENSMMUG00000008472	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMMUG00000000203	39	186	56	120	110	17	25	25	20	36	29	158	98
Locus_450041	20	55	12	14	14	6	16	12	14	6	4	35	3
ENSMMUG00000009653	0	2	0	0	1	1	4	1	0	226	1162	31	19
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018763	229	660	377	48	23	5	15	7	8	4	2	773	330
