Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
Locus_101745	0	0	0	0	0	0	0	0	0	0	0	2.24	3.84
ENSMMUG00000032178	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029032	0.74	0.79	0.72	0.57	0.66	0.31	1.94	0.41	0.4	86.29	204.18	2.51	3.58
ENSMMUG00000028680	1806.96	1902	5418.16	1065.26	1325.21	7483.33	6382.44	2378.39	8011.3	1514.72	1304.62	768.26	5058.68
ENSMMUG00000005173	0	0	0	0	0	0	0	0	0	0	0	0.03	0
Locus_138785	0	0	0	0	0	0	0	0	0	0	0	0.41	0.64
ENSMMUG00000017148	3.94	3.06	2.88	3.44	4.51	13.88	5.46	3.05	4.12	4.15	2.46	24.22	35.84
ENSMMUG00000009155	0	0.1	0.24	2.59	3.12	3.47	4.97	6.93	7.54	1.3	0	8.02	13.41
ENSMMUG00000018583	0.61	1.36	1.48	0	0	0	0	0	0.06	0	0	2.03	2.32
ENSMMUG00000014668	4.41	7.18	9.58	2.52	5.94	2.41	3.59	2.96	1.21	0.98	5.5	3.75	1.43
ENSMMUG00000023741	0	0	0	0	0	0	0	0	0	0	0	2.51	1.84
ENSMMUG00000028785	15.98	15.62	15.94	22.27	18.56	13.25	17.13	16.39	26.59	17.32	8.95	29	23.96
Locus_20109	0	0	0	0	0	0	0.45	0	0	0	0	0.42	0.87
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029528	17.55	17.05	21.6	44.65	25.89	1.35	0.52	0.58	0.58	0	0	0.08	0
blastnHuman.ENSG00000253968	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015117	22.11	19.12	19.62	22.38	20.71	24.17	24.72	34.23	33.06	24.96	29.46	53	59.45
blastnGorilla.Locus_177975	0	0	0	0	0	0	0	0	0	0	0	0.74	0
ENSMMUG00000019574	0.13	0.24	0.1	0.29	0.28	0.05	0.55	0.42	0.33	0	0.36	0.3	0.16
ENSMMUG00000006609	0.47	0.32	0.81	0.32	2.4	2.36	2.14	4.61	3.54	2.11	1.89	2.79	1.63
Locus_314463	0	0.01	0	0	0	0	0	0.06	0	0	0	7.2	12.42
ENSMMUG00000016616	1.77	2.13	1.65	1.56	1.24	1.67	5.05	41.92	51.19	1.03	2.54	0.65	0.76
Locus_501440	0	0	0	0	0	0	0	0	0	0	0	3.35	1.41
ENSMMUG00000031265	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029136	0	0	0	0.64	0.74	0	0.62	0.69	0	0.77	0	0.09	0
ENSMMUG00000005220	40.19	33.57	29.18	14.25	12.61	132.44	106.29	2.18	1.74	5.47	1.43	5.96	4.19
ENSMMUG00000032446	3.13	4.42	5.33	4.15	3.4	6.5	3.17	1.7	2.07	1.32	0.89	0.99	1.02
Locus_209527	0	0	0	0	0	0	0	0	0	0	0	3.3	3.22
blastnHuman.CUFF.113612	0	0	0	0	0	0	0	0	0	0.57	3.44	1.31	0.87
blastnHuman.XLOC_005303	0	0	0.4	0.71	0	0	0	0.76	0	0	0	0	0.33
ENSMMUG00000008472	0	0	0	0	0	0	0	0	0	0	0	0.03	0.09
ENSMMUG00000000203	1.95	2.82	2.17	4.1	4.36	1.44	1.64	1.83	1.45	2.97	1.81	1.59	3.11
Locus_450041	2.73	2.28	1.27	1.3	1.51	1.38	2.86	2.4	2.77	1.35	0.68	0.96	0.26
ENSMMUG00000009653	0	0.03	0	0	0.04	0.09	0.28	0.08	0	19.9	77.69	0.33	0.64
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018763	5.57	4.87	7.09	0.8	0.44	0.21	0.48	0.25	0.28	0.16	0.06	3.77	5.09
