Gene	Brain_Male3	Brain_Male4	EmbryonicKidney_Indiv1	Liver_Male3	Ovary_Female1	Ovary_Female2	Ovary_Female3	Placenta_Female1	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3	Testis_Male4
ENSMUSG00000030105	99.69	54.49	21.33	50.27	18.78	28.73	27.37	44.3	45.94	32.75	42.33	75.62	35.72
ENSMUSG00000074445	0	0	0	0	0	0.14	0.1	0	0	0.57	0	0	0
ENSMUSG00000058979	6.46	5.98	4.93	8.15	5.74	5.51	6.31	2.27	3.88	2.84	1.93	8.38	6.98
Locus_97835	0	0	0	0	0.09	0	0	0.24	0	0.13	0	0	4.84
ENSMUSG00000025237	38.92	32.14	8.63	7.66	5.62	9.5	8.71	8.79	4.95	17.62	3.89	14.84	14.32
ENSMUSG00000006299	95.98	112.31	49.23	164.33	119.88	39.83	49.26	226.56	138.69	127.37	229.46	413.43	738
ENSMUSG00000021287	1.91	1.43	3.93	0.62	1.3	1.82	1.71	1.01	2.97	2	1.27	1.86	0.74
ENSMUSG00000041241	11.87	10.4	5.65	14.91	7.75	4.27	5.15	7.07	6.27	6.24	7.28	37.16	26.35
CUFF.167821	0.4	0.03	0.12	0.09	0.13	0.13	0.14	0.07	0.17	0.04	0.11	0	0
ENSMUSG00000005540	0	0.02	0.02	0.12	0.04	0.14	0.12	0.17	0.11	0.08	0.02	0.37	0.64
ENSMUSG00000021368	19.88	9.07	11.56	16.6	4.94	5.76	5.67	17.54	14.9	8.48	25.26	32.62	7.52
ENSMUSG00000055816	0	0	0	0	0	0	0	0.06	0	0	0	0.44	0.06
CUFF.173180	0	0	0	0	0	0	0	0	0	0	0	2.15	4.42
ENSMUSG00000041607	350.2	142.47	1.4	0.17	3.7	6.82	8.1	2.61	0.73	4.76	0.35	0.31	0.21
ENSMUSG00000030374	26.25	51.29	11.51	8.84	19.5	6.82	8.34	14.37	8.82	8.2	18.33	31.62	65.92
ENSMUSG00000034297	5.37	9.07	14.34	7.42	12.79	16.67	17.34	15.95	15.01	16.78	15.61	7.96	22.49
ENSMUSG00000032298	2.11	2.32	1.56	2.17	1.77	2.58	2.62	1.2	1.78	1.93	1.32	0.16	0.1
ENSMUSG00000073253	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000411	0.12	0.09	0.04	0	0.05	0	0.05	0.12	0.24	0.24	0.25	165.89	281.43
