Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000004817	397	124	172	171	175	166	291	234	137	253	163	278	707	212	791	394	172	415	491
ENSMODG00000012348	5524	1742	5063	95	88	0	0	0	0	0	0	0	2	14	9	11	3	13	27
Locus_191487	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4
ENSMODG00000024072	403	118	718	151	177	30	147	95	52	79	45	378	296	612	328	1027	73	357	504
Locus_391275	7	3	1	5	4	0	4	0	0	0	0	0	0	1	2	1	1	2	2
Locus_230713	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	11
ENSMODG00000018720	487	69	553	45	38	8	48	111	51	10	6	769	257	250	28	65	40	110	555
ENSMODG00000024341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_88916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	5
ENSMODG00000015039	131	48	122	97	103	36	141	106	105	65	50	797	614	241	338	184	91	207	548
ENSMODG00000006424	6939	1162	4648	2695	2489	6644	19686	591	344	398	158	3694	2079	4860	300	956	276	737	1379
Locus_314463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	21	54
ENSMODG00000023867	2	0	0	0	0	5	31	0	0	0	0	1	3	3	0	48	4	6	2
ENSMODG00000017053	73	18	31	21	8	1	6	36	25	97	164	14	31	97	65	71	46	121	214
ENSMODG00000024936	147	21	116	24	33	15	92	18	22	48	18	209	116	234	37	87	20	49	100
ENSMODG00000005244	513	112	229	8	7	0	2	18	1	0	0	28	51	0	4	14	0	2	9
ENSMODG00000006309	167	42	343	46	49	23	43	5	5	12	8	611	298	20	6	3	18	15	86
ENSMODG00000021551	218	61	148	89	125	59	180	82	62	66	36	217	176	219	101	77	100	170	700
Locus_190493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
Locus_228902	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	10	4	69
Locus_92020	2	4	0	0	0	3	5	1	1	0	0	0	1	0	1	1	0	5	5
ENSMODG00000010377	575	91	209	46	45	167	297	186	82	204	216	463	275	213	24	136	230	394	621
ENSMODG00000002604	223	87	174	94	129	34	82	13	14	1	1	317	681	22	30	19	16	79	46
Locus_90236	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	21	15
Locus_87151	0	0	0	0	0	0	2	2	0	0	0	14	14	0	9	3	7	8	9
ENSMODG00000013967	171	40	438	66	63	46	153	45	46	20	12	537	143	430	104	93	35	188	780
Locus_89627	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	24	16
ENSMODG00000013087	53	6	9	19	14	95	317	125	94	10	2	200	412	92	116	91	42	95	117
ENSMODG00000007436	685	147	665	236	220	63	362	141	157	107	60	2091	1653	752	381	365	175	444	1122
ENSMODG00000002784	14	3	3	197	140	2	2	2837	3782	9	8	1	2	2	60	4	1	0	2
ENSMODG00000009335	363	91	157	125	154	155	253	225	101	109	53	297	273	138	225	91	128	280	365
Locus_374091	11	1	2	5	2	1	11	4	4	1	1	13	11	6	4	3	4	3	6
ENSMODG00000020191	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000024955	163	42	232	45	59	6	65	29	32	13	13	205	274	182	119	96	31	97	398
ENSMODG00000020378	277	25	113	88	66	36	77	74	35	77	38	328	297	222	9	69	61	156	293
ENSMODG00000015598	260	55	248	79	61	7	51	37	29	13	10	635	266	114	9	39	60	165	751
ENSMODG00000025298	593	178	511	270	256	114	529	49	87	9	9	1773	1038	187	92	77	92	237	1531
ENSMODG00000011467	249	85	136	96	123	25	72	95	44	101	23	227	410	73	437	145	44	102	110
ENSMODG00000020105	199	55	133	311	247	12	1	7	3	44	28	102	242	47	44	21	14	48	54
Locus_230465	1	0	0	0	0	0	1	0	0	0	0	0	0	59	2	1	0	0	0
Locus_89246	79	31	44	35	32	24	41	20	20	12	13	70	176	2	59	8	14	24	30
ENSMODG00000023536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003074	350	102	2728	157	146	149	494	188	108	185	106	6034	729	2998	307	252	57	194	2284
ENSMODG00000003048	26	2	4	17	15	0	5	0	0	0	1	5	10	2	2	1	8	10	36
ENSMODG00000021284	7608	1646	9576	2785	2814	1479	4143	1933	1020	1165	499	12759	11923	5146	4224	3536	550	1161	4147
ENSMODG00000004857	2	0	4	0	0	0	3	0	1	2	0	9	17	1	1	0	64	98	290
ENSMODG00000015933	380	147	55	308	339	570	1144	711	380	287	190	332	2699	133	1057	586	338	445	322
