Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000004817	26.36	34.31	21.97	26.06	26.48	52.77	31	43.36	38.46	86.55	82.35	18.06	33.95	23.4	93.57	54.77	42.43	50.49	32.49
ENSMODG00000012348	238.97	314.07	421.42	9.43	8.68	0	0	0	0	0	0	0	0.06	1.01	0.69	1	0.48	1.03	1.16
Locus_191487	0.15	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0.28	0.6
ENSMODG00000024072	45.4	55.4	155.64	39.05	45.45	16.18	26.57	29.87	24.77	45.86	38.57	41.66	24.12	114.63	65.83	242.24	30.56	73.69	56.58
Locus_391275	0.87	1.55	0.24	1.42	1.13	0	0.8	0	0	0	0	0	0	0.21	0.44	0.26	0.46	0.45	0.25
Locus_230713	0.09	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0.67	1.15	0.98
ENSMODG00000018720	13.74	8.11	30.02	2.91	2.44	1.08	2.17	8.74	6.08	1.45	1.29	21.22	5.24	11.73	1.41	3.84	4.19	5.69	15.6
ENSMODG00000024341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_88916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	2.91	0.79
ENSMODG00000015039	3.28	5.01	5.88	5.57	5.88	4.31	5.66	7.4	11.11	8.38	9.52	19.52	11.11	10.03	15.07	9.64	8.46	9.49	13.67
ENSMODG00000006424	193.16	134.81	248.94	172.19	157.9	885.5	879.09	45.91	40.48	57.08	33.46	100.59	41.85	224.92	14.88	55.71	28.55	37.59	38.25
Locus_314463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	1.77	6.11	8.54
ENSMODG00000023867	0.13	0	0	0	0	1.53	3.18	0	0	0	0	0.06	0.14	0.32	0	6.43	0.95	0.7	0.13
ENSMODG00000017053	5.51	5.66	4.5	3.64	1.38	0.36	0.73	7.58	7.98	37.73	94.19	1.03	1.69	12.17	8.74	11.22	12.9	16.74	16.1
ENSMODG00000024936	11	6.55	16.7	4.12	5.63	5.37	11.05	3.76	6.96	18.51	10.25	15.3	6.28	29.12	4.93	13.63	5.56	6.72	7.46
ENSMODG00000005244	8.89	8.09	7.64	0.32	0.28	0	0.06	0.87	0.07	0	0	0.47	0.64	0	0.12	0.51	0	0.06	0.16
ENSMODG00000006309	8.74	9.16	34.54	5.53	5.84	5.76	3.61	0.73	1.11	3.24	3.19	31.28	11.28	1.74	0.56	0.33	3.5	1.44	4.49
ENSMODG00000021551	13.79	16.08	18.02	12.92	18.02	17.87	18.27	14.48	16.58	21.52	17.33	13.43	8.05	23.04	11.38	10.2	23.51	19.71	44.13
Locus_190493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	1.05
Locus_228902	0	0	0	0	0	0	0	0	0	0	0	0.36	0.11	0	0	0	2.74	0.54	5.07
Locus_92020	0.25	2.11	0	0	0	1.82	1.02	0.35	0.54	0	0	0	0.09	0	0.23	0.27	0	1.16	0.63
ENSMODG00000010377	33.47	22.08	23.41	6.15	5.97	46.54	27.73	30.22	20.18	61.18	95.66	26.37	11.58	20.61	2.49	16.57	49.74	42.02	36.02
ENSMODG00000002604	7.26	11.8	10.89	7.02	9.57	5.3	4.28	1.18	1.93	0.17	0.25	10.09	16.03	1.19	1.74	1.29	1.93	4.71	1.49
Locus_90236	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	1.2	3.12	1.21
Locus_87151	0	0	0	0	0	0	0.13	0.22	0	0	0	0.54	0.4	0	0.63	0.25	1.02	0.57	0.35
ENSMODG00000013967	8.09	7.89	39.88	7.17	6.79	10.42	11.62	5.94	9.2	4.88	4.32	24.86	4.89	33.83	8.77	9.21	6.15	16.3	36.78
Locus_89627	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	1.91	3.23	1.17
ENSMODG00000013087	0.78	0.37	0.25	0.64	0.47	6.68	7.46	5.12	5.83	0.76	0.22	2.87	4.37	2.25	3.03	2.8	2.29	2.55	1.71
ENSMODG00000007436	18.1	16.19	33.8	14.31	13.25	7.97	15.34	10.4	17.53	14.56	12.06	54.04	31.58	33.03	17.93	20.19	17.18	21.49	29.54
ENSMODG00000002784	0.53	0.47	0.22	17.13	12.09	0.36	0.12	299.91	605.64	1.76	2.31	0.04	0.05	0.13	4.05	0.32	0.14	0	0.08
ENSMODG00000009335	3.95	4.13	3.29	3.12	3.82	8.08	4.42	6.84	4.65	6.12	4.39	3.16	2.15	2.5	4.36	2.07	5.18	5.59	3.96
Locus_374091	0.99	0.37	0.35	1.03	0.41	0.43	1.59	1	1.52	0.46	0.68	1.14	0.71	0.9	0.64	0.56	1.34	0.49	0.54
ENSMODG00000020191	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000024955	14.21	15.26	38.91	9	11.72	2.5	9.09	7.05	11.79	5.84	8.62	17.48	17.27	26.38	18.48	17.52	10.04	15.49	34.57
ENSMODG00000020378	6.59	2.48	5.18	4.81	3.58	4.1	2.94	4.92	3.52	9.44	6.88	7.64	5.11	8.78	0.38	3.44	5.39	6.8	6.95
ENSMODG00000015598	10.11	8.91	18.56	7.05	5.41	1.3	3.18	4.02	4.77	2.61	2.96	24.16	7.48	7.37	0.62	3.18	8.67	11.76	29.11
ENSMODG00000025298	9.41	11.77	15.59	9.83	9.25	8.66	13.46	2.17	5.83	0.74	1.09	27.51	11.91	4.93	2.6	2.56	5.42	6.89	24.2
ENSMODG00000011467	14.3	20.35	15.03	12.66	16.1	6.88	6.63	15.23	10.68	29.89	10.05	12.76	17.03	6.97	44.72	17.44	9.39	10.74	6.3
ENSMODG00000020105	22.96	26.45	29.53	82.37	64.96	6.63	0.19	2.25	1.46	26.16	24.58	11.51	20.2	9.02	9.05	5.07	6	10.15	6.21
Locus_230465	0.09	0	0	0	0	0	0.14	0	0	0	0	0	0	8.36	0.3	0.18	0	0	0
Locus_89246	2.9	4.74	3.1	2.95	2.67	4.21	2.41	2.05	3.1	2.27	3.63	2.51	4.67	0.12	3.85	0.61	1.91	1.61	1.1
ENSMODG00000023536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003074	50.93	61.86	763.83	52.44	48.42	103.82	115.32	76.35	66.44	138.71	117.37	859.01	76.72	725.33	79.59	76.78	30.82	51.73	331.21
ENSMODG00000003048	0.48	0.15	0.14	0.72	0.63	0	0.15	0	0	0	0.14	0.09	0.13	0.06	0.07	0.04	0.55	0.34	0.66
ENSMODG00000021284	344.19	310.34	833.55	289.19	290.14	320.36	300.68	244.05	195.08	271.56	171.76	564.68	390.11	387.05	340.44	334.91	92.45	96.24	186.95
ENSMODG00000004857	0.08	0	0.29	0	0	0	0.18	0	0.16	0.39	0	0.34	0.47	0.06	0.07	0	9.09	6.87	11.05
ENSMODG00000015933	27.65	44.58	7.7	51.44	56.22	198.57	133.53	144.38	116.89	107.59	105.19	23.63	142.03	16.09	137.01	89.27	91.38	59.33	23.35
ENSMODG00000022620	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
Locus_33283	0.15	0	0.28	0	0.34	0	0.24	0	0	0	0	0.29	0	1.96	0	0	0.55	0	3.53
ENSMODG00000005843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06
ENSMODG00000005931	47.9	39.3	54.14	22.67	24.56	28.67	43.7	48.04	51.25	77.12	66.05	41	49.8	99.54	148.26	128.48	7.23	8.78	25.65
ENSMODG00000011845	10.1	10.82	6.81	4.22	3.44	0	0	0.26	0.2	0	0	0.05	0.72	0.16	0	0.1	0.35	0.78	0.56
Locus_185726	3.38	3.42	2.21	3.54	1.42	0.79	1.84	2.75	2.91	1.18	0.5	4.36	4.2	1.42	2.63	1.1	0.49	0.12	0.2
Locus_189857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	1.03
Locus_390891	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	1.33	0.99	6.35
ENSMODG00000011674	51.51	59.62	83.88	90.45	90.58	18.27	20.19	19.3	22.61	31.06	26.57	15.53	13.44	10.64	19.69	11.82	21.24	26.44	18.81
ENSMODG00000003297	0.67	0.66	0.76	0.09	0	0.19	0.15	16.27	7.9	0.14	0	1.04	0.91	0.07	0	0	9.63	8.22	10.53
ENSMODG00000023452	0.51	0.11	0.36	0.12	0.18	0	0.17	0	0	0	0	0.03	0.02	0.04	0	0	2.57	2.05	1.83
Locus_229949	0	0	0	0	0	0.52	0.88	3.35	3.69	1.69	3.32	0.43	0.39	0	0	0	0	0.2	0
ENSMODG00000012847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007926	9.75	7.13	5.94	10.78	9.31	5.26	6.76	7.34	8.63	9.87	13.99	2.22	8.7	3.95	9.64	9.25	8.25	6.97	4.02
ENSMODG00000013593	8.98	12.53	4.07	14.16	11.54	2.26	1.42	2.11	0.71	0.42	0.62	0.71	1.09	0.27	1.14	0.37	0.7	0.26	0.29
Locus_317045	0.13	0	0	0.3	0.15	0	0.1	2	0.83	0	0	0.96	0.19	0	3.25	0.27	0.48	0.48	2.41
blastnMouse.Locus_3279	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000013796	2.68	0	60.71	8.88	0	4.28	1.43	6.65	0	54567.59	65777.93	7.57	0.65	16.83	24.39	0.62	2.21	0	0
Locus_228275	0	0	0.86	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.99	1.3	0.62
Locus_35319	0	0	0	0	0	0	0	0.27	0	0	0	0.19	0	0	0	0	0.71	1.05	1.24
ENSMODG00000000167	9.82	17.12	38.43	11.79	9.62	11.48	18.86	8.6	13.03	9.41	8.68	79.16	42.68	42.13	26.03	34.65	22.48	46.01	63.81
