Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male3
ENSMODG00000004817	19.03	14.1	28.93	18.67	91	50.69	24.97
ENSMODG00000012348	496.4	0.03	0.05	1.33	0.62	1.16	0.92
Locus_191487	0	0.14	0	0	0	0	0.57
ENSMODG00000024072	157.68	39.58	23.55	114.37	75.32	266.65	53.74
Locus_391275	0	0	0	0.18	0.44	0.25	0.1
Locus_230713	0	0	0	0	0	0	0.93
ENSMODG00000018720	30.29	20.21	5.13	11.65	1.62	4.23	14.77
ENSMODG00000024341	0	0	0	0	0	0	0
Locus_88916	0	0	0	0	0	0	0.75
ENSMODG00000015039	5.86	18.4	10.53	9.93	16.97	10.39	13.03
ENSMODG00000006424	208.41	77.65	34.26	179.32	14.02	50.3	29.6
Locus_314463	0	0	0	0	0	0.37	8.11
ENSMODG00000023867	0	0.06	0.14	0.32	0	7.08	0.06
ENSMODG00000017053	7.14	3.6	3.38	17.62	12.06	15.33	20.05
ENSMODG00000024936	16.95	14.57	6.17	29.05	5.7	15.02	7.01
ENSMODG00000005244	7.98	0.45	0.67	0.03	0.13	0.61	0.16
ENSMODG00000006309	26.71	23.89	9.2	1.67	0.6	0.22	3.38
ENSMODG00000021551	10.29	7.1	5.66	12.97	9.69	7.69	23.35
Locus_190493	0	0	0	0	0	0	1
Locus_228902	0	0	0	0	0	0	3.98
Locus_92020	0	0	0.09	0	0.26	0.29	0.6
ENSMODG00000010377	24.2	26.41	12.37	21.92	3.11	19.6	35.26
ENSMODG00000002604	11.05	9.61	15.71	1.19	1.94	1.43	1.42
Locus_90236	0	0	0	0	0	0	1.15
Locus_87151	0	0.51	0.39	0	0.72	0.27	0.33
ENSMODG00000013967	40.46	23.68	4.64	33.6	10.03	10.15	34.94
Locus_89627	0	0	0	0	0	0.17	1.11
ENSMODG00000013087	0.22	2.57	4.14	2.18	3.42	3	1.57
ENSMODG00000007436	30.7	45.75	29.28	29.76	21.74	21.75	25.17
ENSMODG00000002784	0.15	0.04	0.05	0.13	4.68	0.35	0.07
ENSMODG00000009335	3.07	2.86	2.01	2.45	5.51	2.29	3.62
Locus_374091	0.35	1.09	0.7	0.89	0.74	0.62	0.51
ENSMODG00000020191	0	0	0	0	0	0	0
ENSMODG00000024955	39.31	16.65	16.73	26.32	21.34	18.7	32.83
ENSMODG00000020378	5.66	9.31	5.37	10.44	0.68	4.46	7.65
ENSMODG00000015598	18.83	23.01	7.35	7.35	0.72	3.5	27.61
ENSMODG00000025298	15.82	26.2	11.7	4.92	3	2.82	22.97
ENSMODG00000011467	11.02	8.28	12.39	4.76	31.71	14.08	4.28
ENSMODG00000020105	29.99	11.82	19.33	8.88	9.76	5.18	5.64
Locus_230465	0	0	0	8.34	0	0	0
Locus_89246	3.15	2.39	4.59	0.12	4.45	0.68	0.97
ENSMODG00000023536	0	0	0	0	0	0	0
ENSMODG00000003074	345.14	357.72	92.52	348.8	145.83	122.53	139.65
ENSMODG00000003048	0.1	0	0.03	0	0.04	0.04	0.05
ENSMODG00000021284	896.33	526.8	325.23	358.95	292.15	296.09	169.03
ENSMODG00000004857	0.3	0.32	0.46	0.06	0.08	0	10.5
ENSMODG00000015933	7.81	22.44	139.61	16.05	158.21	98.36	21
ENSMODG00000022620	0	0	0	0	0	0	0
Locus_33283	0	0	0	0	0	0	2.37
ENSMODG00000005843	0	0	0	0	0	0	0.05
ENSMODG00000005931	39.01	28.45	31.14	71.8	103.74	87.89	18.11
ENSMODG00000011845	7.55	0.04	0.7	0.16	0	0.11	0.58
Locus_185726	2.24	4.16	4.13	1.41	3.04	1.21	0.19
Locus_189857	0	0	0	0	0	0	0.98
