Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000017889	1084	476	464	179	59	128	145	72	115
blastnMacaque.Locus_372066	0	0	0	0	0	0	0	0	0
ENSPPYG00000007564	38	29	25	10	5	33	22	5	5
ENSPPYG00000013694	819	363	440	449	152	188	372	198	192
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0
ENSPPYG00000002118	61	38	3	31	24	884	3095	29	136
blastnHuman.ENSG00000253968	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_177975	0	0	2	0	0	0	0	0	0
ENSPPYG00000006278	64	47	1	3	0	13	52	1	1
ENSPPYG00000017824	582	252	262	459	185	439	580	732	1088
ENSPPYG00000013880	681	222	189	2582	1692	1497	1467	354	465
ENSPPYG00000001468	30	14	18	4	0	12	69	3	8
ENSPPYG00000011728	1	1	0	0	0	0	1	0	0
ENSPPYG00000010745	177	19	39	270	106	323	323	56	236
ENSPPYG00000020195	88	32	176	135	64	91	75	51	83
blastnMacaque.Locus_210418	1	0	0	0	1	2	0	0	0
blastnMacaque.Locus_139712	0	0	0	0	0	0	0	0	1
ENSPPYG00000000367	1901	1260	452	229	182	1106	1427	152	212
ENSPPYG00000004866	0	9	0	0	0	0	1	0	0
ENSPPYG00000020181	245	99	392	192	71	77	131	85	196
blastnHuman.XLOC_005303	1	0	0	0	0	0	0	0	0
ENSPPYG00000005635	0	0	0	0	0	0	0	0	0
ENSPPYG00000010228	0	0	0	0	0	0	0	0	0
ENSPPYG00000015082	1161	555	1271	336	95	365	302	164	95
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0
ENSPPYG00000014646	8	5	11	26	4	43	41	80	128
ENSPPYG00000000169	90	22	74	98	97	105	128	71	91
ENSPPYG00000005643	15	5	4	15	3	662	925	66	81
ENSPPYG00000003763	19	18	49	80	15	19	18	4	13
blastnMacaque.Locus_38946	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000248692	2	0	2	0	0	0	3	1	0
blastnHuman.ENSG00000250116	0	1	1	22	8	5	1	1	2
ENSPPYG00000018478	370	188	147	222	64	50	62	10	35
ENSPPYG00000001783	0	0	0	0	0	225	266	14	2
blastnPan.Locus_105644	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000226900	0	0	0	0	0	0	2	0	0
ENSPPYG00000014064	216	78	252	50	26	29	57	13	90
blastnMacaque.CUFF.185659	0	0	0	0	0	0	0	0	0
CUFF.11301	33	9	20	51	22	36	22	7	10
ENSPPYG00000007275	39	3	7	40	20	99	47	208	561
ENSPPYG00000007998	0	0	0	1	0	13	21	5	0
ENSPPYG00000018008	140	61	182	152	66	53	86	37	73
ENSPPYG00000015050	366	171	159	153	85	97	119	90	463
blastnHuman.ENSG00000251602	2	2	3	1	0	0	0	1	1
ENSPPYG00000012439	82	24	18	495	427	66	61	37	24
ENSPPYG00000019830	7	5	0	1	2	117	280	103	454
ENSPPYG00000019926	0	1	0	0	0	0	0	0	0
ENSPPYG00000015988	148	85	3	1	1	6	5	0	0
ENSPPYG00000001473	0	0	0	0	0	0	0	0	0
Locus_228642	0	0	0	0	0	0	1	0	12
blastnMacaque.Locus_273811	0	0	1	0	0	0	0	0	0
blastnMacaque.Locus_288696	0	0	0	0	0	0	0	1	0
Locus_94636	58	40	9	1	0	0	1	0	3
ENSPPYG00000004726	0	0	0	0	0	1	1	0	0
blastnGorilla.Locus_319095	0	0	0	0	0	0	0	0	0
ENSPPYG00000003653	366	157	260	323	189	590	562	354	491
ENSPPYG00000016280	214	90	139	118	69	58	143	112	193
Locus_227697	0	0	0	0	0	3	4	0	0
blastnHuman.Locus_175338	0	0	0	0	0	0	0	0	0
ENSPPYG00000012711	0	1	2	0	0	0	0	0	1
blastnMacaque.Locus_372622	0	0	0	0	0	0	0	0	0
