Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000017889	33.66	30.57	17.99	9.49	6.76	6.04	4.99	5.43	4.88
blastnMacaque.Locus_372066	0	0	0	0	0	0	0	0	0
ENSPPYG00000007564	2.83	4.46	2.32	1.27	1.37	3.73	1.81	0.9	0.51
ENSPPYG00000013694	48.24	44.22	32.36	45.15	33.03	16.83	24.27	28.33	15.46
blastnHuman.ENSG00000250126	0	0	0	0	0	0	0	0	0
ENSPPYG00000002118	1.9	2.45	0.12	1.65	2.76	41.88	106.82	2.2	5.79
blastnHuman.ENSG00000253968	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_177975	0	0	1.09	0	0	0	0	0	0
ENSPPYG00000006278	1.5	2.28	0.03	0.12	0	0.46	1.35	0.06	0.03
ENSPPYG00000017824	12.19	10.92	6.85	16.41	14.3	13.98	13.46	37.24	31.15
ENSPPYG00000013880	8.68	5.85	3.01	56.2	79.59	29.02	20.72	10.96	8.1
ENSPPYG00000001468	0.99	0.95	0.74	0.23	0	0.6	2.52	0.24	0.36
ENSPPYG00000011728	0.05	0.09	0	0	0	0	0.05	0	0
ENSPPYG00000010745	5.14	1.14	1.41	13.37	11.35	14.25	10.38	3.95	9.36
ENSPPYG00000020195	2.54	1.91	6.34	6.65	6.82	3.99	2.4	3.58	3.27
blastnMacaque.Locus_210418	0.16	0	0	0	0.59	0.48	0	0	0
blastnMacaque.Locus_139712	0	0	0	0	0	0	0	0	0.38
ENSPPYG00000000367	104.86	143.73	31.13	21.56	37.03	92.74	87.17	20.36	15.98
ENSPPYG00000004866	0	0.66	0	0	0	0	0.04	0	0
ENSPPYG00000020181	2.61	2.18	5.21	3.49	2.79	1.25	1.54	2.2	2.85
blastnHuman.XLOC_005303	0.25	0	0	0	0	0	0	0	0
ENSPPYG00000005635	0	0	0	0	0	0	0	0	0
ENSPPYG00000010228	0	0	0	0	0	0	0	0	0
ENSPPYG00000015082	16.61	16.42	22.7	8.21	5.01	7.94	4.79	5.7	1.86
blastnHuman.Locus_17654	0	0	0	0	0	0	0	0	0
ENSPPYG00000014646	0.32	0.42	0.56	1.8	0.6	2.65	1.84	7.87	7.08
ENSPPYG00000000169	5.2	2.63	5.34	9.67	20.69	9.23	8.19	9.97	7.19
ENSPPYG00000005643	1.03	0.71	0.34	1.76	0.76	69.27	70.52	11.03	7.62
ENSPPYG00000003763	0.66	1.29	2.12	4.74	1.92	1	0.69	0.34	0.62
blastnMacaque.Locus_38946	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000248692	0.21	0	0.26	0	0	0	0.35	0.25	0
blastnHuman.ENSG00000250116	0	0.15	0.09	2.78	2.19	0.56	0.08	0.18	0.2
ENSPPYG00000018478	26.7	28.06	13.24	27.35	17.04	5.49	4.96	1.75	3.45
ENSPPYG00000001783	0	0	0	0	0	76.64	66	7.62	0.61
blastnPan.Locus_105644	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000226900	0	0	0	0	0	0	1.83	0	0
ENSPPYG00000014064	16.33	12.19	23.78	6.45	7.25	3.33	4.77	2.39	9.3
blastnMacaque.CUFF.185659	0	0	0	0	0	0	0	0	0
CUFF.11301	3.26	1.84	2.46	8.59	8.01	5.4	2.4	1.68	1.35
ENSPPYG00000007275	0.93	0.15	0.21	1.63	1.76	3.6	1.24	12.08	18.34
ENSPPYG00000007998	0	0	0	0.1	0	1.12	1.32	0.69	0
ENSPPYG00000018008	7.61	6.85	12.34	14.1	13.23	4.38	5.17	4.88	5.42
ENSPPYG00000015050	4.02	3.89	2.18	2.87	3.45	1.62	1.45	2.4	6.96
blastnHuman.ENSG00000251602	0.11	0.23	0.21	0.1	0	0	0	0.14	0.08
ENSPPYG00000012439	6.23	3.77	1.71	64.16	119.6	7.62	5.13	6.82	2.49
ENSPPYG00000019830	0.53	0.78	0	0.13	0.56	13.49	23.52	18.97	47.06
ENSPPYG00000019926	0	0.1	0	0	0	0	0	0	0
ENSPPYG00000015988	12.26	14.56	0.31	0.14	0.31	0.76	0.46	0	0
ENSPPYG00000001473	0	0	0	0	0	0	0	0	0
Locus_228642	0	0	0	0	0	0	0.26	0	3.86
blastnMacaque.Locus_273811	0	0	0.08	0	0	0	0	0	0
blastnMacaque.Locus_288696	0	0	0	0	0	0	0	0.7	0
Locus_94636	3.21	4.57	0.62	0.09	0	0	0.06	0	0.23
ENSPPYG00000004726	0	0	0	0	0	0.1	0.07	0	0
blastnGorilla.Locus_319095	0	0	0	0	0	0	0	0	0
ENSPPYG00000003653	5.83	5.18	5.17	8.79	11.11	14.3	9.92	13.71	10.7
ENSPPYG00000016280	10.47	9.1	8.49	9.85	12.45	4.31	7.74	13.3	12.9
Locus_227697	0	0	0	0	0	1.38	1.34	0	0
blastnHuman.Locus_175338	0	0	0	0	0	0	0	0	0
ENSPPYG00000012711	0	0.27	0.32	0	0	0	0	0	0.18
blastnMacaque.Locus_372622	0	0	0	0	0	0	0	0	0
ENSPPYG00000002091	4.29	5.66	8.89	7.44	4.46	9.23	13.07	10.75	19.65
ENSPPYG00000015125	0.36	0.37	0.78	0.3	0.33	0.2	0.49	0	0.3
ENSPPYG00000005124	130.6	114.01	54.87	79.53	97.97	76.72	56.15	156.71	52.95
blastnHuman.ENSG00000227477	0.1	0.42	0.13	0	0	0	0	0	0.14
ENSPPYG00000007743	5.44	7.5	3.85	4.64	1.34	11.03	4.42	12.78	11.16
ENSPPYG00000009160	0	0	0	0	0	0.12	0	0	0
ENSPPYG00000000807	0	0	0	0	0	16.84	6.9	0.56	0.63
ENSPPYG00000010620	9.82	10.69	11.71	21.24	16.49	7.59	9.67	8.37	12.78
blastnMacaque.Locus_272025	0	0	0	0	0	0	0	0	0
ENSPPYG00000015591	0.92	0.8	0.2	267.3	275.89	2.99	3.73	1.83	2.15
blastnGorilla.Locus_195543	0.22	0	0.83	0	0	0	0	0	0
blastnHuman.Locus_174899	0	0	0	0	0	0	0	0	0
ENSPPYG00000009581	4.01	3.07	20.69	0.74	1.77	15.51	13.38	1.59	2.21
ENSPPYG00000014171	1.61	0.7	1.93	2.46	0.94	2.64	3.78	1.03	1.04
ENSPPYG00000005989	0.66	0.27	1.06	7.19	7.3	5.11	9.21	0.61	0.2
blastnMacaque.Locus_189216	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_77362	0	0	0	0	0	0	0	0	0
ENSPPYG00000011753	0.39	1.22	1.16	0.17	0	0	0	0	0.13
ENSPPYG00000001616	149.75	210.57	46.2	4573.84	11322.94	152.71	415.35	1.24	2.8
ENSPPYG00000018859	0	0	0.07	0	0	0.09	0.19	4.91	2.13
blastnPan.CUFF.134007	0	0	0	0	0	0	0	0	0
ENSPPYG00000007954	4.86	5.65	7.46	2.98	1.54	7.78	4.83	4.47	5.05
ENSPPYG00000009559	16.07	12.17	16.27	10.83	20.43	13.8	14.05	8.22	9.35
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_3279	0	0	0	0	0	0	0	0	0
ENSPPYG00000005967	8.78	9.27	9.51	10.41	8.1	18.72	18.13	16.14	12.87
blastnHuman.Locus_70132	0	0	0	0	0	0	0	0	0
ENSPPYG00000006644	2.31	4.86	0.52	0.43	5.26	1.08	1.72	13.76	46.85
blastnPan.CUFF.164853	0	0	0	0	0	0	0	0	0
ENSPPYG00000008467	24.13	19.6	16.38	13.35	21.37	15.43	17.59	10.44	12.39
blastnHuman.ENSG00000241884	0	0	0	0	0	0	0	0.1	0
blastnHuman.ENSG00000235533	0	0	0	0.29	1.25	0	0	0	0
ENSPPYG00000016117	1.99	1.45	2.71	1.73	1.03	0.64	0.97	0.6	0.81
ENSPPYG00000015865	26.13	20.71	24.34	36.39	47.01	27.14	34.99	25.39	20.67
ENSPPYG00000006357	0.38	0.26	0.16	0.21	0	0.38	0.14	0.91	1.72
blastnMacaque.CUFF.183373	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_313737	0	0	0	0	0	0	0	0	0
ENSPPYG00000015068	3.25	3.23	4.68	10.13	5.36	4.88	3.57	7.88	5.34
ENSPPYG00000011854	8.21	12.09	0.2	0	0	0.24	0.35	0.38	0
ENSPPYG00000013125	5.38	2.65	4.35	29.68	33.3	46.31	86.44	49.57	120.76
ENSPPYG00000018806	0.84	0.93	2.43	5.49	3.93	5.23	6.63	1.95	1.12
ENSPPYG00000015597	2.55	1.67	3.2	5.94	3.89	2.61	2.34	3.45	3.83
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0
ENSPPYG00000014031	13.56	15.05	3.81	0.95	0.84	2.95	2.47	0.08	0.12
blastnPan.CUFF.171495	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_005450	0	0	0	0	0	0	0	0	0
ENSPPYG00000005103	8.95	10.26	5.86	1.76	2.63	4.43	2.57	19.84	25.24
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0
ENSPPYG00000009444	26	29.85	17.94	12.32	19.55	20.47	15.58	22.29	12.63
ENSPPYG00000017961	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_473951	0.16	0	0	0	0	0	0	0	0
