Gene	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male1	Bonobo_Cerebellum_Female1	Bonobo_Cerebellum_Male1	Bonobo_Heart_Female1	Bonobo_Heart_Male1	Bonobo_Kidney_Female1	Bonobo_Kidney_Male1	Bonobo_Liver_Female1	Bonobo_Liver_Male1	Bonobo_Testis_Male1	Chimpanzee_Brain_Female1	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Cerebellum_Female1	Chimpanzee_Cerebellum_Male1	Chimpanzee_Heart_Female1	Chimpanzee_Heart_Male1	Chimpanzee_Kidney_Female1	Chimpanzee_Kidney_Male1	Chimpanzee_Liver_Female1	Chimpanzee_Liver_Male1	Chimpanzee_Testis_Male1
ENSPTRG00000030296	27	73	180	156	130	144	65	73	88	60	42	93	44	20	68	38	93	69	73	48	87	176	49	150	17	20	152
CUFF.368946	0	7	1	2	1	1	2	5	3	0	1	3	2	2	0	0	0	0	27	0	5	0	4	4	0	1	12
blastnMacaque.Locus_372066	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSPTRG00000011202	453	485	980	313	437	288	166	210	192	132	87	586	613	319	404	345	483	425	465	293	240	254	189	244	328	71	1028
Locus_97835	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ENSPTRG00000006510	267	401	669	392	493	287	237	552	420	320	184	882	326	188	368	325	320	474	762	291	306	300	892	862	834	174	1483
ENSPTRG00000002922	3	39	60	51	41	41	20	26	52	17	11	121	25	7	30	28	23	21	54	6	47	16	82	42	39	6	138
ENSPTRG00000018618	1015	573	625	570	485	542	574	1107	1043	1443	620	228	278	542	540	580	499	645	592	282	451	397	1139	1902	1171	351	308
ENSPTRG00000022287	372	344	1539	424	429	144	84	220	204	220	92	150	289	162	445	353	670	611	392	229	222	191	258	339	101	46	496
blastnHuman.ENSG00000250126	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_177975	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Locus_72515	1	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8
ENSPTRG00000016157	18	29	2	7	2	17	0	94	15	14	6	0	7	10	6	1	0	4	8	0	2	4	209	21	40	3	0
ENSPTRG00000030968	1	4	7	15	12	3	2	3	3	5	0	3	5	3	4	1	2	5	6	8	3	0	3	3	2	1	4
Locus_8292	3	2	4	3	5	0	3	5	8	5	28	1	2	2	2	2	1	5	6	2	2	3	8	3	24	7	2
ENSPTRG00000021747	26	43	79	90	107	57	35	53	37	55	20	15	30	11	8	15	24	13	86	61	94	73	77	98	53	21	26
ENSPTRG00000031216	133	42	39	205	215	11	29	81	64	61	43	8	21	84	78	51	54	92	115	200	7	6	65	61	80	124	4
ENSPTRG00000014201	87	98	76	55	20	44	81	19	14	7	1	7	49	83	33	33	74	27	43	9	48	21	15	23	35	8	70
blastnMacaque.Locus_210418	1	0	1	3	1	0	0	0	0	0	1	1	1	0	1	0	0	0	6	2	0	0	0	0	0	0	0
CUFF.205637	0	2	2	4	0	0	0	0	0	1	0	3	0	6	2	3	2	2	1	2	0	1	1	1	0	0	0
blastnHuman.CUFF.113612	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSPTRG00000015392	30	50	145	13	27	2	18	28	77	2	6	70	48	37	58	68	53	93	30	12	9	11	49	165	6	4	274
ENSPTRG00000013594	681	1113	1116	922	882	100	152	287	227	127	80	125	633	999	514	616	753	875	1371	279	190	102	414	380	227	42	201
blastnHuman.XLOC_005303	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Locus_7559	10	24	68	35	53	19	19	27	23	26	47	52	10	7	16	9	12	20	34	19	25	17	22	28	25	7	46
ENSPTRG00000032517	1	3	4	2	1	3	4	9	8	4	2	31	7	2	2	2	3	2	5	1	0	2	11	10	6	1	69
ENSPTRG00000009979	508	478	1040	259	417	4530	605	415	386	24	16	137	656	273	227	248	422	294	817	157	5757	6436	707	704	78	14	245
ENSPTRG00000003017	116	158	522	210	224	128	71	109	105	92	74	235	94	72	127	104	222	173	166	109	109	138	77	151	62	25	338
ENSPTRG00000009990	53	17	18	4	11	36	11	51	63	228	93	17	27	7	8	4	4	4	23	1	58	21	192	99	921	49	35
blastnMacaque.Locus_38946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSPTRG00000003578	339	192	849	123	102	36	52	420	320	410	142	14	228	147	89	94	307	193	130	51	121	49	1126	1099	709	211	33
blastnHuman.ENSG00000250116	0	1	0	0	0	12	4	3	3	0	0	1	0	0	1	1	1	4	0	0	1	9	1	3	0	0	2
ENSPTRG00000020672	2225	1686	1731	1059	1585	2317	1410	1304	1138	281	165	164	1251	1974	1141	1095	1054	1178	2229	736	3862	1818	1792	1418	1212	322	283
ENSPTRG00000018892	3897	3058	2696	477	738	148	547	419	281	251	108	442	1373	2419	2919	2518	2296	2552	1157	298	159	125	287	296	362	91	458
ENSPTRG00000022589	57	53	348	107	247	111	55	157	89	84	72	530	83	60	31	33	130	94	214	155	168	195	264	565	112	73	938
ENSPTRG00000016322	89	131	316	253	278	168	202	250	424	193	159	27	106	66	75	104	122	123	293	116	129	88	289	446	177	45	39
blastnHuman.ENSG00000226900	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSPTRG00000012313	177	111	406	277	408	57	61	166	136	32	41	14	218	178	77	101	252	152	970	244	217	115	385	333	116	49	22
ENSPTRG00000010445	57	168	187	328	210	78	65	104	70	60	19	108	46	42	63	53	68	94	121	95	46	34	66	107	2	3	219
ENSPTRG00000022340	0	0	0	0	0	0	0	73	63	0	1	211	0	0	0	2	0	0	0	0	1	0	6	123	0	0	120
ENSPTRG00000028418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSPTRG00000014356	248	380	345	273	360	586	215	541	392	616	235	230	298	219	320	209	205	248	296	281	257	371	460	608	539	236	385
ENSPTRG00000033808	7	4	4	3	3	4	1	106	104	167	131	5	7	5	3	2	3	2	9	2	1	2	67	211	100	103	4
ENSPTRG00000022658	79	137	365	56	48	102	217	473	321	705	545	14	71	44	105	80	165	147	132	65	137	73	290	1161	885	139	19
ENSPTRG00000000383	2	3	5	0	4	2	4	21	32	18	7	1715	0	9	2	13	3	3	3	0	1	1	5	7	3	2	2380
CUFF.196784	0	2	3	10	17	1	3	4	5	1	1	1	2	0	3	0	6	5	10	3	1	3	2	8	1	0	3
