Gene	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male1	Bonobo_Cerebellum_Female1	Bonobo_Cerebellum_Male1	Bonobo_Heart_Female1	Bonobo_Heart_Male1	Bonobo_Kidney_Female1	Bonobo_Kidney_Male1	Bonobo_Liver_Female1	Bonobo_Liver_Male1	Bonobo_Testis_Male1	Chimpanzee_Brain_Female1	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Cerebellum_Female1	Chimpanzee_Cerebellum_Male1	Chimpanzee_Heart_Female1	Chimpanzee_Heart_Male1	Chimpanzee_Kidney_Female1	Chimpanzee_Kidney_Male1	Chimpanzee_Liver_Female1	Chimpanzee_Liver_Male1	Chimpanzee_Testis_Male1
ENSPTRG00000030296	1.14	2.6	3.33	3.88	2.65	5.91	3.95	2.3	3.18	2.99	2.93	5.1	2.08	1.22	3.55	2.19	3.16	2.67	1.51	1.71	3.89	7.83	1.3	2.82	0.54	2	5.22
CUFF.368946	0	0.52	0.04	0.1	0.04	0.09	0.25	0.33	0.23	0	0.15	0.34	0.2	0.25	0	0	0	0	1.16	0	0.47	0	0.22	0.16	0	0.21	0.86
blastnMacaque.Locus_372066	0	0.69	0.12	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0.22
ENSPTRG00000011202	96.12	86.91	91.33	39.25	44.9	59.59	50.87	33.36	34.91	33.11	30.53	161.99	145.98	98.18	106.39	100.08	82.78	82.84	48.4	52.64	54.11	56.9	25.35	23.13	52.17	35.72	177.94
Locus_97835	0	0	0	0	0	0	0	0	0	0	0	5.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31
ENSPTRG00000006510	19.31	24.5	21.25	16.76	17.27	20.25	24.76	29.9	26.04	27.37	22.01	83.12	26.47	19.72	33.04	32.14	18.7	31.5	27.04	17.82	23.52	22.91	40.78	27.86	45.22	29.85	87.51
ENSPTRG00000002922	0.14	1.5	1.2	1.37	0.9	1.82	1.31	0.88	2.02	0.91	0.83	7.16	1.27	0.46	1.69	1.74	0.84	0.88	1.2	0.23	2.27	0.77	2.35	0.85	1.33	0.65	5.11
ENSPTRG00000018618	279.81	133.4	75.67	92.86	64.74	145.71	228.51	228.49	246.42	470.28	282.66	81.88	86.01	216.72	184.76	218.59	111.12	163.35	80.06	65.83	132.1	115.54	198.45	234.25	241.98	229.45	69.27
ENSPTRG00000022287	36.92	28.83	67.09	24.87	20.62	13.94	12.04	16.35	17.35	25.81	15.1	19.4	32.19	23.32	54.82	47.9	53.72	55.71	19.09	19.24	23.41	20.01	16.18	15.03	7.51	10.83	40.16
blastnHuman.ENSG00000250126	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78
blastnMouse.Locus_2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_177975	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	0	0	0	0	0	0	0	0.73
Locus_72515	0.52	0.44	0.23	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	3.38
